Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MV,Maldives,SEARO,0.0,0,0.0,0
2020-01-12,MV,Maldives,SEARO,0.0,0,0.0,0
2020-01-19,MV,Maldives,SEARO,0.0,0,0.0,0
2020-01-26,MV,Maldives,SEARO,0.0,0,0.0,0
2020-02-02,MV,Maldives,SEARO,0.0,0,0.0,0
2020-02-09,MV,Maldives,SEARO,0.0,0,0.0,0
2020-02-16,MV,Maldives,SEARO,0.0,0,0.0,0
2020-02-23,MV,Maldives,SEARO,0.0,0,0.0,0
2020-03-01,MV,Maldives,SEARO,0.0,0,0.0,0
2020-03-08,MV,Maldives,SEARO,2.0,2,0.0,0
2020-03-15,MV,Maldives,SEARO,9.0,11,0.0,0
2020-03-22,MV,Maldives,SEARO,6.0,17,0.0,0
2020-03-29,MV,Maldives,SEARO,-1.0,16,0.0,0
2020-04-05,MV,Maldives,SEARO,3.0,19,0.0,0
2020-04-12,MV,Maldives,SEARO,1.0,20,0.0,0
2020-04-19,MV,Maldives,SEARO,31.0,51,0.0,0
2020-04-26,MV,Maldives,SEARO,137.0,188,0.0,0
2020-05-03,MV,Maldives,SEARO,339.0,527,1.0,1
2020-05-10,MV,Maldives,SEARO,308.0,835,2.0,3
2020-05-17,MV,Maldives,SEARO,259.0,1094,1.0,4
2020-05-24,MV,Maldives,SEARO,277.0,1371,0.0,4
2020-05-31,MV,Maldives,SEARO,301.0,1672,1.0,5
2020-06-07,MV,Maldives,SEARO,231.0,1903,3.0,8
2020-06-14,MV,Maldives,SEARO,132.0,2035,0.0,8
2020-06-21,MV,Maldives,SEARO,168.0,2203,0.0,8
2020-06-28,MV,Maldives,SEARO,121.0,2324,0.0,8
2020-07-05,MV,Maldives,SEARO,144.0,2468,3.0,11
2020-07-12,MV,Maldives,SEARO,263.0,2731,2.0,13
2020-07-19,MV,Maldives,SEARO,235.0,2966,2.0,15
2020-07-26,MV,Maldives,SEARO,336.0,3302,0.0,15
2020-08-02,MV,Maldives,SEARO,862.0,4164,3.0,18
2020-08-09,MV,Maldives,SEARO,877.0,5041,1.0,19
