Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MW,Malawi,AFRO,0.0,0,0.0,0
2020-01-12,MW,Malawi,AFRO,0.0,0,0.0,0
2020-01-19,MW,Malawi,AFRO,0.0,0,0.0,0
2020-01-26,MW,Malawi,AFRO,0.0,0,0.0,0
2020-02-02,MW,Malawi,AFRO,0.0,0,0.0,0
2020-02-09,MW,Malawi,AFRO,0.0,0,0.0,0
2020-02-16,MW,Malawi,AFRO,0.0,0,0.0,0
2020-02-23,MW,Malawi,AFRO,0.0,0,0.0,0
2020-03-01,MW,Malawi,AFRO,0.0,0,0.0,0
2020-03-08,MW,Malawi,AFRO,0.0,0,0.0,0
2020-03-15,MW,Malawi,AFRO,0.0,0,0.0,0
2020-03-22,MW,Malawi,AFRO,0.0,0,0.0,0
2020-03-29,MW,Malawi,AFRO,0.0,0,0.0,0
2020-04-05,MW,Malawi,AFRO,3.0,3,0.0,0
2020-04-12,MW,Malawi,AFRO,9.0,12,1.0,1
2020-04-19,MW,Malawi,AFRO,5.0,17,1.0,2
2020-04-26,MW,Malawi,AFRO,16.0,33,1.0,3
2020-05-03,MW,Malawi,AFRO,5.0,38,0.0,3
2020-05-10,MW,Malawi,AFRO,18.0,56,0.0,3
2020-05-17,MW,Malawi,AFRO,14.0,70,0.0,3
2020-05-24,MW,Malawi,AFRO,13.0,83,1.0,4
2020-05-31,MW,Malawi,AFRO,196.0,279,0.0,4
2020-06-07,MW,Malawi,AFRO,130.0,409,0.0,4
2020-06-14,MW,Malawi,AFRO,120.0,529,1.0,5
2020-06-21,MW,Malawi,AFRO,201.0,730,6.0,11
2020-06-28,MW,Malawi,AFRO,308.0,1038,2.0,13
2020-07-05,MW,Malawi,AFRO,575.0,1613,11.0,24
2020-07-12,MW,Malawi,AFRO,648.0,2261,10.0,34
2020-07-19,MW,Malawi,AFRO,646.0,2907,26.0,60
2020-07-26,MW,Malawi,AFRO,650.0,3557,34.0,94
2020-08-02,MW,Malawi,AFRO,629.0,4186,28.0,122
2020-08-09,MW,Malawi,AFRO,438.0,4624,21.0,143
2020-08-16,MW,Malawi,AFRO,402.0,5026,14.0,157
2020-08-23,MW,Malawi,AFRO,356.0,5382,11.0,168
2020-08-30,MW,Malawi,AFRO,146.0,5528,6.0,174
2020-09-06,MW,Malawi,AFRO,83.0,5611,1.0,175
2020-09-13,MW,Malawi,AFRO,65.0,5676,2.0,177
2020-09-20,MW,Malawi,AFRO,42.0,5718,2.0,179
2020-09-27,MW,Malawi,AFRO,48.0,5766,0.0,179
2020-10-04,MW,Malawi,AFRO,17.0,5783,0.0,179
2020-10-11,MW,Malawi,AFRO,38.0,5821,1.0,180
2020-10-18,MW,Malawi,AFRO,31.0,5852,1.0,181
2020-10-25,MW,Malawi,AFRO,35.0,5887,2.0,183
2020-11-01,MW,Malawi,AFRO,43.0,5930,1.0,184
2020-11-08,MW,Malawi,AFRO,18.0,5948,0.0,184
2020-11-15,MW,Malawi,AFRO,16.0,5964,1.0,185
2020-11-22,MW,Malawi,AFRO,39.0,6003,0.0,185
2020-11-29,MW,Malawi,AFRO,22.0,6025,0.0,185
2020-12-06,MW,Malawi,AFRO,24.0,6049,0.0,185
2020-12-13,MW,Malawi,AFRO,14.0,6063,1.0,186
2020-12-20,MW,Malawi,AFRO,90.0,6153,1.0,187
2020-12-27,MW,Malawi,AFRO,190.0,6343,1.0,188
2021-01-03,MW,Malawi,AFRO,367.0,6710,4.0,192
2021-01-10,MW,Malawi,AFRO,1594.0,8304,28.0,220
2021-01-17,MW,Malawi,AFRO,3479.0,11783,107.0,327
2021-01-24,MW,Malawi,AFRO,6656.0,18439,193.0,520
2021-01-31,MW,Malawi,AFRO,5058.0,23497,187.0,707
2021-02-07,MW,Malawi,AFRO,3378.0,26875,135.0,842
2021-02-14,MW,Malawi,AFRO,2001.0,28876,100.0,942
2021-02-21,MW,Malawi,AFRO,1652.0,30528,62.0,1004
2021-02-28,MW,Malawi,AFRO,1270.0,31798,37.0,1041
2021-03-07,MW,Malawi,AFRO,600.0,32398,26.0,1067
2021-03-14,MW,Malawi,AFRO,391.0,32789,15.0,1082
2021-03-21,MW,Malawi,AFRO,427.0,33216,11.0,1093
2021-03-28,MW,Malawi,AFRO,242.0,33458,20.0,1113
2021-04-04,MW,Malawi,AFRO,189.0,33647,7.0,1120
2021-04-11,MW,Malawi,AFRO,158.0,33805,7.0,1127
2021-04-18,MW,Malawi,AFRO,129.0,33934,11.0,1138
2021-04-25,MW,Malawi,AFRO,77.0,34011,9.0,1147
2021-05-02,MW,Malawi,AFRO,84.0,34095,1.0,1148
2021-05-09,MW,Malawi,AFRO,71.0,34166,5.0,1153
2021-05-16,MW,Malawi,AFRO,44.0,34210,0.0,1153
2021-05-23,MW,Malawi,AFRO,64.0,34274,0.0,1153
2021-05-30,MW,Malawi,AFRO,55.0,34329,1.0,1154
2021-06-06,MW,Malawi,AFRO,55.0,34384,2.0,1156
2021-06-13,MW,Malawi,AFRO,101.0,34485,3.0,1159
2021-06-20,MW,Malawi,AFRO,347.0,34832,9.0,1168
