Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MX,Mexico,AMRO,0.0,0,0.0,0
2020-01-12,MX,Mexico,AMRO,0.0,0,0.0,0
2020-01-19,MX,Mexico,AMRO,0.0,0,0.0,0
2020-01-26,MX,Mexico,AMRO,0.0,0,0.0,0
2020-02-02,MX,Mexico,AMRO,0.0,0,0.0,0
2020-02-09,MX,Mexico,AMRO,0.0,0,0.0,0
2020-02-16,MX,Mexico,AMRO,0.0,0,0.0,0
2020-02-23,MX,Mexico,AMRO,1.0,1,0.0,0
2020-03-01,MX,Mexico,AMRO,5.0,6,0.0,0
2020-03-08,MX,Mexico,AMRO,45.0,51,0.0,0
2020-03-15,MX,Mexico,AMRO,183.0,234,0.0,0
2020-03-22,MX,Mexico,AMRO,669.0,903,4.0,4
2020-03-29,MX,Mexico,AMRO,1214.0,2117,24.0,28
2020-04-05,MX,Mexico,AMRO,2134.0,4251,146.0,174
2020-04-12,MX,Mexico,AMRO,3291.0,7542,382.0,556
2020-04-19,MX,Mexico,AMRO,5958.0,13500,749.0,1305
2020-04-26,MX,Mexico,AMRO,9264.0,22764,1453.0,2758
2020-05-03,MX,Mexico,AMRO,11571.0,34335,2361.0,5119
2020-05-10,MX,Mexico,AMRO,15196.0,49531,2893.0,8012
2020-05-17,MX,Mexico,AMRO,19538.0,69069,3414.0,11426
2020-05-24,MX,Mexico,AMRO,24187.0,93256,3994.0,15420
2020-05-31,MX,Mexico,AMRO,26973.0,120229,4178.0,19598
2020-06-07,MX,Mexico,AMRO,30556.0,150785,4512.0,24110
2020-06-14,MX,Mexico,AMRO,34822.0,185607,4891.0,29001
2020-06-21,MX,Mexico,AMRO,37587.0,223194,4986.0,33987
2020-06-28,MX,Mexico,AMRO,39306.0,262500,4569.0,38556
2020-07-05,MX,Mexico,AMRO,43553.0,306053,4971.0,43527
2020-07-12,MX,Mexico,AMRO,44406.0,350459,5374.0,48901
2020-07-19,MX,Mexico,AMRO,49775.0,400234,5534.0,54435
2020-07-26,MX,Mexico,AMRO,50177.0,450411,5464.0,59899
2020-08-02,MX,Mexico,AMRO,45999.0,496410,5258.0,65157
2020-08-09,MX,Mexico,AMRO,41814.0,538224,5027.0,70184
2020-08-16,MX,Mexico,AMRO,39452.0,577676,4522.0,74706
2020-08-23,MX,Mexico,AMRO,37867.0,615543,4065.0,78771
2020-08-30,MX,Mexico,AMRO,39230.0,654773,3731.0,82502
2020-09-06,MX,Mexico,AMRO,38873.0,693646,3556.0,86058
2020-09-13,MX,Mexico,AMRO,35339.0,728985,3208.0,89266
2020-09-20,MX,Mexico,AMRO,29659.0,758644,2955.0,92221
2020-09-27,MX,Mexico,AMRO,33716.0,792360,2840.0,95061
2020-10-04,MX,Mexico,AMRO,32636.0,824996,2586.0,97647
2020-10-11,MX,Mexico,AMRO,33071.0,858067,2488.0,100135
2020-10-18,MX,Mexico,AMRO,38778.0,896845,2689.0,102824
2020-10-25,MX,Mexico,AMRO,44301.0,941146,3107.0,105931
2020-11-01,MX,Mexico,AMRO,42679.0,983825,3336.0,109267
2020-11-08,MX,Mexico,AMRO,40741.0,1024566,3482.0,112749
2020-11-15,MX,Mexico,AMRO,48200.0,1072766,3561.0,116310
2020-11-22,MX,Mexico,AMRO,44816.0,1117582,3709.0,120019
2020-11-29,MX,Mexico,AMRO,56457.0,1174039,4060.0,124079
2020-12-06,MX,Mexico,AMRO,64076.0,1238115,4235.0,128314
2020-12-13,MX,Mexico,AMRO,73050.0,1311165,4644.0,132958
2020-12-20,MX,Mexico,AMRO,77433.0,1388598,5157.0,138115
2020-12-27,MX,Mexico,AMRO,64816.0,1453414,5775.0,143890
2021-01-03,MX,Mexico,AMRO,72877.0,1526291,6552.0,150442
2021-01-10,MX,Mexico,AMRO,105375.0,1631666,7632.0,158074
2021-01-17,MX,Mexico,AMRO,110588.0,1742254,8745.0,166819
2021-01-24,MX,Mexico,AMRO,104374.0,1846628,9877.0,176696
2021-01-31,MX,Mexico,AMRO,90123.0,1936751,9495.0,186191
2021-02-07,MX,Mexico,AMRO,61598.0,1998349,8292.0,194483
2021-02-14,MX,Mexico,AMRO,53192.0,2051541,6731.0,201214
2021-02-21,MX,Mexico,AMRO,43136.0,2094677,5321.0,206535
2021-02-28,MX,Mexico,AMRO,42204.0,2136881,4449.0,210984
2021-03-07,MX,Mexico,AMRO,40192.0,2177073,3889.0,214873
2021-03-14,MX,Mexico,AMRO,34305.0,2211378,3411.0,218284
2021-03-21,MX,Mexico,AMRO,28302.0,2239680,2881.0,221165
2021-03-28,MX,Mexico,AMRO,28664.0,2268344,2442.0,223607
2021-04-04,MX,Mexico,AMRO,21218.0,2289562,2273.0,225880
2021-04-11,MX,Mexico,AMRO,26011.0,2315573,2060.0,227940
2021-04-18,MX,Mexico,AMRO,23767.0,2339340,1923.0,229863
2021-04-25,MX,Mexico,AMRO,20925.0,2360265,1611.0,231474
2021-05-02,MX,Mexico,AMRO,19142.0,2379407,1400.0,232874
2021-05-09,MX,Mexico,AMRO,16175.0,2395582,1164.0,234038
2021-05-16,MX,Mexico,AMRO,14482.0,2410064,963.0,235001
2021-05-23,MX,Mexico,AMRO,14750.0,2424814,827.0,235828
2021-05-30,MX,Mexico,AMRO,15313.0,2440127,746.0,236574
2021-06-06,MX,Mexico,AMRO,16193.0,2456320,654.0,237228
2021-06-13,MX,Mexico,AMRO,19451.0,2475771,708.0,237936
2021-06-20,MX,Mexico,AMRO,22779.0,2498550,686.0,238622
2021-06-27,MX,Mexico,AMRO,29738.0,2528288,769.0,239391
2021-07-04,MX,Mexico,AMRO,37423.0,2565711,931.0,240322
2021-07-11,MX,Mexico,AMRO,55106.0,2620817,1114.0,241436
2021-07-18,MX,Mexico,AMRO,78515.0,2699332,1460.0,242896
2021-07-25,MX,Mexico,AMRO,102995.0,2802327,2197.0,245093
2021-08-01,MX,Mexico,AMRO,122311.0,2924638,3135.0,248228
2021-08-08,MX,Mexico,AMRO,128282.0,3052920,4191.0,252419
2021-08-15,MX,Mexico,AMRO,135141.0,3188061,4909.0,257328
2021-08-22,MX,Mexico,AMRO,120883.0,3308944,5528.0,262856
