Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NE,Niger,AFRO,0.0,0,0.0,0
2020-01-12,NE,Niger,AFRO,0.0,0,0.0,0
2020-01-19,NE,Niger,AFRO,0.0,0,0.0,0
2020-01-26,NE,Niger,AFRO,0.0,0,0.0,0
2020-02-02,NE,Niger,AFRO,0.0,0,0.0,0
2020-02-09,NE,Niger,AFRO,0.0,0,0.0,0
2020-02-16,NE,Niger,AFRO,0.0,0,0.0,0
2020-02-23,NE,Niger,AFRO,0.0,0,0.0,0
2020-03-01,NE,Niger,AFRO,0.0,0,0.0,0
2020-03-08,NE,Niger,AFRO,0.0,0,0.0,0
2020-03-15,NE,Niger,AFRO,0.0,0,0.0,0
2020-03-22,NE,Niger,AFRO,2.0,2,0.0,0
2020-03-29,NE,Niger,AFRO,18.0,20,0.0,0
2020-04-05,NE,Niger,AFRO,124.0,144,57.0,57
2020-04-12,NE,Niger,AFRO,385.0,529,1.0,58
2020-04-19,NE,Niger,AFRO,119.0,648,0.0,58
2020-04-26,NE,Niger,AFRO,36.0,684,0.0,58
2020-05-03,NE,Niger,AFRO,52.0,736,2.0,60
2020-05-10,NE,Niger,AFRO,79.0,815,10.0,70
2020-05-17,NE,Niger,AFRO,74.0,889,5.0,75
2020-05-24,NE,Niger,AFRO,54.0,943,10.0,85
2020-05-31,NE,Niger,AFRO,13.0,956,3.0,88
2020-06-07,NE,Niger,AFRO,14.0,970,1.0,89
2020-06-14,NE,Niger,AFRO,10.0,980,1.0,90
2020-06-21,NE,Niger,AFRO,55.0,1035,1.0,91
2020-06-28,NE,Niger,AFRO,33.0,1068,0.0,91
2020-07-05,NE,Niger,AFRO,20.0,1088,1.0,92
2020-07-12,NE,Niger,AFRO,11.0,1099,0.0,92
2020-07-19,NE,Niger,AFRO,5.0,1104,1.0,93
2020-07-26,NE,Niger,AFRO,20.0,1124,0.0,93
2020-08-02,NE,Niger,AFRO,14.0,1138,0.0,93
2020-08-09,NE,Niger,AFRO,19.0,1157,0.0,93
2020-08-16,NE,Niger,AFRO,9.0,1166,0.0,93
2020-08-23,NE,Niger,AFRO,6.0,1172,0.0,93
2020-08-30,NE,Niger,AFRO,3.0,1175,0.0,93
