Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-01-12,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-01-19,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-01-26,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-02-02,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-02-09,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-02-16,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-02-23,NL,Netherlands (Kingdom of the),EURO,0.0,0,0.0,0
2020-03-01,NL,Netherlands (Kingdom of the),EURO,19.0,19,0.0,0
2020-03-08,NL,Netherlands (Kingdom of the),EURO,311.0,330,4.0,4
2020-03-15,NL,Netherlands (Kingdom of the),EURO,1276.0,1606,36.0,40
2020-03-22,NL,Netherlands (Kingdom of the),EURO,3775.0,5381,295.0,335
2020-03-29,NL,Netherlands (Kingdom of the),EURO,6747.0,12128,797.0,1132
2020-04-05,NL,Netherlands (Kingdom of the),EURO,7161.0,19289,1185.0,2317
2020-04-12,NL,Netherlands (Kingdom of the),EURO,7951.0,27240,1040.0,3357
2020-04-19,NL,Netherlands (Kingdom of the),EURO,6671.0,33911,886.0,4243
2020-04-26,NL,Netherlands (Kingdom of the),EURO,4549.0,38460,705.0,4948
2020-05-03,NL,Netherlands (Kingdom of the),EURO,2495.0,40955,426.0,5374
2020-05-10,NL,Netherlands (Kingdom of the),EURO,1772.0,42727,295.0,5669
2020-05-17,NL,Netherlands (Kingdom of the),EURO,1327.0,44054,174.0,5843
2020-05-24,NL,Netherlands (Kingdom of the),EURO,1311.0,45365,120.0,5963
2020-05-31,NL,Netherlands (Kingdom of the),EURO,1123.0,46488,91.0,6054
2020-06-07,NL,Netherlands (Kingdom of the),EURO,1226.0,47714,56.0,6110
2020-06-14,NL,Netherlands (Kingdom of the),EURO,1105.0,48819,35.0,6145
2020-06-21,NL,Netherlands (Kingdom of the),EURO,697.0,49516,25.0,6170
2020-06-28,NL,Netherlands (Kingdom of the),EURO,539.0,50055,12.0,6182
2020-07-05,NL,Netherlands (Kingdom of the),EURO,435.0,50490,12.0,6194
2020-07-12,NL,Netherlands (Kingdom of the),EURO,502.0,50992,6.0,6200
2020-07-19,NL,Netherlands (Kingdom of the),EURO,961.0,51953,7.0,6207
2020-07-26,NL,Netherlands (Kingdom of the),EURO,1298.0,53251,7.0,6214
2020-08-02,NL,Netherlands (Kingdom of the),EURO,2557.0,55808,9.0,6223
