Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NO,Norway,EURO,0.0,0,0.0,0
2020-01-12,NO,Norway,EURO,0.0,0,0.0,0
2020-01-19,NO,Norway,EURO,0.0,0,0.0,0
2020-01-26,NO,Norway,EURO,0.0,0,0.0,0
2020-02-02,NO,Norway,EURO,0.0,0,0.0,0
2020-02-09,NO,Norway,EURO,0.0,0,0.0,0
2020-02-16,NO,Norway,EURO,0.0,0,0.0,0
2020-02-23,NO,Norway,EURO,1.0,1,0.0,0
2020-03-01,NO,Norway,EURO,20.0,21,0.0,0
2020-03-08,NO,Norway,EURO,162.0,183,0.0,0
2020-03-15,NO,Norway,EURO,1181.0,1364,1.0,1
2020-03-22,NO,Norway,EURO,1390.0,2754,6.0,7
2020-03-29,NO,Norway,EURO,1775.0,4529,13.0,20
2020-04-05,NO,Norway,EURO,1226.0,5755,30.0,50
2020-04-12,NO,Norway,EURO,758.0,6513,48.0,98
2020-04-19,NO,Norway,EURO,616.0,7129,50.0,148
2020-04-26,NO,Norway,EURO,422.0,7551,45.0,193
2020-05-03,NO,Norway,EURO,302.0,7853,11.0,204
2020-05-10,NO,Norway,EURO,254.0,8107,9.0,213
2020-05-17,NO,Norway,EURO,135.0,8242,19.0,232
2020-05-24,NO,Norway,EURO,106.0,8348,3.0,235
2020-05-31,NO,Norway,EURO,86.0,8434,1.0,236
2020-06-07,NO,Norway,EURO,111.0,8545,2.0,238
2020-06-14,NO,Norway,EURO,86.0,8631,4.0,242
2020-06-21,NO,Norway,EURO,112.0,8743,2.0,244
2020-06-28,NO,Norway,EURO,115.0,8858,5.0,249
2020-07-05,NO,Norway,EURO,67.0,8925,2.0,251
2020-07-12,NO,Norway,EURO,61.0,8986,1.0,252
2020-07-19,NO,Norway,EURO,55.0,9041,3.0,255
2020-07-26,NO,Norway,EURO,88.0,9129,0.0,255
2020-08-02,NO,Norway,EURO,195.0,9324,0.0,255
2020-08-09,NO,Norway,EURO,351.0,9675,1.0,256
2020-08-16,NO,Norway,EURO,377.0,10052,5.0,261
2020-08-23,NO,Norway,EURO,368.0,10420,3.0,264
2020-08-30,NO,Norway,EURO,346.0,10766,0.0,264
2020-09-06,NO,Norway,EURO,731.0,11497,0.0,264
2020-09-13,NO,Norway,EURO,747.0,12244,1.0,265
2020-09-20,NO,Norway,EURO,721.0,12965,2.0,267
2020-09-27,NO,Norway,EURO,810.0,13775,3.0,270
2020-10-04,NO,Norway,EURO,783.0,14558,5.0,275
2020-10-11,NO,Norway,EURO,1069.0,15627,0.0,275
2020-10-18,NO,Norway,EURO,929.0,16556,3.0,278
2020-10-25,NO,Norway,EURO,1600.0,18156,1.0,279
2020-11-01,NO,Norway,EURO,3028.0,21184,3.0,282
2020-11-08,NO,Norway,EURO,3983.0,25167,3.0,285
2020-11-15,NO,Norway,EURO,4070.0,29237,9.0,294
2020-11-22,NO,Norway,EURO,3785.0,33022,12.0,306
2020-11-29,NO,Norway,EURO,2977.0,35999,22.0,328
2020-12-06,NO,Norway,EURO,2492.0,38491,26.0,354
2020-12-13,NO,Norway,EURO,2701.0,41192,33.0,387
2020-12-20,NO,Norway,EURO,2934.0,44126,17.0,404
2020-12-27,NO,Norway,EURO,3118.0,47244,17.0,421
2021-01-03,NO,Norway,EURO,3847.0,51091,15.0,436
2021-01-10,NO,Norway,EURO,4694.0,55785,42.0,478
2021-01-17,NO,Norway,EURO,3218.0,59003,39.0,517
2021-01-24,NO,Norway,EURO,2259.0,61262,27.0,544
2021-01-31,NO,Norway,EURO,1951.0,63213,19.0,563
2021-02-07,NO,Norway,EURO,1860.0,65073,19.0,582
2021-02-14,NO,Norway,EURO,1742.0,66815,10.0,592
2021-02-21,NO,Norway,EURO,1973.0,68788,15.0,607
2021-02-28,NO,Norway,EURO,2940.0,71728,15.0,622
2021-03-07,NO,Norway,EURO,4010.0,75738,10.0,632
2021-03-14,NO,Norway,EURO,5539.0,81277,7.0,639
2021-03-21,NO,Norway,EURO,6625.0,87902,9.0,648
2021-03-28,NO,Norway,EURO,6092.0,93994,8.0,656
2021-04-04,NO,Norway,EURO,4933.0,98927,17.0,673
2021-04-11,NO,Norway,EURO,5082.0,104009,11.0,684
2021-04-18,NO,Norway,EURO,3789.0,107798,24.0,708
2021-04-25,NO,Norway,EURO,3251.0,111049,28.0,736
2021-05-02,NO,Norway,EURO,2825.0,113874,20.0,756
2021-05-09,NO,Norway,EURO,3064.0,116938,11.0,767
2021-05-16,NO,Norway,EURO,2636.0,119574,7.0,774
2021-05-23,NO,Norway,EURO,3169.0,122743,7.0,781
2021-05-30,NO,Norway,EURO,2442.0,125185,2.0,783
2021-06-06,NO,Norway,EURO,1898.0,127083,1.0,784
2021-06-13,NO,Norway,EURO,1260.0,128343,5.0,789
2021-06-20,NO,Norway,EURO,1250.0,129593,1.0,790
2021-06-27,NO,Norway,EURO,1280.0,130873,2.0,792
2021-07-04,NO,Norway,EURO,1288.0,132161,3.0,795
2021-07-11,NO,Norway,EURO,1200.0,133361,3.0,798
2021-07-18,NO,Norway,EURO,1141.0,134502,2.0,800
2021-07-25,NO,Norway,EURO,1448.0,135950,3.0,803
2021-08-01,NO,Norway,EURO,2236.0,138186,10.0,813
2021-08-08,NO,Norway,EURO,2912.0,141098,10.0,823
2021-08-15,NO,Norway,EURO,3706.0,144804,5.0,828
2021-08-22,NO,Norway,EURO,4330.0,149134,4.0,832
2021-08-29,NO,Norway,EURO,8312.0,157446,10.0,842
2021-09-05,NO,Norway,EURO,10109.0,167555,11.0,853
2021-09-12,NO,Norway,EURO,8732.0,176287,21.0,874
2021-09-19,NO,Norway,EURO,6028.0,182315,11.0,885
2021-09-26,NO,Norway,EURO,4710.0,187025,12.0,897
2021-10-03,NO,Norway,EURO,3614.0,190639,7.0,904
2021-10-10,NO,Norway,EURO,3024.0,193663,8.0,912
2021-10-17,NO,Norway,EURO,2817.0,196480,6.0,918
