Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NP,Nepal,SEARO,0.0,0,0.0,0
2020-01-12,NP,Nepal,SEARO,0.0,0,0.0,0
2020-01-19,NP,Nepal,SEARO,0.0,0,0.0,0
2020-01-26,NP,Nepal,SEARO,5.0,5,0.0,0
2020-02-02,NP,Nepal,SEARO,0.0,5,0.0,0
2020-02-09,NP,Nepal,SEARO,0.0,5,0.0,0
2020-02-16,NP,Nepal,SEARO,0.0,5,0.0,0
2020-02-23,NP,Nepal,SEARO,0.0,5,0.0,0
2020-03-01,NP,Nepal,SEARO,0.0,5,0.0,0
2020-03-08,NP,Nepal,SEARO,0.0,5,0.0,0
2020-03-15,NP,Nepal,SEARO,0.0,5,0.0,0
2020-03-22,NP,Nepal,SEARO,0.0,5,0.0,0
2020-03-29,NP,Nepal,SEARO,0.0,5,0.0,0
2020-04-05,NP,Nepal,SEARO,4.0,9,0.0,0
2020-04-12,NP,Nepal,SEARO,3.0,12,0.0,0
2020-04-19,NP,Nepal,SEARO,19.0,31,0.0,0
2020-04-26,NP,Nepal,SEARO,20.0,51,0.0,0
2020-05-03,NP,Nepal,SEARO,24.0,75,0.0,0
2020-05-10,NP,Nepal,SEARO,35.0,110,0.0,0
2020-05-17,NP,Nepal,SEARO,185.0,295,2.0,2
2020-05-24,NP,Nepal,SEARO,308.0,603,1.0,3
2020-05-31,NP,Nepal,SEARO,969.0,1572,5.0,8
2020-06-07,NP,Nepal,SEARO,1876.0,3448,6.0,14
2020-06-14,NP,Nepal,SEARO,2312.0,5760,6.0,20
2020-06-21,NP,Nepal,SEARO,3266.0,9026,4.0,24
2020-06-28,NP,Nepal,SEARO,3746.0,12772,5.0,29
2020-07-05,NP,Nepal,SEARO,3012.0,15784,7.0,36
2020-07-12,NP,Nepal,SEARO,1017.0,16801,5.0,41
2020-07-19,NP,Nepal,SEARO,857.0,17658,2.0,43
2020-07-26,NP,Nepal,SEARO,955.0,18613,5.0,48
2020-08-02,NP,Nepal,SEARO,1719.0,20332,13.0,61
2020-08-09,NP,Nepal,SEARO,2640.0,22972,19.0,80
2020-08-16,NP,Nepal,SEARO,3688.0,26660,34.0,114
2020-08-23,NP,Nepal,SEARO,5275.0,31935,50.0,164
2020-08-30,NP,Nepal,SEARO,6626.0,38561,80.0,244
2020-09-06,NP,Nepal,SEARO,7696.0,46257,83.0,327
2020-09-13,NP,Nepal,SEARO,7902.0,54159,63.0,390
2020-09-20,NP,Nepal,SEARO,9963.0,64122,82.0,472
2020-09-27,NP,Nepal,SEARO,9272.0,73394,89.0,561
2020-10-04,NP,Nepal,SEARO,13429.0,86823,98.0,659
2020-10-11,NP,Nepal,SEARO,20932.0,107755,157.0,816
2020-10-18,NP,Nepal,SEARO,24491.0,132246,176.0,992
2020-10-25,NP,Nepal,SEARO,25843.0,158089,219.0,1211
2020-11-01,NP,Nepal,SEARO,15478.0,173567,221.0,1432
2020-11-08,NP,Nepal,SEARO,20886.0,194453,230.0,1662
2020-11-15,NP,Nepal,SEARO,15323.0,209776,207.0,1869
2020-11-22,NP,Nepal,SEARO,10532.0,220308,166.0,2035
2020-11-29,NP,Nepal,SEARO,11670.0,231978,216.0,2251
2020-12-06,NP,Nepal,SEARO,9003.0,240981,168.0,2419
2020-12-13,NP,Nepal,SEARO,7442.0,248423,140.0,2559
2020-12-20,NP,Nepal,SEARO,5349.0,253772,104.0,2663
2020-12-27,NP,Nepal,SEARO,4409.0,258181,57.0,2720
2021-01-03,NP,Nepal,SEARO,3678.0,261859,65.0,2785
2021-01-10,NP,Nepal,SEARO,2921.0,264780,56.0,2841
2021-01-17,NP,Nepal,SEARO,2542.0,267322,51.0,2892
2021-01-24,NP,Nepal,SEARO,2128.0,269450,42.0,2934
2021-01-31,NP,Nepal,SEARO,1509.0,270959,28.0,2962
2021-02-07,NP,Nepal,SEARO,966.0,271925,9.0,2971
2021-02-14,NP,Nepal,SEARO,793.0,272718,16.0,2987
2021-02-21,NP,Nepal,SEARO,713.0,273431,7.0,2994
2021-02-28,NP,Nepal,SEARO,712.0,274143,13.0,3007
2021-03-07,NP,Nepal,SEARO,578.0,274721,3.0,3010
2021-03-14,NP,Nepal,SEARO,510.0,275231,4.0,3014
2021-03-21,NP,Nepal,SEARO,675.0,275906,2.0,3016
2021-03-28,NP,Nepal,SEARO,933.0,276839,11.0,3027
2021-04-04,NP,Nepal,SEARO,1105.0,277944,5.0,3032
2021-04-11,NP,Nepal,SEARO,2084.0,280028,8.0,3040
2021-04-18,NP,Nepal,SEARO,4645.0,284673,43.0,3083
2021-04-25,NP,Nepal,SEARO,15446.0,300119,81.0,3164
2021-05-02,NP,Nepal,SEARO,35911.0,336030,161.0,3325
2021-05-09,NP,Nepal,SEARO,58637.0,394667,395.0,3720
2021-05-16,NP,Nepal,SEARO,60353.0,455020,1281.0,5001
2021-05-23,NP,Nepal,SEARO,58221.0,513241,1345.0,6346
2021-05-30,NP,Nepal,SEARO,43883.0,557124,926.0,7272
