Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NR,Nauru,WPRO,0.0,0,0.0,0
2020-01-12,NR,Nauru,WPRO,0.0,0,0.0,0
2020-01-19,NR,Nauru,WPRO,0.0,0,0.0,0
2020-01-26,NR,Nauru,WPRO,0.0,0,0.0,0
2020-02-02,NR,Nauru,WPRO,0.0,0,0.0,0
2020-02-09,NR,Nauru,WPRO,0.0,0,0.0,0
2020-02-16,NR,Nauru,WPRO,0.0,0,0.0,0
2020-02-23,NR,Nauru,WPRO,0.0,0,0.0,0
2020-03-01,NR,Nauru,WPRO,0.0,0,0.0,0
2020-03-08,NR,Nauru,WPRO,0.0,0,0.0,0
2020-03-15,NR,Nauru,WPRO,0.0,0,0.0,0
2020-03-22,NR,Nauru,WPRO,0.0,0,0.0,0
2020-03-29,NR,Nauru,WPRO,0.0,0,0.0,0
2020-04-05,NR,Nauru,WPRO,0.0,0,0.0,0
2020-04-12,NR,Nauru,WPRO,0.0,0,0.0,0
2020-04-19,NR,Nauru,WPRO,0.0,0,0.0,0
2020-04-26,NR,Nauru,WPRO,0.0,0,0.0,0
2020-05-03,NR,Nauru,WPRO,0.0,0,0.0,0
2020-05-10,NR,Nauru,WPRO,0.0,0,0.0,0
2020-05-17,NR,Nauru,WPRO,0.0,0,0.0,0
2020-05-24,NR,Nauru,WPRO,0.0,0,0.0,0
2020-05-31,NR,Nauru,WPRO,0.0,0,0.0,0
2020-06-07,NR,Nauru,WPRO,0.0,0,0.0,0
2020-06-14,NR,Nauru,WPRO,0.0,0,0.0,0
2020-06-21,NR,Nauru,WPRO,0.0,0,0.0,0
2020-06-28,NR,Nauru,WPRO,0.0,0,0.0,0
2020-07-05,NR,Nauru,WPRO,0.0,0,0.0,0
2020-07-12,NR,Nauru,WPRO,0.0,0,0.0,0
2020-07-19,NR,Nauru,WPRO,0.0,0,0.0,0
2020-07-26,NR,Nauru,WPRO,0.0,0,0.0,0
2020-08-02,NR,Nauru,WPRO,0.0,0,0.0,0
2020-08-09,NR,Nauru,WPRO,0.0,0,0.0,0
2020-08-16,NR,Nauru,WPRO,0.0,0,0.0,0
2020-08-23,NR,Nauru,WPRO,0.0,0,0.0,0
2020-08-30,NR,Nauru,WPRO,0.0,0,0.0,0
2020-09-06,NR,Nauru,WPRO,0.0,0,0.0,0
2020-09-13,NR,Nauru,WPRO,0.0,0,0.0,0
2020-09-20,NR,Nauru,WPRO,0.0,0,0.0,0
2020-09-27,NR,Nauru,WPRO,0.0,0,0.0,0
2020-10-04,NR,Nauru,WPRO,0.0,0,0.0,0
2020-10-11,NR,Nauru,WPRO,0.0,0,0.0,0
2020-10-18,NR,Nauru,WPRO,0.0,0,0.0,0
2020-10-25,NR,Nauru,WPRO,0.0,0,0.0,0
2020-11-01,NR,Nauru,WPRO,0.0,0,0.0,0
2020-11-08,NR,Nauru,WPRO,0.0,0,0.0,0
2020-11-15,NR,Nauru,WPRO,0.0,0,0.0,0
2020-11-22,NR,Nauru,WPRO,0.0,0,0.0,0
2020-11-29,NR,Nauru,WPRO,0.0,0,0.0,0
2020-12-06,NR,Nauru,WPRO,0.0,0,0.0,0
2020-12-13,NR,Nauru,WPRO,0.0,0,0.0,0
2020-12-20,NR,Nauru,WPRO,0.0,0,0.0,0
2020-12-27,NR,Nauru,WPRO,0.0,0,0.0,0
2021-01-03,NR,Nauru,WPRO,0.0,0,0.0,0
2021-01-10,NR,Nauru,WPRO,0.0,0,0.0,0
2021-01-17,NR,Nauru,WPRO,0.0,0,0.0,0
2021-01-24,NR,Nauru,WPRO,0.0,0,0.0,0
2021-01-31,NR,Nauru,WPRO,0.0,0,0.0,0
2021-02-07,NR,Nauru,WPRO,0.0,0,0.0,0
2021-02-14,NR,Nauru,WPRO,0.0,0,0.0,0
2021-02-21,NR,Nauru,WPRO,0.0,0,0.0,0
2021-02-28,NR,Nauru,WPRO,0.0,0,0.0,0
2021-03-07,NR,Nauru,WPRO,0.0,0,0.0,0
2021-03-14,NR,Nauru,WPRO,0.0,0,0.0,0
2021-03-21,NR,Nauru,WPRO,0.0,0,0.0,0
2021-03-28,NR,Nauru,WPRO,0.0,0,0.0,0
2021-04-04,NR,Nauru,WPRO,0.0,0,0.0,0
2021-04-11,NR,Nauru,WPRO,0.0,0,0.0,0
2021-04-18,NR,Nauru,WPRO,0.0,0,0.0,0
2021-04-25,NR,Nauru,WPRO,0.0,0,0.0,0
2021-05-02,NR,Nauru,WPRO,0.0,0,0.0,0
2021-05-09,NR,Nauru,WPRO,0.0,0,0.0,0
2021-05-16,NR,Nauru,WPRO,0.0,0,0.0,0
2021-05-23,NR,Nauru,WPRO,0.0,0,0.0,0
