Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-01-12,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-01-19,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-01-26,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-02-02,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-02-09,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-02-16,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-02-23,NZ,New Zealand,WPRO,0.0,0,0.0,0
2020-03-01,NZ,New Zealand,WPRO,1.0,1,0.0,0
2020-03-08,NZ,New Zealand,WPRO,4.0,5,0.0,0
2020-03-15,NZ,New Zealand,WPRO,3.0,8,0.0,0
2020-03-22,NZ,New Zealand,WPRO,58.0,66,0.0,0
2020-03-29,NZ,New Zealand,WPRO,410.0,476,1.0,1
2020-04-05,NZ,New Zealand,WPRO,396.0,872,0.0,1
2020-04-12,NZ,New Zealand,WPRO,177.0,1049,3.0,4
2020-04-19,NZ,New Zealand,WPRO,49.0,1098,7.0,11
2020-04-26,NZ,New Zealand,WPRO,23.0,1121,7.0,18
2020-05-03,NZ,New Zealand,WPRO,15.0,1136,2.0,20
2020-05-10,NZ,New Zealand,WPRO,8.0,1144,1.0,21
2020-05-17,NZ,New Zealand,WPRO,5.0,1149,0.0,21
2020-05-24,NZ,New Zealand,WPRO,5.0,1154,0.0,21
2020-05-31,NZ,New Zealand,WPRO,0.0,1154,1.0,22
2020-06-07,NZ,New Zealand,WPRO,0.0,1154,0.0,22
2020-06-14,NZ,New Zealand,WPRO,0.0,1154,0.0,22
2020-06-21,NZ,New Zealand,WPRO,5.0,1159,0.0,22
2020-06-28,NZ,New Zealand,WPRO,17.0,1176,0.0,22
2020-07-05,NZ,New Zealand,WPRO,7.0,1183,0.0,22
2020-07-12,NZ,New Zealand,WPRO,11.0,1194,0.0,22
2020-07-19,NZ,New Zealand,WPRO,9.0,1203,0.0,22
2020-07-26,NZ,New Zealand,WPRO,3.0,1206,0.0,22
2020-08-02,NZ,New Zealand,WPRO,9.0,1215,0.0,22
2020-08-09,NZ,New Zealand,WPRO,4.0,1219,0.0,22
2020-08-16,NZ,New Zealand,WPRO,52.0,1271,0.0,22
2020-08-23,NZ,New Zealand,WPRO,53.0,1324,0.0,22
2020-08-30,NZ,New Zealand,WPRO,54.0,1378,0.0,22
2020-09-06,NZ,New Zealand,WPRO,43.0,1421,2.0,24
2020-09-13,NZ,New Zealand,WPRO,25.0,1446,0.0,24
2020-09-20,NZ,New Zealand,WPRO,18.0,1464,1.0,25
2020-09-27,NZ,New Zealand,WPRO,13.0,1477,0.0,25
2020-10-04,NZ,New Zealand,WPRO,21.0,1498,0.0,25
2020-10-11,NZ,New Zealand,WPRO,17.0,1515,0.0,25
2020-10-18,NZ,New Zealand,WPRO,15.0,1530,0.0,25
2020-10-25,NZ,New Zealand,WPRO,49.0,1579,0.0,25
2020-11-01,NZ,New Zealand,WPRO,25.0,1604,0.0,25
2020-11-08,NZ,New Zealand,WPRO,23.0,1627,0.0,25
2020-11-15,NZ,New Zealand,WPRO,18.0,1645,0.0,25
2020-11-22,NZ,New Zealand,WPRO,28.0,1673,0.0,25
2020-11-29,NZ,New Zealand,WPRO,24.0,1697,0.0,25
2020-12-06,NZ,New Zealand,WPRO,26.0,1723,0.0,25
2020-12-13,NZ,New Zealand,WPRO,18.0,1741,0.0,25
