Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PA,Panama,AMRO,0.0,0,0.0,0
2020-01-12,PA,Panama,AMRO,0.0,0,0.0,0
2020-01-19,PA,Panama,AMRO,0.0,0,0.0,0
2020-01-26,PA,Panama,AMRO,0.0,0,0.0,0
2020-02-02,PA,Panama,AMRO,0.0,0,0.0,0
2020-02-09,PA,Panama,AMRO,0.0,0,0.0,0
2020-02-16,PA,Panama,AMRO,0.0,0,0.0,0
2020-02-23,PA,Panama,AMRO,0.0,0,0.0,0
2020-03-01,PA,Panama,AMRO,0.0,0,0.0,0
2020-03-08,PA,Panama,AMRO,0.0,0,0.0,0
2020-03-15,PA,Panama,AMRO,27.0,27,1.0,1
2020-03-22,PA,Panama,AMRO,110.0,137,0.0,1
2020-03-29,PA,Panama,AMRO,649.0,786,13.0,14
2020-04-05,PA,Panama,AMRO,887.0,1673,27.0,41
2020-04-12,PA,Panama,AMRO,1301.0,2974,33.0,74
2020-04-19,PA,Panama,AMRO,1236.0,4210,41.0,115
2020-04-26,PA,Panama,AMRO,1128.0,5338,39.0,154
2020-05-03,PA,Panama,AMRO,1382.0,6720,38.0,192
2020-05-10,PA,Panama,AMRO,1350.0,8070,39.0,231
2020-05-17,PA,Panama,AMRO,1198.0,9268,35.0,266
2020-05-24,PA,Panama,AMRO,999.0,10267,29.0,295
2020-05-31,PA,Panama,AMRO,2264.0,12531,31.0,326
2020-06-07,PA,Panama,AMRO,2932.0,15463,44.0,370
2020-06-14,PA,Panama,AMRO,3748.0,19211,51.0,421
2020-06-21,PA,Panama,AMRO,5063.0,24274,64.0,485
2020-06-28,PA,Panama,AMRO,5631.0,29905,90.0,575
2020-07-05,PA,Panama,AMRO,6090.0,35995,123.0,698
2020-07-12,PA,Panama,AMRO,7262.0,43257,165.0,863
2020-07-19,PA,Panama,AMRO,8151.0,51408,175.0,1038
2020-07-26,PA,Panama,AMRO,6585.0,57993,212.0,1250
2020-08-02,PA,Panama,AMRO,7263.0,65256,171.0,1421
2020-08-09,PA,Panama,AMRO,7304.0,72560,170.0,1591
2020-08-16,PA,Panama,AMRO,6842.0,79402,143.0,1734
2020-08-23,PA,Panama,AMRO,4990.0,84392,125.0,1859
2020-08-30,PA,Panama,AMRO,6232.0,90624,107.0,1966
2020-09-06,PA,Panama,AMRO,4972.0,95596,97.0,2063
2020-09-13,PA,Panama,AMRO,4734.0,100330,77.0,2140
2020-09-20,PA,Panama,AMRO,4549.0,104879,89.0,2229
2020-09-27,PA,Panama,AMRO,4552.0,109431,82.0,2311
2020-10-04,PA,Panama,AMRO,4531.0,113962,95.0,2406
2020-10-11,PA,Panama,AMRO,4879.0,118841,68.0,2474
2020-10-18,PA,Panama,AMRO,4657.0,123498,72.0,2546
2020-10-25,PA,Panama,AMRO,4368.0,127866,76.0,2622
2020-11-01,PA,Panama,AMRO,5001.0,132867,66.0,2688
2020-11-08,PA,Panama,AMRO,4893.0,137760,82.0,2770
2020-11-15,PA,Panama,AMRO,6717.0,144477,86.0,2856
2020-11-22,PA,Panama,AMRO,7812.0,152289,76.0,2932
2020-11-29,PA,Panama,AMRO,9455.0,161744,98.0,3030
2020-12-06,PA,Panama,AMRO,11863.0,173607,124.0,3154
2020-12-13,PA,Panama,AMRO,14172.0,187779,155.0,3309
2020-12-20,PA,Panama,AMRO,18531.0,206310,195.0,3504
2020-12-27,PA,Panama,AMRO,20350.0,226660,252.0,3756
2021-01-03,PA,Panama,AMRO,23073.0,249733,308.0,4064
2021-01-10,PA,Panama,AMRO,23304.0,273037,299.0,4363
2021-01-17,PA,Panama,AMRO,20555.0,293592,326.0,4689
2021-01-24,PA,Panama,AMRO,14201.0,307793,291.0,4980
2021-01-31,PA,Panama,AMRO,10460.0,318253,241.0,5221
2021-02-07,PA,Panama,AMRO,7234.0,325487,205.0,5426
2021-02-14,PA,Panama,AMRO,5498.0,330985,169.0,5595
2021-02-21,PA,Panama,AMRO,4354.0,335339,116.0,5711
2021-02-28,PA,Panama,AMRO,4442.0,339781,109.0,5820
2021-03-07,PA,Panama,AMRO,3962.0,343743,87.0,5907
2021-03-14,PA,Panama,AMRO,3483.0,347226,74.0,5981
2021-03-21,PA,Panama,AMRO,2994.0,350220,54.0,6035
2021-03-28,PA,Panama,AMRO,2797.0,353017,52.0,6087
2021-04-04,PA,Panama,AMRO,2833.0,355850,39.0,6126
2021-04-11,PA,Panama,AMRO,2248.0,358098,30.0,6156
2021-04-18,PA,Panama,AMRO,2151.0,360249,29.0,6185
2021-04-25,PA,Panama,AMRO,2109.0,362358,15.0,6200
2021-05-02,PA,Panama,AMRO,2218.0,364576,32.0,6232
2021-05-09,PA,Panama,AMRO,2186.0,366762,26.0,6258
2021-05-16,PA,Panama,AMRO,3281.0,370043,34.0,6292
2021-05-23,PA,Panama,AMRO,3265.0,373308,29.0,6321
2021-05-30,PA,Panama,AMRO,3546.0,376854,44.0,6365
2021-06-06,PA,Panama,AMRO,4268.0,381122,24.0,6389
2021-06-13,PA,Panama,AMRO,5147.0,386269,38.0,6427
2021-06-20,PA,Panama,AMRO,5897.0,392166,38.0,6465
2021-06-27,PA,Panama,AMRO,6654.0,398820,40.0,6505
2021-07-04,PA,Panama,AMRO,7193.0,406013,55.0,6560
2021-07-11,PA,Panama,AMRO,7613.0,413626,54.0,6614
2021-07-18,PA,Panama,AMRO,7290.0,420916,74.0,6688
2021-07-25,PA,Panama,AMRO,7071.0,427987,55.0,6743
2021-08-01,PA,Panama,AMRO,6473.0,434460,65.0,6808
2021-08-08,PA,Panama,AMRO,6034.0,440494,77.0,6885
2021-08-15,PA,Panama,AMRO,5915.0,446409,54.0,6939
2021-08-22,PA,Panama,AMRO,4884.0,451293,59.0,6998
2021-08-29,PA,Panama,AMRO,4234.0,455527,41.0,7039
2021-09-05,PA,Panama,AMRO,3550.0,459077,34.0,7073
2021-09-12,PA,Panama,AMRO,2513.0,461590,49.0,7122
2021-09-19,PA,Panama,AMRO,2193.0,463783,47.0,7169
2021-09-26,PA,Panama,AMRO,1953.0,465736,28.0,7197
2021-10-03,PA,Panama,AMRO,1602.0,467338,33.0,7230
2021-10-10,PA,Panama,AMRO,1402.0,468740,30.0,7260
2021-10-17,PA,Panama,AMRO,1258.0,469998,28.0,7288
2021-10-24,PA,Panama,AMRO,1255.0,471253,18.0,7306
2021-10-31,PA,Panama,AMRO,1145.0,472398,9.0,7315
2021-11-07,PA,Panama,AMRO,785.0,473183,7.0,7322
2021-11-14,PA,Panama,AMRO,1048.0,474231,19.0,7341
2021-11-21,PA,Panama,AMRO,1346.0,475577,9.0,7350
2021-11-28,PA,Panama,AMRO,1519.0,477096,10.0,7360
2021-12-05,PA,Panama,AMRO,1447.0,478543,11.0,7371
2021-12-12,PA,Panama,AMRO,1547.0,480090,11.0,7382
2021-12-19,PA,Panama,AMRO,2587.0,482677,16.0,7398
2021-12-26,PA,Panama,AMRO,3700.0,486377,11.0,7409
2022-01-02,PA,Panama,AMRO,9543.0,495920,19.0,7428
2022-01-09,PA,Panama,AMRO,21525.0,517445,25.0,7453
2022-01-16,PA,Panama,AMRO,41231.0,558676,47.0,7500
2022-01-23,PA,Panama,AMRO,68214.0,626890,74.0,7574
2022-01-30,PA,Panama,AMRO,58740.0,685630,106.0,7680
2022-02-06,PA,Panama,AMRO,35849.0,721479,133.0,7813
2022-02-13,PA,Panama,AMRO,18291.0,739770,113.0,7926
2022-02-20,PA,Panama,AMRO,9365.0,749135,74.0,8000
2022-02-27,PA,Panama,AMRO,5227.0,754362,63.0,8063
2022-03-06,PA,Panama,AMRO,2699.0,757061,43.0,8106
2022-03-13,PA,Panama,AMRO,2163.0,759224,25.0,8131
2022-03-20,PA,Panama,AMRO,1780.0,761004,22.0,8153
2022-03-27,PA,Panama,AMRO,2021.0,763025,9.0,8162
2022-04-03,PA,Panama,AMRO,1806.0,764831,8.0,8170
2022-04-10,PA,Panama,AMRO,1673.0,766504,4.0,8174
2022-04-17,PA,Panama,AMRO,1966.0,768470,4.0,8178
2022-04-24,PA,Panama,AMRO,2535.0,771005,4.0,8182
2022-05-01,PA,Panama,AMRO,4483.0,775488,2.0,8184
2022-05-08,PA,Panama,AMRO,8696.0,784184,7.0,8191
2022-05-15,PA,Panama,AMRO,19039.0,803223,11.0,8202
2022-05-22,PA,Panama,AMRO,21694.0,824917,14.0,8216
2022-05-29,PA,Panama,AMRO,22458.0,847375,28.0,8244
2022-06-05,PA,Panama,AMRO,21421.0,868796,23.0,8267
2022-06-12,PA,Panama,AMRO,18841.0,887637,28.0,8295
2022-06-19,PA,Panama,AMRO,12696.0,900333,23.0,8318
2022-06-26,PA,Panama,AMRO,12015.0,912348,22.0,8340
2022-07-03,PA,Panama,AMRO,10642.0,922990,28.0,8368
2022-07-10,PA,Panama,AMRO,9120.0,932110,16.0,8384
2022-07-17,PA,Panama,AMRO,9973.0,942083,11.0,8395
2022-07-24,PA,Panama,AMRO,6390.0,948473,17.0,8412
2022-07-31,PA,Panama,AMRO,5896.0,954369,13.0,8425
2022-08-07,PA,Panama,AMRO,5931.0,960300,9.0,8434
2022-08-14,PA,Panama,AMRO,6479.0,966779,10.0,8444
2022-08-21,PA,Panama,AMRO,6021.0,972800,12.0,8456
2022-08-28,PA,Panama,AMRO,5381.0,978181,14.0,8470
2022-09-04,PA,Panama,AMRO,3641.0,981822,10.0,8480
2022-09-11,PA,Panama,AMRO,2412.0,984234,7.0,8487
2022-09-18,PA,Panama,AMRO,1580.0,985814,3.0,8490
2022-09-25,PA,Panama,AMRO,1052.0,986866,7.0,8497
2022-10-02,PA,Panama,AMRO,747.0,987613,5.0,8502
2022-10-09,PA,Panama,AMRO,667.0,988280,3.0,8505
2022-10-16,PA,Panama,AMRO,725.0,989005,1.0,8506
2022-10-23,PA,Panama,AMRO,603.0,989608,0.0,8506
2022-10-30,PA,Panama,AMRO,805.0,990413,3.0,8509
2022-11-06,PA,Panama,AMRO,838.0,991251,0.0,8509
2022-11-13,PA,Panama,AMRO,1372.0,992623,6.0,8515
2022-11-20,PA,Panama,AMRO,3103.0,995726,4.0,8519
