Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-01-12,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-01-19,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-01-26,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-02-02,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-02-09,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-02-16,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-02-23,PK,Pakistan,EMRO,0.0,0,0.0,0
2020-03-01,PK,Pakistan,EMRO,2.0,2,0.0,0
2020-03-08,PK,Pakistan,EMRO,4.0,6,0.0,0
2020-03-15,PK,Pakistan,EMRO,15.0,21,0.0,0
2020-03-22,PK,Pakistan,EMRO,440.0,461,2.0,2
2020-03-29,PK,Pakistan,EMRO,774.0,1235,7.0,9
2020-04-05,PK,Pakistan,EMRO,1215.0,2450,26.0,35
2020-04-12,PK,Pakistan,EMRO,2245.0,4695,31.0,66
2020-04-19,PK,Pakistan,EMRO,2330.0,7025,69.0,135
2020-04-26,PK,Pakistan,EMRO,4915.0,11940,118.0,253
2020-05-03,PK,Pakistan,EMRO,5759.0,17699,155.0,408
2020-05-10,PK,Pakistan,EMRO,8736.0,26435,191.0,599
2020-05-17,PK,Pakistan,EMRO,10783.0,37218,204.0,803
2020-05-24,PK,Pakistan,EMRO,15219.0,52437,298.0,1101
2020-05-31,PK,Pakistan,EMRO,14020.0,66457,294.0,1395
2020-06-07,PK,Pakistan,EMRO,27526.0,93983,540.0,1935
2020-06-14,PK,Pakistan,EMRO,38422.0,132405,616.0,2551
2020-06-21,PK,Pakistan,EMRO,39261.0,171666,831.0,3382
2020-06-28,PK,Pakistan,EMRO,27217.0,198883,653.0,4035
2020-07-05,PK,Pakistan,EMRO,26400.0,225283,584.0,4619
2020-07-12,PK,Pakistan,EMRO,21068.0,246351,504.0,5123
