Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PL,Poland,EURO,0.0,0,0.0,0
2020-01-12,PL,Poland,EURO,0.0,0,0.0,0
2020-01-19,PL,Poland,EURO,0.0,0,0.0,0
2020-01-26,PL,Poland,EURO,0.0,0,0.0,0
2020-02-02,PL,Poland,EURO,0.0,0,0.0,0
2020-02-09,PL,Poland,EURO,0.0,0,0.0,0
2020-02-16,PL,Poland,EURO,0.0,0,0.0,0
2020-02-23,PL,Poland,EURO,0.0,0,0.0,0
2020-03-01,PL,Poland,EURO,0.0,0,0.0,0
2020-03-08,PL,Poland,EURO,6.0,6,0.0,0
2020-03-15,PL,Poland,EURO,97.0,103,3.0,3
2020-03-22,PL,Poland,EURO,431.0,534,2.0,5
2020-03-29,PL,Poland,EURO,1104.0,1638,13.0,18
2020-04-05,PL,Poland,EURO,1989.0,3627,61.0,79
2020-04-12,PL,Poland,EURO,2728.0,6355,129.0,208
2020-04-19,PL,Poland,EURO,2387.0,8742,137.0,345
2020-04-26,PL,Poland,EURO,2531.0,11273,176.0,521
2020-05-03,PL,Poland,EURO,2102.0,13375,140.0,661
2020-05-10,PL,Poland,EURO,2276.0,15651,122.0,783
2020-05-17,PL,Poland,EURO,2606.0,18257,131.0,914
2020-05-24,PL,Poland,EURO,2674.0,20931,78.0,992
2020-05-31,PL,Poland,EURO,2640.0,23571,68.0,1060
2020-06-07,PL,Poland,EURO,2415.0,25986,90.0,1150
2020-06-14,PL,Poland,EURO,3031.0,29017,86.0,1236
2020-06-21,PL,Poland,EURO,2603.0,31620,109.0,1345
2020-06-28,PL,Poland,EURO,2094.0,33714,89.0,1434
2020-07-05,PL,Poland,EURO,2005.0,35719,77.0,1511
2020-07-12,PL,Poland,EURO,1802.0,37521,57.0,1568
2020-07-19,PL,Poland,EURO,2225.0,39746,49.0,1617
2020-07-26,PL,Poland,EURO,2876.0,42622,47.0,1664
2020-08-02,PL,Poland,EURO,3724.0,46346,57.0,1721
2020-08-09,PL,Poland,EURO,4821.0,51167,79.0,1800
2020-08-16,PL,Poland,EURO,4923.0,56090,69.0,1869
2020-08-23,PL,Poland,EURO,5091.0,61181,82.0,1951
2020-08-30,PL,Poland,EURO,5058.0,66239,81.0,2032
2020-09-06,PL,Poland,EURO,4148.0,70387,81.0,2113
2020-09-13,PL,Poland,EURO,3263.0,73650,68.0,2181
2020-09-20,PL,Poland,EURO,4680.0,78330,100.0,2281
2020-09-27,PL,Poland,EURO,7650.0,85980,142.0,2423
2020-10-04,PL,Poland,EURO,12160.0,98140,180.0,2603
2020-10-11,PL,Poland,EURO,23498.0,121638,369.0,2972
2020-10-18,PL,Poland,EURO,45592.0,167230,553.0,3525
2020-10-25,PL,Poland,EURO,74716.0,241946,790.0,4315
2020-11-01,PL,Poland,EURO,124785.0,366731,1316.0,5631
2020-11-08,PL,Poland,EURO,172909.0,539640,2005.0,7636
2020-11-15,PL,Poland,EURO,183478.0,723118,2409.0,10045
2020-11-22,PL,Poland,EURO,160188.0,883306,3243.0,13288
2020-11-29,PL,Poland,EURO,103928.0,987234,3773.0,17061
2020-12-06,PL,Poland,EURO,78343.0,1065577,3060.0,20121
2020-12-13,PL,Poland,EURO,72231.0,1137808,2775.0,22896
