Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-01-12,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-01-19,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-01-26,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-02-02,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-02-09,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-02-16,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-02-23,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-03-01,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-03-08,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-03-15,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-03-22,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-03-29,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-04-05,PM,Saint Pierre and Miquelon,,0.0,0,0.0,0
2020-04-12,PM,Saint Pierre and Miquelon,,1.0,1,0.0,0
2020-04-19,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-04-26,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-05-03,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-05-10,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-05-17,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-05-24,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-05-31,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-06-07,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-06-14,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-06-21,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-06-28,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-07-05,PM,Saint Pierre and Miquelon,,0.0,1,0.0,0
2020-07-12,PM,Saint Pierre and Miquelon,,1.0,2,0.0,0
2020-07-19,PM,Saint Pierre and Miquelon,,2.0,4,0.0,0
2020-07-26,PM,Saint Pierre and Miquelon,,0.0,4,0.0,0
2020-08-02,PM,Saint Pierre and Miquelon,,0.0,4,0.0,0
2020-08-09,PM,Saint Pierre and Miquelon,,1.0,5,0.0,0
2020-08-16,PM,Saint Pierre and Miquelon,,0.0,5,0.0,0
2020-08-23,PM,Saint Pierre and Miquelon,,0.0,5,0.0,0
2020-08-30,PM,Saint Pierre and Miquelon,,0.0,5,0.0,0
2020-09-06,PM,Saint Pierre and Miquelon,,2.0,7,0.0,0
2020-09-13,PM,Saint Pierre and Miquelon,,4.0,11,0.0,0
2020-09-20,PM,Saint Pierre and Miquelon,,0.0,11,0.0,0
2020-09-27,PM,Saint Pierre and Miquelon,,1.0,12,0.0,0
2020-10-04,PM,Saint Pierre and Miquelon,,0.0,12,0.0,0
2020-10-11,PM,Saint Pierre and Miquelon,,0.0,12,0.0,0
2020-10-18,PM,Saint Pierre and Miquelon,,0.0,12,0.0,0
2020-10-25,PM,Saint Pierre and Miquelon,,0.0,12,0.0,0
2020-11-01,PM,Saint Pierre and Miquelon,,0.0,12,0.0,0
2020-11-08,PM,Saint Pierre and Miquelon,,2.0,14,0.0,0
2020-11-15,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-11-22,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-11-29,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-12-06,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-12-13,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-12-20,PM,Saint Pierre and Miquelon,,0.0,14,0.0,0
2020-12-27,PM,Saint Pierre and Miquelon,,2.0,16,0.0,0
2021-01-03,PM,Saint Pierre and Miquelon,,0.0,16,0.0,0
2021-01-10,PM,Saint Pierre and Miquelon,,0.0,16,0.0,0
2021-01-17,PM,Saint Pierre and Miquelon,,0.0,16,0.0,0
2021-01-24,PM,Saint Pierre and Miquelon,,4.0,20,0.0,0
2021-01-31,PM,Saint Pierre and Miquelon,,4.0,24,0.0,0
2021-02-07,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-02-14,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-02-21,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-02-28,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-03-07,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-03-14,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-03-21,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-03-28,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-04-04,PM,Saint Pierre and Miquelon,,0.0,24,0.0,0
2021-04-11,PM,Saint Pierre and Miquelon,,1.0,25,0.0,0
2021-04-18,PM,Saint Pierre and Miquelon,,0.0,25,0.0,0
