Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-01-12,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-01-19,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-01-26,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-02-02,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-02-09,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-02-16,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-02-23,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-03-01,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-03-08,PR,Puerto Rico,AMRO,0.0,0,0.0,0
2020-03-15,PR,Puerto Rico,AMRO,2.0,2,0.0,0
2020-03-22,PR,Puerto Rico,AMRO,39.0,41,4.0,4
2020-03-29,PR,Puerto Rico,AMRO,255.0,296,12.0,16
2020-04-05,PR,Puerto Rico,AMRO,335.0,631,18.0,34
2020-04-12,PR,Puerto Rico,AMRO,158.0,789,24.0,58
2020-04-19,PR,Puerto Rico,AMRO,138.0,927,21.0,79
2020-04-26,PR,Puerto Rico,AMRO,109.0,1036,19.0,98
2020-05-03,PR,Puerto Rico,AMRO,92.0,1128,15.0,113
2020-05-10,PR,Puerto Rico,AMRO,108.0,1236,10.0,123
2020-05-17,PR,Puerto Rico,AMRO,73.0,1309,5.0,128
2020-05-24,PR,Puerto Rico,AMRO,59.0,1368,9.0,137
2020-05-31,PR,Puerto Rico,AMRO,77.0,1445,6.0,143
2020-06-07,PR,Puerto Rico,AMRO,86.0,1531,6.0,149
2020-06-14,PR,Puerto Rico,AMRO,85.0,1616,4.0,153
2020-06-21,PR,Puerto Rico,AMRO,104.0,1720,3.0,156
2020-06-28,PR,Puerto Rico,AMRO,220.0,1940,2.0,158
2020-07-05,PR,Puerto Rico,AMRO,488.0,2428,5.0,163
2020-07-12,PR,Puerto Rico,AMRO,1346.0,3774,14.0,177
2020-07-19,PR,Puerto Rico,AMRO,2008.0,5782,16.0,193
2020-07-26,PR,Puerto Rico,AMRO,1678.0,7460,29.0,222
2020-08-02,PR,Puerto Rico,AMRO,1559.0,9019,44.0,266
2020-08-09,PR,Puerto Rico,AMRO,2520.0,11539,45.0,311
2020-08-16,PR,Puerto Rico,AMRO,2379.0,13918,73.0,384
2020-08-23,PR,Puerto Rico,AMRO,1954.0,15872,49.0,433
2020-08-30,PR,Puerto Rico,AMRO,1779.0,17651,29.0,462
2020-09-06,PR,Puerto Rico,AMRO,1750.0,19401,53.0,515
2020-09-13,PR,Puerto Rico,AMRO,2283.0,21684,73.0,588
2020-09-20,PR,Puerto Rico,AMRO,2697.0,24381,47.0,635
2020-09-27,PR,Puerto Rico,AMRO,1926.0,26307,46.0,681
2020-10-04,PR,Puerto Rico,AMRO,1921.0,28228,50.0,731
2020-10-11,PR,Puerto Rico,AMRO,2507.0,30735,42.0,773
2020-10-18,PR,Puerto Rico,AMRO,2692.0,33427,40.0,813
2020-10-25,PR,Puerto Rico,AMRO,3343.0,36770,37.0,850
2020-11-01,PR,Puerto Rico,AMRO,4007.0,40777,41.0,891
2020-11-08,PR,Puerto Rico,AMRO,4559.0,45336,54.0,945
2020-11-15,PR,Puerto Rico,AMRO,5835.0,51171,73.0,1018
2020-11-22,PR,Puerto Rico,AMRO,6477.0,57648,82.0,1100
2020-11-29,PR,Puerto Rico,AMRO,4783.0,62431,108.0,1208
2020-12-06,PR,Puerto Rico,AMRO,6636.0,69067,104.0,1312
2020-12-13,PR,Puerto Rico,AMRO,5807.0,74874,117.0,1429
2020-12-20,PR,Puerto Rico,AMRO,4687.0,79561,109.0,1538
2020-12-27,PR,Puerto Rico,AMRO,2742.0,82303,92.0,1630
2021-01-03,PR,Puerto Rico,AMRO,3042.0,85345,68.0,1698
2021-01-10,PR,Puerto Rico,AMRO,3514.0,88859,81.0,1779
2021-01-17,PR,Puerto Rico,AMRO,3810.0,92669,58.0,1837
