Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-01-12,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-01-19,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-01-26,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-02-02,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-02-09,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-02-16,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-02-23,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-03-01,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,0.0,0,0.0,0
2020-03-08,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,19.0,19,0.0,0
2020-03-15,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,19.0,38,0.0,0
2020-03-22,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,15.0,53,0.0,0
2020-03-29,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,44.0,97,1.0,1
2020-04-05,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,120.0,217,0.0,1
2020-04-12,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,51.0,268,1.0,2
2020-04-19,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,45.0,313,0.0,2
2020-04-26,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,29.0,342,0.0,2
2020-05-03,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,11.0,353,0.0,2
2020-05-10,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,194.0,547,2.0,4
2020-05-17,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,8.0,555,0.0,4
2020-05-24,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,47.0,602,1.0,5
2020-05-31,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,24.0,626,0.0,5
2020-06-07,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,17.0,643,0.0,5
2020-06-14,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,30.0,673,0.0,5
2020-06-21,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,306.0,979,0.0,5
2020-06-28,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,1074.0,2053,2.0,7
2020-07-05,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,2197.0,4250,12.0,19
2020-07-12,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,2438.0,6688,13.0,32
2020-07-19,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,2899.0,9587,30.0,62
2020-07-26,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3208.0,12795,16.0,78
2020-08-02,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,2760.0,15555,8.0,86
2020-08-09,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,2819.0,18374,17.0,103
2020-08-16,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3180.0,21554,16.0,119
2020-08-23,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3144.0,24698,19.0,138
2020-08-30,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3829.0,28527,26.0,164
2020-09-06,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,4723.0,33250,35.0,199
2020-09-13,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,5266.0,38516,39.0,238
2020-09-20,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,6247.0,44763,53.0,291
2020-09-27,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3809.0,48572,43.0,334
2020-10-04,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3441.0,52013,56.0,390
2020-10-11,PS,"occupied Palestinian territory, including east Jerusalem",EMRO,3121.0,55134,52.0,442
