Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,RO,Romania,EURO,0.0,0,0.0,0
2020-01-12,RO,Romania,EURO,0.0,0,0.0,0
2020-01-19,RO,Romania,EURO,0.0,0,0.0,0
2020-01-26,RO,Romania,EURO,0.0,0,0.0,0
2020-02-02,RO,Romania,EURO,0.0,0,0.0,0
2020-02-09,RO,Romania,EURO,0.0,0,0.0,0
2020-02-16,RO,Romania,EURO,0.0,0,0.0,0
2020-02-23,RO,Romania,EURO,0.0,0,0.0,0
2020-03-01,RO,Romania,EURO,4.0,4,0.0,0
2020-03-08,RO,Romania,EURO,11.0,15,0.0,0
2020-03-15,RO,Romania,EURO,124.0,139,0.0,0
2020-03-22,RO,Romania,EURO,228.0,367,0.0,0
2020-03-29,RO,Romania,EURO,1085.0,1452,37.0,37
2020-04-05,RO,Romania,EURO,2161.0,3613,109.0,146
2020-04-12,RO,Romania,EURO,2377.0,5990,145.0,291
2020-04-19,RO,Romania,EURO,2428.0,8418,130.0,421
2020-04-26,RO,Romania,EURO,2217.0,10635,180.0,601
2020-05-03,RO,Romania,EURO,2097.0,12732,170.0,771
2020-05-10,RO,Romania,EURO,2399.0,15131,168.0,939
2020-05-17,RO,Romania,EURO,1573.0,16704,155.0,1094
2020-05-24,RO,Romania,EURO,1153.0,17857,82.0,1176
2020-05-31,RO,Romania,EURO,1276.0,19133,83.0,1259
2020-06-07,RO,Romania,EURO,1157.0,20290,59.0,1318
2020-06-14,RO,Romania,EURO,1389.0,21679,76.0,1394
2020-06-21,RO,Romania,EURO,2051.0,23730,106.0,1500
2020-06-28,RO,Romania,EURO,2292.0,26022,89.0,1589
2020-07-05,RO,Romania,EURO,2560.0,28582,142.0,1731
2020-07-12,RO,Romania,EURO,3497.0,32079,140.0,1871
2020-07-19,RO,Romania,EURO,4612.0,36691,138.0,2009
2020-07-26,RO,Romania,EURO,6987.0,43678,156.0,2165
2020-08-02,RO,Romania,EURO,8433.0,52111,214.0,2379
2020-08-09,RO,Romania,EURO,8512.0,60623,280.0,2659
2020-08-16,RO,Romania,EURO,8751.0,69374,295.0,2954
2020-08-23,RO,Romania,EURO,8170.0,77544,279.0,3233
2020-08-30,RO,Romania,EURO,8289.0,85833,306.0,3539
2020-09-06,RO,Romania,EURO,8031.0,93864,311.0,3850
2020-09-13,RO,Romania,EURO,8522.0,102386,277.0,4127
2020-09-20,RO,Romania,EURO,9164.0,111550,275.0,4402
2020-09-27,RO,Romania,EURO,9685.0,121235,285.0,4687
2020-10-04,RO,Romania,EURO,12830.0,134065,260.0,4947
2020-10-11,RO,Romania,EURO,18338.0,152403,411.0,5358
2020-10-18,RO,Romania,EURO,24065.0,176468,454.0,5812
2020-10-25,RO,Romania,EURO,29325.0,205793,506.0,6318
2020-11-01,RO,Romania,EURO,35546.0,241339,650.0,6968
2020-11-08,RO,Romania,EURO,55660.0,296999,825.0,7793
2020-11-15,RO,Romania,EURO,56186.0,353185,1020.0,8813
2020-11-22,RO,Romania,EURO,59623.0,412808,1103.0,9916
2020-11-29,RO,Romania,EURO,53174.0,465982,1129.0,11045
2020-12-06,RO,Romania,EURO,42363.0,508345,1141.0,12186
2020-12-13,RO,Romania,EURO,43555.0,551900,1078.0,13264
2020-12-20,RO,Romania,EURO,36044.0,587944,1032.0,14296
2020-12-27,RO,Romania,EURO,25816.0,613760,812.0,15108
2021-01-03,RO,Romania,EURO,23635.0,637395,811.0,15919
2021-01-10,RO,Romania,EURO,30807.0,668202,673.0,16592
2021-01-17,RO,Romania,EURO,23286.0,691488,572.0,17164
2021-01-24,RO,Romania,EURO,17706.0,709194,558.0,17722
2021-01-31,RO,Romania,EURO,17724.0,726918,542.0,18264
2021-02-07,RO,Romania,EURO,16425.0,743343,545.0,18809
2021-02-14,RO,Romania,EURO,16748.0,760091,516.0,19325
2021-02-21,RO,Romania,EURO,17185.0,777276,470.0,19795
2021-02-28,RO,Romania,EURO,21888.0,799164,492.0,20287
2021-03-07,RO,Romania,EURO,25831.0,824995,567.0,20854
2021-03-14,RO,Romania,EURO,30331.0,855326,585.0,21439
2021-03-21,RO,Romania,EURO,37522.0,892848,693.0,22132
2021-03-28,RO,Romania,EURO,39331.0,932179,865.0,22997
2021-04-04,RO,Romania,EURO,38045.0,970224,976.0,23973
2021-04-11,RO,Romania,EURO,32641.0,1002865,1033.0,25006
2021-04-18,RO,Romania,EURO,24174.0,1027039,1066.0,26072
2021-04-25,RO,Romania,EURO,17683.0,1044722,1195.0,27267
2021-05-02,RO,Romania,EURO,11850.0,1056572,927.0,28194
2021-05-09,RO,Romania,EURO,8682.0,1065254,709.0,28903
2021-05-16,RO,Romania,EURO,6080.0,1071334,582.0,29485
2021-05-23,RO,Romania,EURO,3902.0,1075236,400.0,29885
2021-05-30,RO,Romania,EURO,2190.0,1077426,362.0,30247
2021-06-06,RO,Romania,EURO,1316.0,1078742,478.0,30725
2021-06-13,RO,Romania,EURO,915.0,1079657,1079.0,31804
2021-06-20,RO,Romania,EURO,546.0,1080203,504.0,32308
2021-06-27,RO,Romania,EURO,381.0,1080584,869.0,33177
2021-07-04,RO,Romania,EURO,334.0,1080918,748.0,33925
2021-07-11,RO,Romania,EURO,292.0,1081210,291.0,34216
2021-07-18,RO,Romania,EURO,378.0,1081588,36.0,34252
2021-07-25,RO,Romania,EURO,595.0,1082183,15.0,34267
2021-08-01,RO,Romania,EURO,1006.0,1083189,14.0,34281
2021-08-08,RO,Romania,EURO,1522.0,1084711,32.0,34313
2021-08-15,RO,Romania,EURO,2189.0,1086900,29.0,34342
2021-08-22,RO,Romania,EURO,3508.0,1090408,61.0,34403
2021-08-29,RO,Romania,EURO,5477.0,1095885,106.0,34509
2021-09-05,RO,Romania,EURO,8881.0,1104766,169.0,34678
2021-09-12,RO,Romania,EURO,13783.0,1118549,283.0,34961
2021-09-19,RO,Romania,EURO,26344.0,1144893,495.0,35456
2021-09-26,RO,Romania,EURO,42880.0,1187773,774.0,36230
2021-10-03,RO,Romania,EURO,69372.0,1257145,1164.0,37394
2021-10-10,RO,Romania,EURO,89095.0,1346240,1815.0,39209
2021-10-17,RO,Romania,EURO,99474.0,1445714,2273.0,41482
2021-10-24,RO,Romania,EURO,104489.0,1550203,2808.0,44290
2021-10-31,RO,Romania,EURO,90404.0,1640607,3034.0,47324
2021-11-07,RO,Romania,EURO,60982.0,1701589,3158.0,50482
2021-11-14,RO,Romania,EURO,37694.0,1739283,2354.0,52836
2021-11-21,RO,Romania,EURO,21482.0,1760765,2002.0,54838
2021-11-28,RO,Romania,EURO,14807.0,1775572,1331.0,56169
2021-12-05,RO,Romania,EURO,9548.0,1785120,852.0,57021
2021-12-12,RO,Romania,EURO,7313.0,1792433,615.0,57636
2021-12-19,RO,Romania,EURO,5273.0,1797706,507.0,58143
2021-12-26,RO,Romania,EURO,4690.0,1802396,393.0,58536
2022-01-02,RO,Romania,EURO,7946.0,1810342,243.0,58779
2022-01-09,RO,Romania,EURO,29483.0,1839825,218.0,58997
2022-01-16,RO,Romania,EURO,56008.0,1895833,215.0,59212
2022-01-23,RO,Romania,EURO,107208.0,2003041,313.0,59525
2022-01-30,RO,Romania,EURO,173685.0,2176726,407.0,59932
2022-02-06,RO,Romania,EURO,208987.0,2385713,628.0,60560
2022-02-13,RO,Romania,EURO,164635.0,2550348,960.0,61520
2022-02-20,RO,Romania,EURO,105585.0,2655933,951.0,62471
2022-02-27,RO,Romania,EURO,68547.0,2724480,823.0,63294
2022-03-06,RO,Romania,EURO,40689.0,2765169,637.0,63931
2022-03-13,RO,Romania,EURO,25199.0,2790368,404.0,64335
2022-03-20,RO,Romania,EURO,23430.0,2813798,334.0,64669
2022-03-27,RO,Romania,EURO,25051.0,2838849,226.0,64895
2022-04-03,RO,Romania,EURO,19816.0,2858665,184.0,65079
2022-04-10,RO,Romania,EURO,13272.0,2871937,119.0,65198
2022-04-17,RO,Romania,EURO,9385.0,2881322,133.0,65331
2022-04-24,RO,Romania,EURO,6502.0,2887824,90.0,65421
2022-05-01,RO,Romania,EURO,6052.0,2893876,65.0,65486
2022-05-08,RO,Romania,EURO,4972.0,2898848,74.0,65560
2022-05-15,RO,Romania,EURO,3942.0,2902790,46.0,65606
2022-05-22,RO,Romania,EURO,3069.0,2905859,45.0,65651
2022-05-29,RO,Romania,EURO,2454.0,2908313,26.0,65677
2022-06-05,RO,Romania,EURO,2079.0,2910392,14.0,65691
2022-06-12,RO,Romania,EURO,2145.0,2912537,22.0,65713
2022-06-19,RO,Romania,EURO,341.0,2912878,1.0,65714
2022-06-26,RO,Romania,EURO,2609.0,2915487,12.0,65726
2022-07-03,RO,Romania,EURO,3974.0,2919461,13.0,65739
2022-07-10,RO,Romania,EURO,7726.0,2927187,16.0,65755
2022-07-17,RO,Romania,EURO,34582.0,2961769,57.0,65812
2022-07-24,RO,Romania,EURO,40893.0,3002662,41.0,65853
2022-07-31,RO,Romania,EURO,56906.0,3059568,130.0,65983
2022-08-07,RO,Romania,EURO,52906.0,3112474,188.0,66171
2022-08-14,RO,Romania,EURO,42247.0,3154721,165.0,66336
2022-08-21,RO,Romania,EURO,30209.0,3184930,147.0,66483
2022-08-28,RO,Romania,EURO,23973.0,3208903,148.0,66631
2022-09-04,RO,Romania,EURO,17304.0,3226207,135.0,66766
2022-09-11,RO,Romania,EURO,13185.0,3239392,83.0,66849
2022-09-18,RO,Romania,EURO,12971.0,3252363,63.0,66912
2022-09-25,RO,Romania,EURO,9251.0,3261614,60.0,66972
