Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-01-12,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-01-19,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-01-26,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-02-02,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-02-09,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-02-16,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-02-23,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-03-01,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-03-08,RW,Rwanda,AFRO,0.0,0,0.0,0
2020-03-15,RW,Rwanda,AFRO,1.0,1,0.0,0
2020-03-22,RW,Rwanda,AFRO,16.0,17,0.0,0
2020-03-29,RW,Rwanda,AFRO,41.0,58,0.0,0
2020-04-05,RW,Rwanda,AFRO,44.0,102,0.0,0
2020-04-12,RW,Rwanda,AFRO,18.0,120,0.0,0
2020-04-19,RW,Rwanda,AFRO,24.0,144,0.0,0
2020-04-26,RW,Rwanda,AFRO,39.0,183,0.0,0
2020-05-03,RW,Rwanda,AFRO,72.0,255,0.0,0
2020-05-10,RW,Rwanda,AFRO,26.0,281,0.0,0
2020-05-17,RW,Rwanda,AFRO,8.0,289,0.0,0
2020-05-24,RW,Rwanda,AFRO,36.0,325,0.0,0
2020-05-31,RW,Rwanda,AFRO,34.0,359,1.0,1
2020-06-07,RW,Rwanda,AFRO,72.0,431,1.0,2
2020-06-14,RW,Rwanda,AFRO,110.0,541,0.0,2
2020-06-21,RW,Rwanda,AFRO,161.0,702,0.0,2
2020-06-28,RW,Rwanda,AFRO,176.0,878,0.0,2
2020-07-05,RW,Rwanda,AFRO,214.0,1092,1.0,3
2020-07-12,RW,Rwanda,AFRO,207.0,1299,1.0,4
2020-07-19,RW,Rwanda,AFRO,240.0,1539,1.0,5
2020-07-26,RW,Rwanda,AFRO,213.0,1752,0.0,5
2020-08-02,RW,Rwanda,AFRO,290.0,2042,0.0,5
2020-08-09,RW,Rwanda,AFRO,93.0,2135,1.0,6
2020-08-16,RW,Rwanda,AFRO,217.0,2352,2.0,8
2020-08-23,RW,Rwanda,AFRO,537.0,2889,3.0,11
2020-08-30,RW,Rwanda,AFRO,954.0,3843,5.0,16
2020-09-06,RW,Rwanda,AFRO,506.0,4349,2.0,18
2020-09-13,RW,Rwanda,AFRO,216.0,4565,4.0,22
2020-09-20,RW,Rwanda,AFRO,124.0,4689,4.0,26
2020-09-27,RW,Rwanda,AFRO,122.0,4811,3.0,29
2020-10-04,RW,Rwanda,AFRO,40.0,4851,0.0,29
2020-10-11,RW,Rwanda,AFRO,41.0,4892,1.0,30
2020-10-18,RW,Rwanda,AFRO,79.0,4971,4.0,34
2020-10-25,RW,Rwanda,AFRO,89.0,5060,0.0,34
2020-11-01,RW,Rwanda,AFRO,77.0,5137,1.0,35
2020-11-08,RW,Rwanda,AFRO,76.0,5213,1.0,36
2020-11-15,RW,Rwanda,AFRO,181.0,5394,6.0,42
2020-11-22,RW,Rwanda,AFRO,226.0,5620,4.0,46
2020-11-29,RW,Rwanda,AFRO,271.0,5891,1.0,47
2020-12-06,RW,Rwanda,AFRO,193.0,6084,4.0,51
2020-12-13,RW,Rwanda,AFRO,444.0,6528,5.0,56
2020-12-20,RW,Rwanda,AFRO,704.0,7232,3.0,59
2020-12-27,RW,Rwanda,AFRO,585.0,7817,14.0,73
2021-01-03,RW,Rwanda,AFRO,750.0,8567,25.0,98
2021-01-10,RW,Rwanda,AFRO,894.0,9461,20.0,118
2021-01-17,RW,Rwanda,AFRO,1389.0,10850,22.0,140
2021-01-24,RW,Rwanda,AFRO,1797.0,12647,32.0,172
2021-01-31,RW,Rwanda,AFRO,2471.0,15118,21.0,193
2021-02-07,RW,Rwanda,AFRO,1219.0,16337,24.0,217
2021-02-14,RW,Rwanda,AFRO,930.0,17267,19.0,236
2021-02-21,RW,Rwanda,AFRO,721.0,17988,11.0,247
2021-02-28,RW,Rwanda,AFRO,802.0,18790,14.0,261
2021-03-07,RW,Rwanda,AFRO,636.0,19426,6.0,267
2021-03-14,RW,Rwanda,AFRO,717.0,20143,9.0,276
2021-03-21,RW,Rwanda,AFRO,618.0,20761,11.0,287
2021-03-28,RW,Rwanda,AFRO,609.0,21370,14.0,301
2021-04-04,RW,Rwanda,AFRO,873.0,22243,10.0,311
2021-04-11,RW,Rwanda,AFRO,1100.0,23343,3.0,314
2021-04-18,RW,Rwanda,AFRO,523.0,23866,8.0,322
2021-04-25,RW,Rwanda,AFRO,669.0,24535,6.0,328
2021-05-02,RW,Rwanda,AFRO,690.0,25225,7.0,335
2021-05-09,RW,Rwanda,AFRO,361.0,25586,3.0,338
2021-05-16,RW,Rwanda,AFRO,348.0,25934,4.0,342
2021-05-23,RW,Rwanda,AFRO,490.0,26424,6.0,348
2021-05-30,RW,Rwanda,AFRO,356.0,26780,1.0,349
2021-06-06,RW,Rwanda,AFRO,382.0,27162,10.0,359
2021-06-13,RW,Rwanda,AFRO,498.0,27660,7.0,366
2021-06-20,RW,Rwanda,AFRO,2388.0,30048,12.0,378
2021-06-27,RW,Rwanda,AFRO,4970.0,35018,26.0,404
2021-07-04,RW,Rwanda,AFRO,6678.0,41696,61.0,465
2021-07-11,RW,Rwanda,AFRO,5971.0,47667,86.0,551
2021-07-18,RW,Rwanda,AFRO,6882.0,54549,87.0,638
2021-07-25,RW,Rwanda,AFRO,10060.0,64609,89.0,727
2021-08-01,RW,Rwanda,AFRO,6089.0,70698,81.0,808
2021-08-08,RW,Rwanda,AFRO,4945.0,75643,73.0,881
2021-08-15,RW,Rwanda,AFRO,3651.0,79294,68.0,949
2021-08-22,RW,Rwanda,AFRO,3336.0,82630,61.0,1010
2021-08-29,RW,Rwanda,AFRO,3612.0,86242,64.0,1074
2021-09-05,RW,Rwanda,AFRO,3282.0,89524,43.0,1117
2021-09-12,RW,Rwanda,AFRO,2869.0,92393,47.0,1164
2021-09-19,RW,Rwanda,AFRO,2724.0,95117,42.0,1206
2021-09-26,RW,Rwanda,AFRO,1610.0,96727,42.0,1248
2021-10-03,RW,Rwanda,AFRO,1054.0,97781,33.0,1281
2021-10-10,RW,Rwanda,AFRO,818.0,98599,23.0,1304
2021-10-17,RW,Rwanda,AFRO,527.0,99126,9.0,1313
2021-10-24,RW,Rwanda,AFRO,226.0,99352,7.0,1320
2021-10-31,RW,Rwanda,AFRO,329.0,99681,8.0,1328
2021-11-07,RW,Rwanda,AFRO,250.0,99931,4.0,1332
2021-11-14,RW,Rwanda,AFRO,194.0,100125,6.0,1338
2021-11-21,RW,Rwanda,AFRO,82.0,100207,2.0,1340
2021-11-28,RW,Rwanda,AFRO,118.0,100325,2.0,1342
2021-12-05,RW,Rwanda,AFRO,79.0,100404,1.0,1343
2021-12-12,RW,Rwanda,AFRO,180.0,100584,1.0,1344
2021-12-19,RW,Rwanda,AFRO,829.0,101413,0.0,1344
2021-12-26,RW,Rwanda,AFRO,3099.0,104512,2.0,1346
2022-01-02,RW,Rwanda,AFRO,8142.0,112654,5.0,1351
2022-01-09,RW,Rwanda,AFRO,7720.0,120374,22.0,1373
2022-01-16,RW,Rwanda,AFRO,4428.0,124802,30.0,1403
2022-01-23,RW,Rwanda,AFRO,3100.0,127902,29.0,1432
2022-01-30,RW,Rwanda,AFRO,900.0,128802,6.0,1438
2022-02-06,RW,Rwanda,AFRO,323.0,129125,8.0,1446
2022-02-13,RW,Rwanda,AFRO,170.0,129295,4.0,1450
2022-02-20,RW,Rwanda,AFRO,74.0,129369,5.0,1455
2022-02-27,RW,Rwanda,AFRO,116.0,129485,2.0,1457
2022-03-06,RW,Rwanda,AFRO,66.0,129551,1.0,1458
2022-03-13,RW,Rwanda,AFRO,38.0,129589,1.0,1459
2022-03-20,RW,Rwanda,AFRO,48.0,129637,0.0,1459
2022-03-27,RW,Rwanda,AFRO,71.0,129708,0.0,1459
2022-04-03,RW,Rwanda,AFRO,21.0,129729,0.0,1459
2022-04-10,RW,Rwanda,AFRO,18.0,129747,0.0,1459
2022-04-17,RW,Rwanda,AFRO,20.0,129767,0.0,1459
2022-04-24,RW,Rwanda,AFRO,18.0,129785,0.0,1459
2022-05-01,RW,Rwanda,AFRO,45.0,129830,0.0,1459
2022-05-08,RW,Rwanda,AFRO,41.0,129871,0.0,1459
2022-05-15,RW,Rwanda,AFRO,48.0,129919,0.0,1459
2022-05-22,RW,Rwanda,AFRO,62.0,129981,0.0,1459
2022-05-29,RW,Rwanda,AFRO,64.0,130045,0.0,1459
2022-06-05,RW,Rwanda,AFRO,134.0,130179,0.0,1459
2022-06-12,RW,Rwanda,AFRO,178.0,130357,0.0,1459
2022-06-19,RW,Rwanda,AFRO,212.0,130569,0.0,1459
2022-06-26,RW,Rwanda,AFRO,256.0,130825,0.0,1459
2022-07-03,RW,Rwanda,AFRO,367.0,131192,0.0,1459
2022-07-10,RW,Rwanda,AFRO,476.0,131668,2.0,1461
2022-07-17,RW,Rwanda,AFRO,227.0,131895,4.0,1465
2022-07-24,RW,Rwanda,AFRO,49.0,131944,1.0,1466
2022-07-31,RW,Rwanda,AFRO,323.0,132267,0.0,1466
2022-08-07,RW,Rwanda,AFRO,58.0,132325,0.0,1466
2022-08-14,RW,Rwanda,AFRO,30.0,132355,0.0,1466
2022-08-21,RW,Rwanda,AFRO,22.0,132377,0.0,1466
2022-08-28,RW,Rwanda,AFRO,38.0,132415,0.0,1466
2022-09-04,RW,Rwanda,AFRO,34.0,132449,0.0,1466
2022-09-11,RW,Rwanda,AFRO,25.0,132474,0.0,1466
2022-09-18,RW,Rwanda,AFRO,11.0,132485,0.0,1466
2022-09-25,RW,Rwanda,AFRO,3.0,132488,0.0,1466
2022-10-02,RW,Rwanda,AFRO,16.0,132504,0.0,1466
2022-10-09,RW,Rwanda,AFRO,11.0,132515,1.0,1467
2022-10-16,RW,Rwanda,AFRO,2.0,132517,0.0,1467
2022-10-23,RW,Rwanda,AFRO,16.0,132533,0.0,1467
2022-10-30,RW,Rwanda,AFRO,23.0,132556,0.0,1467
2022-11-06,RW,Rwanda,AFRO,29.0,132585,0.0,1467
2022-11-13,RW,Rwanda,AFRO,26.0,132611,0.0,1467
2022-11-20,RW,Rwanda,AFRO,32.0,132643,0.0,1467
2022-11-27,RW,Rwanda,AFRO,38.0,132681,0.0,1467
2022-12-04,RW,Rwanda,AFRO,81.0,132762,0.0,1467
2022-12-11,RW,Rwanda,AFRO,49.0,132811,0.0,1467
2022-12-18,RW,Rwanda,AFRO,29.0,132840,0.0,1467
2022-12-25,RW,Rwanda,AFRO,80.0,132920,0.0,1467
2023-01-01,RW,Rwanda,AFRO,59.0,132979,0.0,1467
2023-01-08,RW,Rwanda,AFRO,54.0,133033,1.0,1468
2023-01-15,RW,Rwanda,AFRO,25.0,133058,0.0,1468
2023-01-22,RW,Rwanda,AFRO,20.0,133078,0.0,1468
2023-01-29,RW,Rwanda,AFRO,12.0,133090,0.0,1468
2023-02-05,RW,Rwanda,AFRO,13.0,133103,0.0,1468
2023-02-12,RW,Rwanda,AFRO,45.0,133148,0.0,1468
2023-02-19,RW,Rwanda,AFRO,22.0,133170,0.0,1468
2023-02-26,RW,Rwanda,AFRO,14.0,133184,0.0,1468
2023-03-05,RW,Rwanda,AFRO,10.0,133194,0.0,1468
2023-03-12,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-03-19,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-03-26,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-04-02,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-04-09,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-04-16,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-04-23,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-04-30,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-05-07,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-05-14,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-05-21,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-05-28,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-06-04,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-06-11,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-06-18,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-06-25,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-07-02,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-07-09,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-07-16,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-07-23,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-07-30,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-08-06,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-08-13,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-08-20,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-08-27,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-09-03,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-09-10,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-09-17,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-09-24,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-10-01,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-10-08,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-10-15,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-10-22,RW,Rwanda,AFRO,0.0,133194,0.0,1468
2023-10-29,RW,Rwanda,AFRO,0.0,133194,0.0,1468
