Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-01-12,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-01-19,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-01-26,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-02-02,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-02-09,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-02-16,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-02-23,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-03-01,SA,Saudi Arabia,EMRO,0.0,0,0.0,0
2020-03-08,SA,Saudi Arabia,EMRO,7.0,7,0.0,0
2020-03-15,SA,Saudi Arabia,EMRO,96.0,103,0.0,0
2020-03-22,SA,Saudi Arabia,EMRO,289.0,392,0.0,0
2020-03-29,SA,Saudi Arabia,EMRO,811.0,1203,4.0,4
2020-04-05,SA,Saudi Arabia,EMRO,976.0,2179,25.0,29
2020-04-12,SA,Saudi Arabia,EMRO,1854.0,4033,23.0,52
2020-04-19,SA,Saudi Arabia,EMRO,4241.0,8274,40.0,92
2020-04-26,SA,Saudi Arabia,EMRO,8025.0,16299,44.0,136
2020-05-03,SA,Saudi Arabia,EMRO,9160.0,25459,40.0,176
2020-05-10,SA,Saudi Arabia,EMRO,11677.0,37136,63.0,239
2020-05-17,SA,Saudi Arabia,EMRO,14880.0,52016,63.0,302
2020-05-24,SA,Saudi Arabia,EMRO,18145.0,70161,77.0,379
2020-05-31,SA,Saudi Arabia,EMRO,13223.0,83384,101.0,480
2020-06-07,SA,Saudi Arabia,EMRO,15485.0,98869,196.0,676
2020-06-14,SA,Saudi Arabia,EMRO,24439.0,123308,256.0,932
2020-06-21,SA,Saudi Arabia,EMRO,30925.0,154233,298.0,1230
2020-06-28,SA,Saudi Arabia,EMRO,24271.0,178504,281.0,1511
2020-07-05,SA,Saudi Arabia,EMRO,27425.0,205929,347.0,1858
2020-07-12,SA,Saudi Arabia,EMRO,23551.0,229480,323.0,2181
2020-07-19,SA,Saudi Arabia,EMRO,18936.0,248416,266.0,2447
2020-07-26,SA,Saudi Arabia,EMRO,16557.0,264973,256.0,2703
2020-08-02,SA,Saudi Arabia,EMRO,12505.0,277478,184.0,2887
2020-08-09,SA,Saudi Arabia,EMRO,9784.0,287262,243.0,3130
2020-08-16,SA,Saudi Arabia,EMRO,10053.0,297315,239.0,3369
2020-08-23,SA,Saudi Arabia,EMRO,9055.0,306370,250.0,3619
2020-08-30,SA,Saudi Arabia,EMRO,7541.0,313911,221.0,3840
2020-09-06,SA,Saudi Arabia,EMRO,6021.0,319932,209.0,4049
2020-09-13,SA,Saudi Arabia,EMRO,5118.0,325050,191.0,4240
2020-09-20,SA,Saudi Arabia,EMRO,4221.0,329271,218.0,4458
2020-09-27,SA,Saudi Arabia,EMRO,3519.0,332790,197.0,4655
2020-10-04,SA,Saudi Arabia,EMRO,3207.0,335997,195.0,4850
2020-10-11,SA,Saudi Arabia,EMRO,2947.0,338944,168.0,5018
2020-10-18,SA,Saudi Arabia,EMRO,2910.0,341854,147.0,5165
2020-10-25,SA,Saudi Arabia,EMRO,2698.0,344552,116.0,5281
2020-11-01,SA,Saudi Arabia,EMRO,2730.0,347282,121.0,5402
2020-11-08,SA,Saudi Arabia,EMRO,2947.0,350229,123.0,5525
2020-11-15,SA,Saudi Arabia,EMRO,2721.0,352950,116.0,5641
2020-11-22,SA,Saudi Arabia,EMRO,2084.0,355034,120.0,5761
2020-11-29,SA,Saudi Arabia,EMRO,1877.0,356911,109.0,5870
2020-12-06,SA,Saudi Arabia,EMRO,1615.0,358526,84.0,5954
2020-12-13,SA,Saudi Arabia,EMRO,1223.0,359749,82.0,6036
2020-12-20,SA,Saudi Arabia,EMRO,1099.0,360848,76.0,6112
2020-12-27,SA,Saudi Arabia,EMRO,1218.0,362066,64.0,6176
2021-01-03,SA,Saudi Arabia,EMRO,913.0,362979,63.0,6239
2021-01-10,SA,Saudi Arabia,EMRO,713.0,363692,47.0,6286
2021-01-17,SA,Saudi Arabia,EMRO,1061.0,364753,32.0,6318
2021-01-24,SA,Saudi Arabia,EMRO,1432.0,366185,32.0,6350
2021-01-31,SA,Saudi Arabia,EMRO,1628.0,367813,22.0,6372
2021-02-07,SA,Saudi Arabia,EMRO,2148.0,369961,25.0,6397
2021-02-14,SA,Saudi Arabia,EMRO,2449.0,372410,31.0,6428
2021-02-21,SA,Saudi Arabia,EMRO,2281.0,374691,29.0,6457
2021-02-28,SA,Saudi Arabia,EMRO,2370.0,377061,31.0,6488
2021-03-07,SA,Saudi Arabia,EMRO,2413.0,379474,36.0,6524
2021-03-14,SA,Saudi Arabia,EMRO,2585.0,382059,39.0,6563
2021-03-21,SA,Saudi Arabia,EMRO,2594.0,384653,39.0,6602
2021-03-28,SA,Saudi Arabia,EMRO,3141.0,387794,41.0,6643
