Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-01-12,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-01-19,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-01-26,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-02-02,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-02-09,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-02-16,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-02-23,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-03-01,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-03-08,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-03-15,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-03-22,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-03-29,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-04-05,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-04-12,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-04-19,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-04-26,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-05-03,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-05-10,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-05-17,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-05-24,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-05-31,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-06-07,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-06-14,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-06-21,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-06-28,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-07-05,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-07-12,SB,Solomon Islands,WPRO,0.0,0,0.0,0
2020-07-19,SB,Solomon Islands,WPRO,0.0,0,0.0,0
