Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-01-12,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-01-19,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-01-26,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-02-02,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-02-09,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-02-16,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-02-23,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-03-01,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-03-08,SC,Seychelles,AFRO,0.0,0,0.0,0
2020-03-15,SC,Seychelles,AFRO,2.0,2,0.0,0
2020-03-22,SC,Seychelles,AFRO,5.0,7,0.0,0
2020-03-29,SC,Seychelles,AFRO,1.0,8,0.0,0
2020-04-05,SC,Seychelles,AFRO,2.0,10,0.0,0
2020-04-12,SC,Seychelles,AFRO,1.0,11,0.0,0
2020-04-19,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-04-26,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-05-03,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-05-10,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-05-17,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-05-24,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-05-31,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-06-07,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-06-14,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-06-21,SC,Seychelles,AFRO,0.0,11,0.0,0
2020-06-28,SC,Seychelles,AFRO,70.0,81,0.0,0
2020-07-05,SC,Seychelles,AFRO,0.0,81,0.0,0
2020-07-12,SC,Seychelles,AFRO,25.0,106,0.0,0
2020-07-19,SC,Seychelles,AFRO,8.0,114,0.0,0
2020-07-26,SC,Seychelles,AFRO,1.0,115,0.0,0
2020-08-02,SC,Seychelles,AFRO,11.0,126,0.0,0
2020-08-09,SC,Seychelles,AFRO,0.0,126,0.0,0
2020-08-16,SC,Seychelles,AFRO,9.0,135,0.0,0
2020-08-23,SC,Seychelles,AFRO,0.0,135,0.0,0
2020-08-30,SC,Seychelles,AFRO,0.0,135,0.0,0
2020-09-06,SC,Seychelles,AFRO,1.0,136,0.0,0
2020-09-13,SC,Seychelles,AFRO,3.0,139,0.0,0
2020-09-20,SC,Seychelles,AFRO,0.0,139,0.0,0
2020-09-27,SC,Seychelles,AFRO,2.0,141,0.0,0
2020-10-04,SC,Seychelles,AFRO,6.0,147,0.0,0
2020-10-11,SC,Seychelles,AFRO,1.0,148,0.0,0
2020-10-18,SC,Seychelles,AFRO,1.0,149,0.0,0
2020-10-25,SC,Seychelles,AFRO,5.0,154,0.0,0
2020-11-01,SC,Seychelles,AFRO,0.0,154,0.0,0
2020-11-08,SC,Seychelles,AFRO,4.0,158,0.0,0
2020-11-15,SC,Seychelles,AFRO,3.0,161,0.0,0
2020-11-22,SC,Seychelles,AFRO,4.0,165,0.0,0
2020-11-29,SC,Seychelles,AFRO,7.0,172,0.0,0
2020-12-06,SC,Seychelles,AFRO,10.0,182,0.0,0
2020-12-13,SC,Seychelles,AFRO,3.0,185,0.0,0
2020-12-20,SC,Seychelles,AFRO,17.0,202,0.0,0
2020-12-27,SC,Seychelles,AFRO,9.0,211,0.0,0
2021-01-03,SC,Seychelles,AFRO,73.0,284,0.0,0
2021-01-10,SC,Seychelles,AFRO,218.0,502,1.0,1
2021-01-17,SC,Seychelles,AFRO,186.0,688,0.0,1
2021-01-24,SC,Seychelles,AFRO,345.0,1033,2.0,3
2021-01-31,SC,Seychelles,AFRO,191.0,1224,0.0,3
2021-02-07,SC,Seychelles,AFRO,280.0,1504,3.0,6
2021-02-14,SC,Seychelles,AFRO,388.0,1892,2.0,8
2021-02-21,SC,Seychelles,AFRO,436.0,2328,2.0,10
2021-02-28,SC,Seychelles,AFRO,290.0,2618,1.0,11
2021-03-07,SC,Seychelles,AFRO,332.0,2950,4.0,15
2021-03-14,SC,Seychelles,AFRO,223.0,3173,1.0,16
2021-03-21,SC,Seychelles,AFRO,443.0,3616,2.0,18
2021-03-28,SC,Seychelles,AFRO,438.0,4054,0.0,18
2021-04-04,SC,Seychelles,AFRO,240.0,4294,4.0,22
2021-04-11,SC,Seychelles,AFRO,196.0,4490,2.0,24
2021-04-18,SC,Seychelles,AFRO,344.0,4834,1.0,25
2021-04-25,SC,Seychelles,AFRO,182.0,5016,0.0,25
2021-05-02,SC,Seychelles,AFRO,1053.0,6069,3.0,28
2021-05-09,SC,Seychelles,AFRO,2103.0,8172,0.0,28
2021-05-16,SC,Seychelles,AFRO,1371.0,9543,7.0,35
2021-05-23,SC,Seychelles,AFRO,1126.0,10669,3.0,38
2021-05-30,SC,Seychelles,AFRO,746.0,11415,2.0,40
2021-06-06,SC,Seychelles,AFRO,823.0,12238,2.0,42
2021-06-13,SC,Seychelles,AFRO,1176.0,13414,1.0,43
2021-06-20,SC,Seychelles,AFRO,1000.0,14414,9.0,52
2021-06-27,SC,Seychelles,AFRO,1013.0,15427,3.0,55
2021-07-04,SC,Seychelles,AFRO,722.0,16149,2.0,57
2021-07-11,SC,Seychelles,AFRO,750.0,16899,11.0,68
2021-07-18,SC,Seychelles,AFRO,536.0,17435,7.0,75
2021-07-25,SC,Seychelles,AFRO,621.0,18056,11.0,86
2021-08-01,SC,Seychelles,AFRO,306.0,18362,5.0,91
2021-08-08,SC,Seychelles,AFRO,383.0,18745,0.0,91
2021-08-15,SC,Seychelles,AFRO,404.0,19149,7.0,98
2021-08-22,SC,Seychelles,AFRO,437.0,19586,0.0,98
2021-08-29,SC,Seychelles,AFRO,406.0,19992,4.0,102
2021-09-05,SC,Seychelles,AFRO,348.0,20340,1.0,103
2021-09-12,SC,Seychelles,AFRO,425.0,20765,3.0,106
2021-09-19,SC,Seychelles,AFRO,370.0,21135,4.0,110
2021-09-26,SC,Seychelles,AFRO,269.0,21404,0.0,110
2021-10-03,SC,Seychelles,AFRO,172.0,21576,2.0,112
2021-10-10,SC,Seychelles,AFRO,221.0,21797,0.0,112
2021-10-17,SC,Seychelles,AFRO,163.0,21960,2.0,114
2021-10-24,SC,Seychelles,AFRO,188.0,22148,0.0,114
2021-10-31,SC,Seychelles,AFRO,130.0,22278,0.0,114
2021-11-07,SC,Seychelles,AFRO,161.0,22439,0.0,114
2021-11-14,SC,Seychelles,AFRO,234.0,22673,0.0,114
2021-11-21,SC,Seychelles,AFRO,301.0,22974,8.0,122
2021-11-28,SC,Seychelles,AFRO,375.0,23349,0.0,122
2021-12-05,SC,Seychelles,AFRO,302.0,23651,0.0,122
2021-12-12,SC,Seychelles,AFRO,217.0,23868,4.0,126
2021-12-19,SC,Seychelles,AFRO,231.0,24099,0.0,126
2021-12-26,SC,Seychelles,AFRO,282.0,24381,0.0,126
2022-01-02,SC,Seychelles,AFRO,782.0,25163,0.0,126
2022-01-09,SC,Seychelles,AFRO,3095.0,28258,0.0,126
2022-01-16,SC,Seychelles,AFRO,3936.0,32194,0.0,126
2022-01-23,SC,Seychelles,AFRO,2984.0,35178,10.0,136
2022-01-30,SC,Seychelles,AFRO,1845.0,37023,6.0,142
2022-02-06,SC,Seychelles,AFRO,1003.0,38026,5.0,147
2022-02-13,SC,Seychelles,AFRO,633.0,38659,3.0,150
2022-02-20,SC,Seychelles,AFRO,431.0,39090,1.0,151
2022-02-27,SC,Seychelles,AFRO,252.0,39342,12.0,163
2022-03-06,SC,Seychelles,AFRO,174.0,39516,0.0,163
2022-03-13,SC,Seychelles,AFRO,151.0,39667,0.0,163
2022-03-20,SC,Seychelles,AFRO,216.0,39883,0.0,163
2022-03-27,SC,Seychelles,AFRO,240.0,40123,0.0,163
2022-04-03,SC,Seychelles,AFRO,514.0,40637,0.0,163
2022-04-10,SC,Seychelles,AFRO,694.0,41331,0.0,163
2022-04-17,SC,Seychelles,AFRO,520.0,41851,0.0,163
2022-04-24,SC,Seychelles,AFRO,425.0,42276,0.0,163
2022-05-01,SC,Seychelles,AFRO,357.0,42633,3.0,166
2022-05-08,SC,Seychelles,AFRO,447.0,43080,0.0,166
2022-05-15,SC,Seychelles,AFRO,393.0,43473,1.0,167
2022-05-22,SC,Seychelles,AFRO,324.0,43797,0.0,167
2022-05-29,SC,Seychelles,AFRO,208.0,44005,0.0,167
2022-06-05,SC,Seychelles,AFRO,187.0,44192,0.0,167
2022-06-12,SC,Seychelles,AFRO,205.0,44397,0.0,167
2022-06-19,SC,Seychelles,AFRO,88.0,44485,0.0,167
2022-06-26,SC,Seychelles,AFRO,184.0,44669,0.0,167
2022-07-03,SC,Seychelles,AFRO,249.0,44918,0.0,167
2022-07-10,SC,Seychelles,AFRO,171.0,45089,0.0,167
2022-07-17,SC,Seychelles,AFRO,173.0,45262,1.0,168
2022-07-24,SC,Seychelles,AFRO,7.0,45269,0.0,168
2022-07-31,SC,Seychelles,AFRO,160.0,45429,0.0,168
2022-08-07,SC,Seychelles,AFRO,111.0,45540,0.0,168
2022-08-14,SC,Seychelles,AFRO,152.0,45692,0.0,168
2022-08-21,SC,Seychelles,AFRO,160.0,45852,0.0,168
2022-08-28,SC,Seychelles,AFRO,0.0,45852,0.0,168
2022-09-04,SC,Seychelles,AFRO,229.0,46081,1.0,169
2022-09-11,SC,Seychelles,AFRO,94.0,46175,0.0,169
2022-09-18,SC,Seychelles,AFRO,183.0,46358,0.0,169
2022-09-25,SC,Seychelles,AFRO,0.0,46358,0.0,169
2022-10-02,SC,Seychelles,AFRO,783.0,47141,0.0,169
2022-10-09,SC,Seychelles,AFRO,0.0,47141,0.0,169
2022-10-16,SC,Seychelles,AFRO,1042.0,48183,1.0,170
2022-10-23,SC,Seychelles,AFRO,852.0,49035,1.0,171
2022-10-30,SC,Seychelles,AFRO,345.0,49380,0.0,171
2022-11-06,SC,Seychelles,AFRO,266.0,49646,0.0,171
2022-11-13,SC,Seychelles,AFRO,216.0,49862,0.0,171
2022-11-20,SC,Seychelles,AFRO,206.0,50068,0.0,171
2022-11-27,SC,Seychelles,AFRO,0.0,50068,0.0,171
2022-12-04,SC,Seychelles,AFRO,287.0,50355,1.0,172
2022-12-11,SC,Seychelles,AFRO,0.0,50355,0.0,172
2022-12-18,SC,Seychelles,AFRO,0.0,50355,0.0,172
2022-12-25,SC,Seychelles,AFRO,0.0,50355,0.0,172
2023-01-01,SC,Seychelles,AFRO,310.0,50665,0.0,172
2023-01-08,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-01-15,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-01-22,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-01-29,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-02-05,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-02-12,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-02-19,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-02-26,SC,Seychelles,AFRO,0.0,50665,0.0,172
2023-03-05,SC,Seychelles,AFRO,272.0,50937,0.0,172
2023-03-12,SC,Seychelles,AFRO,0.0,50937,0.0,172
