Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SK,Slovakia,EURO,0.0,0,0.0,0
2020-01-12,SK,Slovakia,EURO,0.0,0,0.0,0
2020-01-19,SK,Slovakia,EURO,0.0,0,0.0,0
2020-01-26,SK,Slovakia,EURO,0.0,0,0.0,0
2020-02-02,SK,Slovakia,EURO,0.0,0,0.0,0
2020-02-09,SK,Slovakia,EURO,0.0,0,0.0,0
2020-02-16,SK,Slovakia,EURO,0.0,0,0.0,0
2020-02-23,SK,Slovakia,EURO,0.0,0,0.0,0
2020-03-01,SK,Slovakia,EURO,0.0,0,0.0,0
2020-03-08,SK,Slovakia,EURO,3.0,3,0.0,0
2020-03-15,SK,Slovakia,EURO,41.0,44,0.0,0
2020-03-22,SK,Slovakia,EURO,134.0,178,0.0,0
2020-03-29,SK,Slovakia,EURO,136.0,314,0.0,0
2020-04-05,SK,Slovakia,EURO,171.0,485,1.0,1
2020-04-12,SK,Slovakia,EURO,257.0,742,1.0,2
2020-04-19,SK,Slovakia,EURO,419.0,1161,10.0,12
2020-04-26,SK,Slovakia,EURO,218.0,1379,6.0,18
2020-05-03,SK,Slovakia,EURO,29.0,1408,6.0,24
2020-05-10,SK,Slovakia,EURO,49.0,1457,2.0,26
2020-05-17,SK,Slovakia,EURO,37.0,1494,2.0,28
2020-05-24,SK,Slovakia,EURO,15.0,1509,0.0,28
2020-05-31,SK,Slovakia,EURO,12.0,1521,0.0,28
2020-06-07,SK,Slovakia,EURO,7.0,1528,0.0,28
2020-06-14,SK,Slovakia,EURO,20.0,1548,0.0,28
2020-06-21,SK,Slovakia,EURO,39.0,1587,0.0,28
2020-06-28,SK,Slovakia,EURO,77.0,1664,0.0,28
2020-07-05,SK,Slovakia,EURO,100.0,1764,0.0,28
2020-07-12,SK,Slovakia,EURO,137.0,1901,0.0,28
2020-07-19,SK,Slovakia,EURO,78.0,1979,0.0,28
2020-07-26,SK,Slovakia,EURO,200.0,2179,0.0,28
2020-08-02,SK,Slovakia,EURO,165.0,2344,1.0,29
2020-08-09,SK,Slovakia,EURO,252.0,2596,2.0,31
2020-08-16,SK,Slovakia,EURO,306.0,2902,0.0,31
2020-08-23,SK,Slovakia,EURO,454.0,3356,2.0,33
2020-08-30,SK,Slovakia,EURO,520.0,3876,0.0,33
2020-09-06,SK,Slovakia,EURO,738.0,4614,4.0,37
2020-09-13,SK,Slovakia,EURO,918.0,5532,1.0,38
