Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SM,San Marino,EURO,0.0,0,0.0,0
2020-01-12,SM,San Marino,EURO,0.0,0,0.0,0
2020-01-19,SM,San Marino,EURO,0.0,0,0.0,0
2020-01-26,SM,San Marino,EURO,0.0,0,0.0,0
2020-02-02,SM,San Marino,EURO,0.0,0,0.0,0
2020-02-09,SM,San Marino,EURO,0.0,0,0.0,0
2020-02-16,SM,San Marino,EURO,0.0,0,0.0,0
2020-02-23,SM,San Marino,EURO,0.0,0,0.0,0
2020-03-01,SM,San Marino,EURO,1.0,1,0.0,0
2020-03-08,SM,San Marino,EURO,27.0,28,1.0,1
2020-03-15,SM,San Marino,EURO,50.0,78,4.0,5
2020-03-22,SM,San Marino,EURO,98.0,176,15.0,20
2020-03-29,SM,San Marino,EURO,53.0,229,2.0,22
2020-04-05,SM,San Marino,EURO,32.0,261,10.0,32
2020-04-12,SM,San Marino,EURO,97.0,358,3.0,35
2020-04-19,SM,San Marino,EURO,99.0,457,4.0,39
2020-04-26,SM,San Marino,EURO,58.0,515,1.0,40
2020-05-03,SM,San Marino,EURO,67.0,582,1.0,41
2020-05-10,SM,San Marino,EURO,52.0,634,0.0,41
2020-05-17,SM,San Marino,EURO,20.0,654,0.0,41
2020-05-24,SM,San Marino,EURO,20.0,674,1.0,42
2020-05-31,SM,San Marino,EURO,15.0,689,0.0,42
2020-06-07,SM,San Marino,EURO,8.0,697,0.0,42
2020-06-14,SM,San Marino,EURO,0.0,697,0.0,42
2020-06-21,SM,San Marino,EURO,18.0,715,0.0,42
2020-06-28,SM,San Marino,EURO,0.0,715,0.0,42
2020-07-05,SM,San Marino,EURO,0.0,715,0.0,42
2020-07-12,SM,San Marino,EURO,3.0,718,0.0,42
2020-07-19,SM,San Marino,EURO,0.0,718,0.0,42
2020-07-26,SM,San Marino,EURO,0.0,718,0.0,42
2020-08-02,SM,San Marino,EURO,0.0,718,0.0,42
2020-08-09,SM,San Marino,EURO,1.0,719,0.0,42
2020-08-16,SM,San Marino,EURO,2.0,721,0.0,42
2020-08-23,SM,San Marino,EURO,7.0,728,0.0,42
2020-08-30,SM,San Marino,EURO,7.0,735,0.0,42
2020-09-06,SM,San Marino,EURO,2.0,737,0.0,42
2020-09-13,SM,San Marino,EURO,6.0,743,0.0,42
2020-09-20,SM,San Marino,EURO,1.0,744,0.0,42
2020-09-27,SM,San Marino,EURO,4.0,748,0.0,42
2020-10-04,SM,San Marino,EURO,4.0,752,0.0,42
2020-10-11,SM,San Marino,EURO,16.0,768,0.0,42
2020-10-18,SM,San Marino,EURO,18.0,786,0.0,42
2020-10-25,SM,San Marino,EURO,60.0,846,0.0,42
2020-11-01,SM,San Marino,EURO,119.0,965,0.0,42
2020-11-08,SM,San Marino,EURO,148.0,1113,0.0,42
2020-11-15,SM,San Marino,EURO,157.0,1270,0.0,42
2020-11-22,SM,San Marino,EURO,174.0,1444,1.0,43
2020-11-29,SM,San Marino,EURO,159.0,1603,2.0,45
2020-12-06,SM,San Marino,EURO,203.0,1806,3.0,48
2020-12-13,SM,San Marino,EURO,143.0,1949,3.0,51
2020-12-20,SM,San Marino,EURO,203.0,2152,4.0,55
2020-12-27,SM,San Marino,EURO,141.0,2293,2.0,57
2021-01-03,SM,San Marino,EURO,217.0,2510,5.0,62
2021-01-10,SM,San Marino,EURO,213.0,2723,3.0,65
2021-01-17,SM,San Marino,EURO,81.0,2804,0.0,65
2021-01-24,SM,San Marino,EURO,102.0,2906,0.0,65
2021-01-31,SM,San Marino,EURO,177.0,3083,2.0,67
2021-02-07,SM,San Marino,EURO,71.0,3154,2.0,69
2021-02-14,SM,San Marino,EURO,177.0,3331,3.0,72
2021-02-21,SM,San Marino,EURO,178.0,3509,0.0,72
2021-02-28,SM,San Marino,EURO,254.0,3763,2.0,74
2021-03-07,SM,San Marino,EURO,189.0,3952,2.0,76
2021-03-14,SM,San Marino,EURO,216.0,4168,1.0,77
2021-03-21,SM,San Marino,EURO,237.0,4405,2.0,79
2021-03-28,SM,San Marino,EURO,243.0,4648,5.0,84
2021-04-04,SM,San Marino,EURO,233.0,4881,1.0,85
2021-04-11,SM,San Marino,EURO,123.0,5004,1.0,86
2021-04-18,SM,San Marino,EURO,68.0,5072,2.0,88
2021-04-25,SM,San Marino,EURO,25.0,5097,2.0,90
2021-05-02,SM,San Marino,EURO,12.0,5109,0.0,90
2021-05-09,SM,San Marino,EURO,16.0,5125,0.0,90
2021-05-16,SM,San Marino,EURO,6.0,5131,0.0,90
2021-05-23,SM,San Marino,EURO,0.0,5131,0.0,90
2021-05-30,SM,San Marino,EURO,1.0,5132,0.0,90
2021-06-06,SM,San Marino,EURO,1.0,5133,0.0,90
2021-06-13,SM,San Marino,EURO,0.0,5133,0.0,90
2021-06-20,SM,San Marino,EURO,1.0,5134,0.0,90
2021-06-27,SM,San Marino,EURO,0.0,5134,0.0,90
2021-07-04,SM,San Marino,EURO,0.0,5134,0.0,90
2021-07-11,SM,San Marino,EURO,1.0,5135,0.0,90
2021-07-18,SM,San Marino,EURO,7.0,5142,0.0,90
2021-07-25,SM,San Marino,EURO,19.0,5161,0.0,90
2021-08-01,SM,San Marino,EURO,32.0,5193,0.0,90
2021-08-08,SM,San Marino,EURO,43.0,5236,0.0,90
2021-08-15,SM,San Marino,EURO,36.0,5272,0.0,90
2021-08-22,SM,San Marino,EURO,29.0,5301,0.0,90
2021-08-29,SM,San Marino,EURO,61.0,5362,0.0,90
2021-09-05,SM,San Marino,EURO,28.0,5390,0.0,90
2021-09-12,SM,San Marino,EURO,37.0,5427,0.0,90
2021-09-19,SM,San Marino,EURO,33.0,5460,0.0,90
2021-09-26,SM,San Marino,EURO,7.0,5467,1.0,91
2021-10-03,SM,San Marino,EURO,13.0,5480,0.0,91
2021-10-10,SM,San Marino,EURO,26.0,5506,0.0,91
2021-10-17,SM,San Marino,EURO,5.0,5511,0.0,91
2021-10-24,SM,San Marino,EURO,25.0,5536,1.0,92
2021-10-31,SM,San Marino,EURO,61.0,5597,0.0,92
2021-11-07,SM,San Marino,EURO,38.0,5635,0.0,92
2021-11-14,SM,San Marino,EURO,57.0,5692,0.0,92
2021-11-21,SM,San Marino,EURO,142.0,5834,1.0,93
2021-11-28,SM,San Marino,EURO,182.0,6016,0.0,93
2021-12-05,SM,San Marino,EURO,244.0,6260,1.0,94
2021-12-12,SM,San Marino,EURO,376.0,6636,0.0,94
2021-12-19,SM,San Marino,EURO,559.0,7195,2.0,96
2021-12-26,SM,San Marino,EURO,446.0,7641,2.0,98
2022-01-02,SM,San Marino,EURO,782.0,8423,2.0,100
2022-01-09,SM,San Marino,EURO,1189.0,9612,3.0,103
2022-01-16,SM,San Marino,EURO,1110.0,10722,0.0,103
2022-01-23,SM,San Marino,EURO,1147.0,11869,4.0,107
2022-01-30,SM,San Marino,EURO,1112.0,12981,2.0,109
2022-02-06,SM,San Marino,EURO,647.0,13628,0.0,109
2022-02-13,SM,San Marino,EURO,404.0,14032,1.0,110
2022-02-20,SM,San Marino,EURO,200.0,14232,2.0,112
2022-02-27,SM,San Marino,EURO,165.0,14397,0.0,112
2022-03-06,SM,San Marino,EURO,151.0,14548,0.0,112
2022-03-13,SM,San Marino,EURO,195.0,14743,0.0,112
2022-03-20,SM,San Marino,EURO,250.0,14993,0.0,112
2022-03-27,SM,San Marino,EURO,215.0,15208,1.0,113
2022-04-03,SM,San Marino,EURO,224.0,15432,0.0,113
2022-04-10,SM,San Marino,EURO,268.0,15700,1.0,114
2022-04-17,SM,San Marino,EURO,303.0,16003,0.0,114
2022-04-24,SM,San Marino,EURO,273.0,16276,0.0,114
2022-05-01,SM,San Marino,EURO,229.0,16505,1.0,115
2022-05-08,SM,San Marino,EURO,176.0,16681,0.0,115
2022-05-15,SM,San Marino,EURO,224.0,16905,0.0,115
2022-05-22,SM,San Marino,EURO,129.0,17034,0.0,115
2022-05-29,SM,San Marino,EURO,86.0,17120,0.0,115
2022-06-05,SM,San Marino,EURO,89.0,17209,0.0,115
2022-06-12,SM,San Marino,EURO,90.0,17299,0.0,115
2022-06-19,SM,San Marino,EURO,210.0,17509,0.0,115
2022-06-26,SM,San Marino,EURO,269.0,17778,0.0,115
2022-07-03,SM,San Marino,EURO,461.0,18239,0.0,115
2022-07-10,SM,San Marino,EURO,492.0,18731,1.0,116
2022-07-17,SM,San Marino,EURO,522.0,19253,1.0,117
2022-07-24,SM,San Marino,EURO,368.0,19621,1.0,118
2022-07-31,SM,San Marino,EURO,280.0,19901,0.0,118
2022-08-07,SM,San Marino,EURO,145.0,20046,0.0,118
2022-08-14,SM,San Marino,EURO,115.0,20161,0.0,118
2022-08-21,SM,San Marino,EURO,86.0,20247,0.0,118
2022-08-28,SM,San Marino,EURO,95.0,20342,0.0,118
2022-09-04,SM,San Marino,EURO,74.0,20416,0.0,118
2022-09-11,SM,San Marino,EURO,85.0,20501,0.0,118
2022-09-18,SM,San Marino,EURO,66.0,20567,0.0,118
2022-09-25,SM,San Marino,EURO,104.0,20671,0.0,118
2022-10-02,SM,San Marino,EURO,157.0,20828,0.0,118
2022-10-09,SM,San Marino,EURO,226.0,21054,0.0,118
2022-10-16,SM,San Marino,EURO,241.0,21295,0.0,118
2022-10-23,SM,San Marino,EURO,175.0,21470,1.0,119
2022-10-30,SM,San Marino,EURO,135.0,21605,0.0,119
2022-11-06,SM,San Marino,EURO,79.0,21684,0.0,119
2022-11-13,SM,San Marino,EURO,111.0,21795,0.0,119
2022-11-20,SM,San Marino,EURO,152.0,21947,0.0,119
