Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-01-12,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-01-19,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-01-26,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-02-02,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-02-09,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-02-16,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-02-23,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-03-01,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-03-08,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-03-15,SX,Sint Maarten (Dutch part),AMRO,0.0,0,0.0,0
2020-03-22,SX,Sint Maarten (Dutch part),AMRO,1.0,1,0.0,0
2020-03-29,SX,Sint Maarten (Dutch part),AMRO,2.0,3,0.0,0
2020-04-05,SX,Sint Maarten (Dutch part),AMRO,20.0,23,2.0,2
2020-04-12,SX,Sint Maarten (Dutch part),AMRO,27.0,50,7.0,9
2020-04-19,SX,Sint Maarten (Dutch part),AMRO,7.0,57,0.0,9
2020-04-26,SX,Sint Maarten (Dutch part),AMRO,16.0,73,3.0,12
2020-05-03,SX,Sint Maarten (Dutch part),AMRO,3.0,76,1.0,13
2020-05-10,SX,Sint Maarten (Dutch part),AMRO,1.0,77,2.0,15
2020-05-17,SX,Sint Maarten (Dutch part),AMRO,1.0,78,0.0,15
2020-05-24,SX,Sint Maarten (Dutch part),AMRO,0.0,78,0.0,15
2020-05-31,SX,Sint Maarten (Dutch part),AMRO,0.0,78,0.0,15
2020-06-07,SX,Sint Maarten (Dutch part),AMRO,-1.0,77,0.0,15
2020-06-14,SX,Sint Maarten (Dutch part),AMRO,0.0,77,0.0,15
2020-06-21,SX,Sint Maarten (Dutch part),AMRO,0.0,77,0.0,15
2020-06-28,SX,Sint Maarten (Dutch part),AMRO,0.0,77,0.0,15
2020-07-05,SX,Sint Maarten (Dutch part),AMRO,1.0,78,0.0,15
2020-07-12,SX,Sint Maarten (Dutch part),AMRO,0.0,78,0.0,15
2020-07-19,SX,Sint Maarten (Dutch part),AMRO,1.0,79,0.0,15
2020-07-26,SX,Sint Maarten (Dutch part),AMRO,15.0,94,0.0,15
2020-08-02,SX,Sint Maarten (Dutch part),AMRO,34.0,128,0.0,15
2020-08-09,SX,Sint Maarten (Dutch part),AMRO,48.0,176,1.0,16
2020-08-16,SX,Sint Maarten (Dutch part),AMRO,87.0,263,1.0,17
2020-08-23,SX,Sint Maarten (Dutch part),AMRO,90.0,353,0.0,17
2020-08-30,SX,Sint Maarten (Dutch part),AMRO,91.0,444,0.0,17
2020-09-06,SX,Sint Maarten (Dutch part),AMRO,60.0,504,2.0,19
2020-09-13,SX,Sint Maarten (Dutch part),AMRO,26.0,530,0.0,19
2020-09-20,SX,Sint Maarten (Dutch part),AMRO,35.0,565,0.0,19
2020-09-27,SX,Sint Maarten (Dutch part),AMRO,53.0,618,3.0,22
2020-10-04,SX,Sint Maarten (Dutch part),AMRO,50.0,668,0.0,22
2020-10-11,SX,Sint Maarten (Dutch part),AMRO,31.0,699,0.0,22
2020-10-18,SX,Sint Maarten (Dutch part),AMRO,38.0,737,0.0,22
2020-10-25,SX,Sint Maarten (Dutch part),AMRO,39.0,776,0.0,22
2020-11-01,SX,Sint Maarten (Dutch part),AMRO,29.0,805,0.0,22
2020-11-08,SX,Sint Maarten (Dutch part),AMRO,65.0,870,0.0,22
