Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-01-12,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-01-19,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-01-26,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-02-02,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-02-09,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-02-16,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-02-23,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-03-01,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-03-08,SZ,Eswatini,AFRO,0.0,0,0.0,0
2020-03-15,SZ,Eswatini,AFRO,1.0,1,0.0,0
2020-03-22,SZ,Eswatini,AFRO,0.0,1,0.0,0
2020-03-29,SZ,Eswatini,AFRO,8.0,9,0.0,0
2020-04-05,SZ,Eswatini,AFRO,0.0,9,0.0,0
2020-04-12,SZ,Eswatini,AFRO,5.0,14,0.0,0
2020-04-19,SZ,Eswatini,AFRO,8.0,22,1.0,1
2020-04-26,SZ,Eswatini,AFRO,34.0,56,0.0,1
2020-05-03,SZ,Eswatini,AFRO,52.0,108,0.0,1
2020-05-10,SZ,Eswatini,AFRO,55.0,163,1.0,2
2020-05-17,SZ,Eswatini,AFRO,39.0,202,0.0,2
2020-05-24,SZ,Eswatini,AFRO,36.0,238,0.0,2
2020-05-31,SZ,Eswatini,AFRO,45.0,283,0.0,2
2020-06-07,SZ,Eswatini,AFRO,50.0,333,1.0,3
2020-06-14,SZ,Eswatini,AFRO,153.0,486,0.0,3
2020-06-21,SZ,Eswatini,AFRO,141.0,627,2.0,5
2020-06-28,SZ,Eswatini,AFRO,118.0,745,3.0,8
2020-07-05,SZ,Eswatini,AFRO,209.0,954,5.0,13
2020-07-12,SZ,Eswatini,AFRO,357.0,1311,5.0,18
2020-07-19,SZ,Eswatini,AFRO,418.0,1729,3.0,21
2020-07-26,SZ,Eswatini,AFRO,413.0,2142,7.0,28
2020-08-02,SZ,Eswatini,AFRO,564.0,2706,14.0,42
2020-08-09,SZ,Eswatini,AFRO,422.0,3128,14.0,56
2020-08-16,SZ,Eswatini,AFRO,617.0,3745,13.0,69
2020-08-23,SZ,Eswatini,AFRO,444.0,4189,12.0,81
2020-08-30,SZ,Eswatini,AFRO,321.0,4510,10.0,91
2020-09-06,SZ,Eswatini,AFRO,309.0,4819,3.0,94
2020-09-13,SZ,Eswatini,AFRO,231.0,5050,4.0,98
2020-09-20,SZ,Eswatini,AFRO,195.0,5245,6.0,104
2020-09-27,SZ,Eswatini,AFRO,174.0,5419,4.0,108
2020-10-04,SZ,Eswatini,AFRO,111.0,5530,4.0,112
2020-10-11,SZ,Eswatini,AFRO,130.0,5660,1.0,113
2020-10-18,SZ,Eswatini,AFRO,105.0,5765,2.0,115
2020-10-25,SZ,Eswatini,AFRO,82.0,5847,1.0,116
2020-11-01,SZ,Eswatini,AFRO,70.0,5917,1.0,117
2020-11-08,SZ,Eswatini,AFRO,72.0,5989,0.0,117
2020-11-15,SZ,Eswatini,AFRO,104.0,6093,2.0,119
2020-11-22,SZ,Eswatini,AFRO,112.0,6205,0.0,119
2020-11-29,SZ,Eswatini,AFRO,201.0,6406,2.0,121
2020-12-06,SZ,Eswatini,AFRO,89.0,6495,1.0,122
2020-12-13,SZ,Eswatini,AFRO,219.0,6714,5.0,127
2020-12-20,SZ,Eswatini,AFRO,591.0,7305,10.0,137
2020-12-27,SZ,Eswatini,AFRO,1060.0,8365,26.0,163
2021-01-03,SZ,Eswatini,AFRO,1115.0,9480,64.0,227
2021-01-10,SZ,Eswatini,AFRO,1700.0,11180,64.0,291
2021-01-17,SZ,Eswatini,AFRO,1556.0,12736,69.0,360
2021-01-24,SZ,Eswatini,AFRO,1594.0,14330,98.0,458
2021-01-31,SZ,Eswatini,AFRO,1336.0,15666,104.0,562
2021-02-07,SZ,Eswatini,AFRO,515.0,16181,42.0,604
2021-02-14,SZ,Eswatini,AFRO,307.0,16488,26.0,630
2021-02-21,SZ,Eswatini,AFRO,276.0,16764,15.0,645
2021-02-28,SZ,Eswatini,AFRO,238.0,17002,5.0,650
2021-03-07,SZ,Eswatini,AFRO,171.0,17173,8.0,658
2021-03-14,SZ,Eswatini,AFRO,61.0,17234,3.0,661
2021-03-21,SZ,Eswatini,AFRO,49.0,17283,4.0,665
2021-03-28,SZ,Eswatini,AFRO,35.0,17318,1.0,666
2021-04-04,SZ,Eswatini,AFRO,31.0,17349,2.0,668
2021-04-11,SZ,Eswatini,AFRO,24.0,17373,1.0,669
2021-04-18,SZ,Eswatini,AFRO,1042.0,18415,2.0,671
2021-04-25,SZ,Eswatini,AFRO,25.0,18440,0.0,671
2021-05-02,SZ,Eswatini,AFRO,18.0,18458,0.0,671
2021-05-09,SZ,Eswatini,AFRO,19.0,18477,0.0,671
2021-05-16,SZ,Eswatini,AFRO,42.0,18519,1.0,672
