Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TD,Chad,AFRO,0.0,0,0.0,0
2020-01-12,TD,Chad,AFRO,0.0,0,0.0,0
2020-01-19,TD,Chad,AFRO,0.0,0,0.0,0
2020-01-26,TD,Chad,AFRO,0.0,0,0.0,0
2020-02-02,TD,Chad,AFRO,0.0,0,0.0,0
2020-02-09,TD,Chad,AFRO,0.0,0,0.0,0
2020-02-16,TD,Chad,AFRO,0.0,0,0.0,0
2020-02-23,TD,Chad,AFRO,0.0,0,0.0,0
2020-03-01,TD,Chad,AFRO,0.0,0,0.0,0
2020-03-08,TD,Chad,AFRO,0.0,0,0.0,0
2020-03-15,TD,Chad,AFRO,0.0,0,0.0,0
2020-03-22,TD,Chad,AFRO,1.0,1,0.0,0
2020-03-29,TD,Chad,AFRO,4.0,5,0.0,0
2020-04-05,TD,Chad,AFRO,4.0,9,0.0,0
2020-04-12,TD,Chad,AFRO,9.0,18,0.0,0
2020-04-19,TD,Chad,AFRO,15.0,33,0.0,0
2020-04-26,TD,Chad,AFRO,13.0,46,0.0,0
2020-05-03,TD,Chad,AFRO,71.0,117,20.0,20
2020-05-10,TD,Chad,AFRO,205.0,322,21.0,41
2020-05-17,TD,Chad,AFRO,181.0,503,14.0,55
2020-05-24,TD,Chad,AFRO,172.0,675,7.0,62
2020-05-31,TD,Chad,AFRO,103.0,778,5.0,67
2020-06-07,TD,Chad,AFRO,59.0,837,4.0,71
2020-06-14,TD,Chad,AFRO,11.0,848,3.0,74
2020-06-21,TD,Chad,AFRO,10.0,858,2.0,76
2020-06-28,TD,Chad,AFRO,7.0,865,0.0,76
2020-07-05,TD,Chad,AFRO,6.0,871,0.0,76
2020-07-12,TD,Chad,AFRO,3.0,874,0.0,76
2020-07-19,TD,Chad,AFRO,15.0,889,1.0,77
2020-07-26,TD,Chad,AFRO,26.0,915,0.0,77
2020-08-02,TD,Chad,AFRO,21.0,936,0.0,77
2020-08-09,TD,Chad,AFRO,6.0,942,1.0,78
2020-08-16,TD,Chad,AFRO,10.0,952,0.0,78
2020-08-23,TD,Chad,AFRO,30.0,982,0.0,78
2020-08-30,TD,Chad,AFRO,26.0,1008,1.0,79
2020-09-06,TD,Chad,AFRO,26.0,1034,0.0,79
2020-09-13,TD,Chad,AFRO,49.0,1083,3.0,82
2020-09-20,TD,Chad,AFRO,66.0,1149,1.0,83
2020-09-27,TD,Chad,AFRO,28.0,1177,2.0,85
2020-10-04,TD,Chad,AFRO,37.0,1214,2.0,87
2020-10-11,TD,Chad,AFRO,77.0,1291,6.0,93
2020-10-18,TD,Chad,AFRO,74.0,1365,1.0,94
2020-10-25,TD,Chad,AFRO,69.0,1434,3.0,97
2020-11-01,TD,Chad,AFRO,64.0,1498,2.0,99
2020-11-08,TD,Chad,AFRO,45.0,1543,1.0,100
2020-11-15,TD,Chad,AFRO,48.0,1591,1.0,101
2020-11-22,TD,Chad,AFRO,42.0,1633,1.0,102
2020-11-29,TD,Chad,AFRO,30.0,1663,0.0,102
2020-12-06,TD,Chad,AFRO,59.0,1722,1.0,103
2020-12-13,TD,Chad,AFRO,29.0,1751,0.0,103
2020-12-20,TD,Chad,AFRO,116.0,1867,0.0,103
2020-12-27,TD,Chad,AFRO,119.0,1986,1.0,104
2021-01-03,TD,Chad,AFRO,183.0,2169,1.0,105
2021-01-10,TD,Chad,AFRO,341.0,2510,3.0,108
2021-01-17,TD,Chad,AFRO,345.0,2855,4.0,112
2021-01-24,TD,Chad,AFRO,282.0,3137,4.0,116
2021-01-31,TD,Chad,AFRO,210.0,3347,3.0,119
2021-02-07,TD,Chad,AFRO,126.0,3473,7.0,126
2021-02-14,TD,Chad,AFRO,149.0,3622,2.0,128
2021-02-21,TD,Chad,AFRO,172.0,3794,5.0,133
2021-02-28,TD,Chad,AFRO,179.0,3973,7.0,140
2021-03-07,TD,Chad,AFRO,188.0,4161,0.0,140
2021-03-14,TD,Chad,AFRO,127.0,4288,13.0,153
2021-03-21,TD,Chad,AFRO,122.0,4410,4.0,157
2021-03-28,TD,Chad,AFRO,91.0,4501,3.0,160
2021-04-04,TD,Chad,AFRO,88.0,4589,4.0,164
2021-04-11,TD,Chad,AFRO,36.0,4625,3.0,167
2021-04-18,TD,Chad,AFRO,66.0,4691,1.0,168
2021-04-25,TD,Chad,AFRO,61.0,4752,1.0,169
2021-05-02,TD,Chad,AFRO,72.0,4824,1.0,170
2021-05-09,TD,Chad,AFRO,50.0,4874,1.0,171
2021-05-16,TD,Chad,AFRO,27.0,4901,2.0,173
2021-05-23,TD,Chad,AFRO,22.0,4923,0.0,173
2021-05-30,TD,Chad,AFRO,5.0,4928,0.0,173
2021-06-06,TD,Chad,AFRO,11.0,4939,1.0,174
2021-06-13,TD,Chad,AFRO,3.0,4942,0.0,174
2021-06-20,TD,Chad,AFRO,4.0,4946,0.0,174
2021-06-27,TD,Chad,AFRO,5.0,4951,0.0,174
2021-07-04,TD,Chad,AFRO,0.0,4951,0.0,174
2021-07-11,TD,Chad,AFRO,3.0,4954,0.0,174
2021-07-18,TD,Chad,AFRO,10.0,4964,0.0,174
2021-07-25,TD,Chad,AFRO,5.0,4969,0.0,174
2021-08-01,TD,Chad,AFRO,4.0,4973,0.0,174
2021-08-08,TD,Chad,AFRO,4.0,4977,0.0,174
2021-08-15,TD,Chad,AFRO,5.0,4982,0.0,174
2021-08-22,TD,Chad,AFRO,3.0,4985,0.0,174
2021-08-29,TD,Chad,AFRO,5.0,4990,0.0,174
2021-09-05,TD,Chad,AFRO,5.0,4995,0.0,174
2021-09-12,TD,Chad,AFRO,19.0,5014,0.0,174
2021-09-19,TD,Chad,AFRO,12.0,5026,0.0,174
2021-09-26,TD,Chad,AFRO,5.0,5031,0.0,174
2021-10-03,TD,Chad,AFRO,11.0,5042,0.0,174
2021-10-10,TD,Chad,AFRO,17.0,5059,0.0,174
2021-10-17,TD,Chad,AFRO,8.0,5067,0.0,174
2021-10-24,TD,Chad,AFRO,0.0,5067,0.0,174
2021-10-31,TD,Chad,AFRO,0.0,5067,0.0,174
2021-11-07,TD,Chad,AFRO,38.0,5105,1.0,175
2021-11-14,TD,Chad,AFRO,0.0,5105,0.0,175
2021-11-21,TD,Chad,AFRO,0.0,5105,0.0,175
2021-11-28,TD,Chad,AFRO,0.0,5105,0.0,175
2021-12-05,TD,Chad,AFRO,596.0,5701,6.0,181
2021-12-12,TD,Chad,AFRO,0.0,5701,0.0,181
2021-12-19,TD,Chad,AFRO,0.0,5701,0.0,181
2021-12-26,TD,Chad,AFRO,0.0,5701,0.0,181
2022-01-02,TD,Chad,AFRO,482.0,6183,3.0,184
2022-01-09,TD,Chad,AFRO,0.0,6183,0.0,184
2022-01-16,TD,Chad,AFRO,373.0,6556,1.0,185
2022-01-23,TD,Chad,AFRO,331.0,6887,0.0,185
2022-01-30,TD,Chad,AFRO,186.0,7073,5.0,190
2022-02-06,TD,Chad,AFRO,82.0,7155,0.0,190
2022-02-13,TD,Chad,AFRO,59.0,7214,0.0,190
2022-02-20,TD,Chad,AFRO,0.0,7214,0.0,190
2022-02-27,TD,Chad,AFRO,32.0,7246,0.0,190
2022-03-06,TD,Chad,AFRO,9.0,7255,0.0,190
2022-03-13,TD,Chad,AFRO,3.0,7258,0.0,190
2022-03-20,TD,Chad,AFRO,9.0,7267,0.0,190
2022-03-27,TD,Chad,AFRO,19.0,7286,0.0,190
2022-04-03,TD,Chad,AFRO,22.0,7308,1.0,191
2022-04-10,TD,Chad,AFRO,39.0,7347,1.0,192
2022-04-17,TD,Chad,AFRO,31.0,7378,0.0,192
2022-04-24,TD,Chad,AFRO,18.0,7396,1.0,193
2022-05-01,TD,Chad,AFRO,15.0,7411,0.0,193
2022-05-08,TD,Chad,AFRO,1.0,7412,0.0,193
2022-05-15,TD,Chad,AFRO,2.0,7414,0.0,193
2022-05-22,TD,Chad,AFRO,1.0,7415,0.0,193
2022-05-29,TD,Chad,AFRO,2.0,7417,0.0,193
2022-06-05,TD,Chad,AFRO,0.0,7417,0.0,193
2022-06-12,TD,Chad,AFRO,1.0,7418,0.0,193
2022-06-19,TD,Chad,AFRO,2.0,7420,0.0,193
2022-06-26,TD,Chad,AFRO,4.0,7424,0.0,193
2022-07-03,TD,Chad,AFRO,1.0,7425,0.0,193
2022-07-10,TD,Chad,AFRO,1.0,7426,0.0,193
2022-07-17,TD,Chad,AFRO,1.0,7427,0.0,193
2022-07-24,TD,Chad,AFRO,3.0,7430,0.0,193
2022-07-31,TD,Chad,AFRO,2.0,7432,0.0,193
2022-08-07,TD,Chad,AFRO,5.0,7437,0.0,193
2022-08-14,TD,Chad,AFRO,5.0,7442,0.0,193
2022-08-21,TD,Chad,AFRO,14.0,7456,0.0,193
2022-08-28,TD,Chad,AFRO,33.0,7489,0.0,193
2022-09-04,TD,Chad,AFRO,47.0,7536,0.0,193
2022-09-11,TD,Chad,AFRO,11.0,7547,0.0,193
2022-09-18,TD,Chad,AFRO,11.0,7558,0.0,193
2022-09-25,TD,Chad,AFRO,13.0,7571,0.0,193
2022-10-02,TD,Chad,AFRO,10.0,7581,0.0,193
2022-10-09,TD,Chad,AFRO,9.0,7590,0.0,193
2022-10-16,TD,Chad,AFRO,15.0,7605,0.0,193
2022-10-23,TD,Chad,AFRO,8.0,7613,0.0,193
2022-10-30,TD,Chad,AFRO,7.0,7620,1.0,194
2022-11-06,TD,Chad,AFRO,7.0,7627,0.0,194
2022-11-13,TD,Chad,AFRO,4.0,7631,0.0,194
2022-11-20,TD,Chad,AFRO,6.0,7637,0.0,194
2022-11-27,TD,Chad,AFRO,4.0,7641,0.0,194
2022-12-04,TD,Chad,AFRO,5.0,7646,0.0,194
2022-12-11,TD,Chad,AFRO,1.0,7647,0.0,194
2022-12-18,TD,Chad,AFRO,1.0,7648,0.0,194
2022-12-25,TD,Chad,AFRO,1.0,7649,0.0,194
2023-01-01,TD,Chad,AFRO,1.0,7650,0.0,194
2023-01-08,TD,Chad,AFRO,1.0,7651,0.0,194
2023-01-15,TD,Chad,AFRO,0.0,7651,0.0,194
2023-01-22,TD,Chad,AFRO,0.0,7651,0.0,194
2023-01-29,TD,Chad,AFRO,1.0,7652,0.0,194
2023-02-05,TD,Chad,AFRO,0.0,7652,0.0,194
2023-02-12,TD,Chad,AFRO,0.0,7652,0.0,194
2023-02-19,TD,Chad,AFRO,9.0,7661,0.0,194
2023-02-26,TD,Chad,AFRO,14.0,7675,0.0,194
2023-03-05,TD,Chad,AFRO,3.0,7678,0.0,194
2023-03-12,TD,Chad,AFRO,1.0,7679,0.0,194
2023-03-19,TD,Chad,AFRO,3.0,7682,0.0,194
2023-03-26,TD,Chad,AFRO,3.0,7685,0.0,194
2023-04-02,TD,Chad,AFRO,3.0,7688,0.0,194
2023-04-09,TD,Chad,AFRO,7.0,7695,0.0,194
2023-04-16,TD,Chad,AFRO,1.0,7696,0.0,194
2023-04-23,TD,Chad,AFRO,1.0,7697,0.0,194
2023-04-30,TD,Chad,AFRO,1.0,7698,0.0,194
2023-05-07,TD,Chad,AFRO,0.0,7698,0.0,194
2023-05-14,TD,Chad,AFRO,0.0,7698,0.0,194
2023-05-21,TD,Chad,AFRO,0.0,7698,0.0,194
2023-05-28,TD,Chad,AFRO,0.0,7698,0.0,194
2023-06-04,TD,Chad,AFRO,0.0,7698,0.0,194
2023-06-11,TD,Chad,AFRO,0.0,7698,0.0,194
2023-06-18,TD,Chad,AFRO,0.0,7698,0.0,194
2023-06-25,TD,Chad,AFRO,0.0,7698,0.0,194
2023-07-02,TD,Chad,AFRO,0.0,7698,0.0,194
2023-07-09,TD,Chad,AFRO,0.0,7698,0.0,194
2023-07-16,TD,Chad,AFRO,0.0,7698,0.0,194
2023-07-23,TD,Chad,AFRO,0.0,7698,0.0,194
2023-07-30,TD,Chad,AFRO,0.0,7698,0.0,194
2023-08-06,TD,Chad,AFRO,0.0,7698,0.0,194
2023-08-13,TD,Chad,AFRO,0.0,7698,0.0,194
2023-08-20,TD,Chad,AFRO,0.0,7698,0.0,194
2023-08-27,TD,Chad,AFRO,0.0,7698,0.0,194
2023-09-03,TD,Chad,AFRO,0.0,7698,0.0,194
2023-09-10,TD,Chad,AFRO,0.0,7698,0.0,194
2023-09-17,TD,Chad,AFRO,0.0,7698,0.0,194
2023-09-24,TD,Chad,AFRO,0.0,7698,0.0,194
2023-10-01,TD,Chad,AFRO,0.0,7698,0.0,194
2023-10-08,TD,Chad,AFRO,0.0,7698,0.0,194
2023-10-15,TD,Chad,AFRO,0.0,7698,0.0,194
2023-10-22,TD,Chad,AFRO,0.0,7698,0.0,194
2023-10-29,TD,Chad,AFRO,0.0,7698,0.0,194
2023-11-05,TD,Chad,AFRO,0.0,7698,0.0,194
2023-11-12,TD,Chad,AFRO,0.0,7698,0.0,194
2023-11-19,TD,Chad,AFRO,0.0,7698,0.0,194
2023-11-26,TD,Chad,AFRO,0.0,7698,0.0,194
2023-12-03,TD,Chad,AFRO,0.0,7698,0.0,194
2023-12-10,TD,Chad,AFRO,0.0,7698,0.0,194
2023-12-17,TD,Chad,AFRO,0.0,7698,0.0,194
2023-12-24,TD,Chad,AFRO,0.0,7698,0.0,194
2023-12-31,TD,Chad,AFRO,0.0,7698,0.0,194
2024-01-07,TD,Chad,AFRO,0.0,7698,0.0,194
2024-01-14,TD,Chad,AFRO,0.0,7698,0.0,194
2024-01-21,TD,Chad,AFRO,0.0,7698,0.0,194
2024-01-28,TD,Chad,AFRO,0.0,7698,0.0,194
2024-02-04,TD,Chad,AFRO,0.0,7698,0.0,194
2024-02-11,TD,Chad,AFRO,0.0,7698,0.0,194
2024-02-18,TD,Chad,AFRO,0.0,7698,0.0,194
2024-02-25,TD,Chad,AFRO,0.0,7698,0.0,194
2024-03-03,TD,Chad,AFRO,0.0,7698,0.0,194
2024-03-10,TD,Chad,AFRO,0.0,7698,0.0,194
2024-03-17,TD,Chad,AFRO,4.0,7702,0.0,194
2024-03-24,TD,Chad,AFRO,0.0,7702,0.0,194
2024-03-31,TD,Chad,AFRO,0.0,7702,0.0,194
2024-04-07,TD,Chad,AFRO,0.0,7702,0.0,194
2024-04-14,TD,Chad,AFRO,0.0,7702,0.0,194
2024-04-21,TD,Chad,AFRO,0.0,7702,0.0,194
2024-04-28,TD,Chad,AFRO,0.0,7702,0.0,194
