Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-01-12,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-01-19,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-01-26,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-02-02,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-02-09,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-02-16,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-02-23,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-03-01,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-03-08,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-03-15,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-03-22,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-03-29,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-04-05,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-04-12,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-04-19,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-04-26,TJ,Tajikistan,EURO,0.0,0,0.0,0
2020-05-03,TJ,Tajikistan,EURO,76.0,76,2.0,2
2020-05-10,TJ,Tajikistan,EURO,485.0,561,17.0,19
2020-05-17,TJ,Tajikistan,EURO,761.0,1322,20.0,39
2020-05-24,TJ,Tajikistan,EURO,1416.0,2738,5.0,44
2020-05-31,TJ,Tajikistan,EURO,1069.0,3807,3.0,47
2020-06-07,TJ,Tajikistan,EURO,646.0,4453,1.0,48
2020-06-14,TJ,Tajikistan,EURO,518.0,4971,2.0,50
2020-06-21,TJ,Tajikistan,EURO,428.0,5399,2.0,52
2020-06-28,TJ,Tajikistan,EURO,400.0,5799,0.0,52
2020-07-05,TJ,Tajikistan,EURO,360.0,6159,0.0,52
2020-07-12,TJ,Tajikistan,EURO,346.0,6505,3.0,55
2020-07-19,TJ,Tajikistan,EURO,329.0,6834,2.0,57
2020-07-26,TJ,Tajikistan,EURO,316.0,7150,2.0,59
2020-08-02,TJ,Tajikistan,EURO,301.0,7451,1.0,60
2020-08-09,TJ,Tajikistan,EURO,294.0,7745,2.0,62
2020-08-16,TJ,Tajikistan,EURO,284.0,8029,2.0,64
2020-08-23,TJ,Tajikistan,EURO,248.0,8277,2.0,66
2020-08-30,TJ,Tajikistan,EURO,239.0,8516,2.0,68
2020-09-06,TJ,Tajikistan,EURO,241.0,8757,2.0,70
2020-09-13,TJ,Tajikistan,EURO,257.0,9014,2.0,72
2020-09-20,TJ,Tajikistan,EURO,289.0,9303,1.0,73
2020-09-27,TJ,Tajikistan,EURO,302.0,9605,2.0,75
2020-10-04,TJ,Tajikistan,EURO,290.0,9895,2.0,77
2020-10-11,TJ,Tajikistan,EURO,285.0,10180,2.0,79
2020-10-18,TJ,Tajikistan,EURO,275.0,10455,1.0,80
2020-10-25,TJ,Tajikistan,EURO,281.0,10736,1.0,81
2020-11-01,TJ,Tajikistan,EURO,281.0,11017,1.0,82
2020-11-08,TJ,Tajikistan,EURO,277.0,11294,1.0,83
2020-11-15,TJ,Tajikistan,EURO,279.0,11573,2.0,85
2020-11-22,TJ,Tajikistan,EURO,281.0,11854,1.0,86
2020-11-29,TJ,Tajikistan,EURO,264.0,12118,0.0,86
2020-12-06,TJ,Tajikistan,EURO,271.0,12389,1.0,87
2020-12-13,TJ,Tajikistan,EURO,468.0,12857,0.0,87
