Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-01-12,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-01-19,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-01-26,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-02-02,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-02-09,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-02-16,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-02-23,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-03-01,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-03-08,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-03-15,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-03-22,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-03-29,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-04-05,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-04-12,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-04-19,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-04-26,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-05-03,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-05-10,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-05-17,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-05-24,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-05-31,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-06-07,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-06-14,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-06-21,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-06-28,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-07-05,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-07-12,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-07-19,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-07-26,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-08-02,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-08-09,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-08-16,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-08-23,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-08-30,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-09-06,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-09-13,TM,Turkmenistan,EURO,0.0,0,0.0,0
2020-09-20,TM,Turkmenistan,EURO,0.0,0,0.0,0
