Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-01-12,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-01-19,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-01-26,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-02-02,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-02-09,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-02-16,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-02-23,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-03-01,TN,Tunisia,EMRO,0.0,0,0.0,0
2020-03-08,TN,Tunisia,EMRO,1.0,1,0.0,0
2020-03-15,TN,Tunisia,EMRO,17.0,18,0.0,0
2020-03-22,TN,Tunisia,EMRO,42.0,60,1.0,1
2020-03-29,TN,Tunisia,EMRO,218.0,278,7.0,8
2020-04-05,TN,Tunisia,EMRO,275.0,553,11.0,19
2020-04-12,TN,Tunisia,EMRO,132.0,685,9.0,28
2020-04-19,TN,Tunisia,EMRO,181.0,866,9.0,37
2020-04-26,TN,Tunisia,EMRO,73.0,939,1.0,38
2020-05-03,TN,Tunisia,EMRO,70.0,1009,4.0,42
2020-05-10,TN,Tunisia,EMRO,21.0,1030,3.0,45
2020-05-17,TN,Tunisia,EMRO,5.0,1035,0.0,45
2020-05-24,TN,Tunisia,EMRO,13.0,1048,2.0,47
2020-05-31,TN,Tunisia,EMRO,28.0,1076,1.0,48
2020-06-07,TN,Tunisia,EMRO,11.0,1087,1.0,49
2020-06-14,TN,Tunisia,EMRO,7.0,1094,0.0,49
2020-06-21,TN,Tunisia,EMRO,62.0,1156,1.0,50
2020-06-28,TN,Tunisia,EMRO,12.0,1168,0.0,50
2020-07-05,TN,Tunisia,EMRO,18.0,1186,0.0,50
2020-07-12,TN,Tunisia,EMRO,59.0,1245,0.0,50
2020-07-19,TN,Tunisia,EMRO,103.0,1348,0.0,50
2020-07-26,TN,Tunisia,EMRO,95.0,1443,0.0,50
2020-08-02,TN,Tunisia,EMRO,109.0,1552,1.0,51
2020-08-09,TN,Tunisia,EMRO,126.0,1678,0.0,51
2020-08-16,TN,Tunisia,EMRO,345.0,2023,3.0,54
2020-08-23,TN,Tunisia,EMRO,715.0,2738,14.0,68
2020-08-30,TN,Tunisia,EMRO,834.0,3572,8.0,76
2020-09-06,TN,Tunisia,EMRO,1204.0,4776,17.0,93
2020-09-13,TN,Tunisia,EMRO,1859.0,6635,14.0,107
2020-09-20,TN,Tunisia,EMRO,3101.0,9736,48.0,155
2020-09-27,TN,Tunisia,EMRO,5442.0,15178,52.0,207
2020-10-04,TN,Tunisia,EMRO,5766.0,20944,69.0,276
2020-10-11,TN,Tunisia,EMRO,10315.0,31259,180.0,456
2020-10-18,TN,Tunisia,EMRO,9283.0,40542,170.0,626
2020-10-25,TN,Tunisia,EMRO,9863.0,50405,251.0,877
2020-11-01,TN,Tunisia,EMRO,9408.0,59813,440.0,1317
2020-11-08,TN,Tunisia,EMRO,9730.0,69543,531.0,1848
2020-11-15,TN,Tunisia,EMRO,9796.0,79339,475.0,2323
2020-11-22,TN,Tunisia,EMRO,8132.0,87471,429.0,2752
2020-11-29,TN,Tunisia,EMRO,7509.0,94980,401.0,3153
2020-12-06,TN,Tunisia,EMRO,8011.0,102991,373.0,3526
2020-12-13,TN,Tunisia,EMRO,7402.0,110393,310.0,3836
2020-12-20,TN,Tunisia,EMRO,8758.0,119151,290.0,4126
2020-12-27,TN,Tunisia,EMRO,11079.0,130230,300.0,4426
2021-01-03,TN,Tunisia,EMRO,11749.0,141979,339.0,4765
2021-01-10,TN,Tunisia,EMRO,15535.0,157514,388.0,5153
2021-01-17,TN,Tunisia,EMRO,19717.0,177231,463.0,5616
2021-01-24,TN,Tunisia,EMRO,18083.0,195314,538.0,6154
2021-01-31,TN,Tunisia,EMRO,12154.0,207468,526.0,6680
2021-02-07,TN,Tunisia,EMRO,8708.0,216176,482.0,7162
2021-02-14,TN,Tunisia,EMRO,6328.0,222504,346.0,7508
2021-02-21,TN,Tunisia,EMRO,5139.0,227643,247.0,7755
2021-02-28,TN,Tunisia,EMRO,4972.0,232615,219.0,7974
