Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TR,Türkiye,EURO,0.0,0,0.0,0
2020-01-12,TR,Türkiye,EURO,0.0,0,0.0,0
2020-01-19,TR,Türkiye,EURO,0.0,0,0.0,0
2020-01-26,TR,Türkiye,EURO,0.0,0,0.0,0
2020-02-02,TR,Türkiye,EURO,0.0,0,0.0,0
2020-02-09,TR,Türkiye,EURO,0.0,0,0.0,0
2020-02-16,TR,Türkiye,EURO,0.0,0,0.0,0
2020-02-23,TR,Türkiye,EURO,0.0,0,0.0,0
2020-03-01,TR,Türkiye,EURO,0.0,0,0.0,0
2020-03-08,TR,Türkiye,EURO,0.0,0,0.0,0
2020-03-15,TR,Türkiye,EURO,6.0,6,0.0,0
2020-03-22,TR,Türkiye,EURO,941.0,947,21.0,21
2020-03-29,TR,Türkiye,EURO,6455.0,7402,87.0,108
2020-04-05,TR,Türkiye,EURO,16532.0,23934,393.0,501
2020-04-12,TR,Türkiye,EURO,28233.0,52167,600.0,1101
2020-04-19,TR,Türkiye,EURO,30162.0,82329,789.0,1890
2020-04-26,TR,Türkiye,EURO,25444.0,107773,816.0,2706
2020-05-03,TR,Türkiye,EURO,16602.0,124375,630.0,3336
2020-05-10,TR,Türkiye,EURO,12740.0,137115,403.0,3739
2020-05-17,TR,Türkiye,EURO,10952.0,148067,357.0,4096
2020-05-24,TR,Türkiye,EURO,7619.0,155686,212.0,4308
2020-05-31,TR,Türkiye,EURO,7417.0,163103,207.0,4515
2020-06-07,TR,Türkiye,EURO,6115.0,169218,154.0,4669
2020-06-14,TR,Türkiye,EURO,7459.0,176677,123.0,4792
2020-06-21,TR,Türkiye,EURO,9816.0,186493,135.0,4927
2020-06-28,TR,Türkiye,EURO,9390.0,195883,155.0,5082
2020-07-05,TR,Türkiye,EURO,8727.0,204610,124.0,5206
2020-07-12,TR,Türkiye,EURO,7371.0,211981,138.0,5344
2020-07-19,TR,Türkiye,EURO,6736.0,218717,131.0,5475
2020-07-26,TR,Türkiye,EURO,6456.0,225173,121.0,5596
2020-08-02,TR,Türkiye,EURO,40346.0,265519,114.0,5710
2020-08-09,TR,Türkiye,EURO,54863.0,320382,119.0,5829
2020-08-16,TR,Türkiye,EURO,55605.0,375987,126.0,5955
2020-08-23,TR,Türkiye,EURO,56025.0,432012,147.0,6102
2020-08-30,TR,Türkiye,EURO,57142.0,489154,182.0,6284
2020-09-06,TR,Türkiye,EURO,58274.0,547428,336.0,6620
2020-09-13,TR,Türkiye,EURO,58517.0,605945,379.0,6999
2020-09-20,TR,Türkiye,EURO,58823.0,664768,446.0,7445
2020-09-27,TR,Türkiye,EURO,58728.0,723496,484.0,7929
2020-10-04,TR,Türkiye,EURO,57158.0,780654,455.0,8384
2020-10-11,TR,Türkiye,EURO,58127.0,838781,394.0,8778
2020-10-18,TR,Türkiye,EURO,58757.0,897538,446.0,9224
2020-10-25,TR,Türkiye,EURO,61216.0,958754,503.0,9727
2020-11-01,TR,Türkiye,EURO,62693.0,1021447,525.0,10252
2020-11-08,TR,Türkiye,EURO,63482.0,1084929,551.0,10803
2020-11-15,TR,Türkiye,EURO,66426.0,1151355,615.0,11418
2020-11-22,TR,Türkiye,EURO,76864.0,1228219,801.0,12219
2020-11-29,TR,Türkiye,EURO,142929.0,1371148,1154.0,13373
2020-12-06,TR,Türkiye,EURO,219546.0,1590694,1332.0,14705
2020-12-13,TR,Türkiye,EURO,219115.0,1809809,1494.0,16199
2020-12-20,TR,Türkiye,EURO,194476.0,2004285,1652.0,17851
2020-12-27,TR,Türkiye,EURO,129088.0,2133373,1773.0,19624
2021-01-03,TR,Türkiye,EURO,98662.0,2232035,1671.0,21295
2021-01-10,TR,Türkiye,EURO,85083.0,2317118,1336.0,22631
