Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-01-12,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-01-19,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-01-26,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-02-02,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-02-09,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-02-16,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-02-23,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-03-01,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-03-08,TT,Trinidad and Tobago,AMRO,0.0,0,0.0,0
2020-03-15,TT,Trinidad and Tobago,AMRO,1.0,1,0.0,0
2020-03-22,TT,Trinidad and Tobago,AMRO,8.0,9,0.0,0
2020-03-29,TT,Trinidad and Tobago,AMRO,65.0,74,2.0,2
2020-04-05,TT,Trinidad and Tobago,AMRO,26.0,100,4.0,6
2020-04-12,TT,Trinidad and Tobago,AMRO,9.0,109,2.0,8
2020-04-19,TT,Trinidad and Tobago,AMRO,5.0,114,0.0,8
2020-04-26,TT,Trinidad and Tobago,AMRO,1.0,115,0.0,8
2020-05-03,TT,Trinidad and Tobago,AMRO,1.0,116,0.0,8
2020-05-10,TT,Trinidad and Tobago,AMRO,0.0,116,0.0,8
2020-05-17,TT,Trinidad and Tobago,AMRO,0.0,116,0.0,8
2020-05-24,TT,Trinidad and Tobago,AMRO,0.0,116,0.0,8
2020-05-31,TT,Trinidad and Tobago,AMRO,0.0,116,0.0,8
2020-06-07,TT,Trinidad and Tobago,AMRO,1.0,117,0.0,8
2020-06-14,TT,Trinidad and Tobago,AMRO,0.0,117,0.0,8
2020-06-21,TT,Trinidad and Tobago,AMRO,6.0,123,0.0,8
2020-06-28,TT,Trinidad and Tobago,AMRO,1.0,124,0.0,8
2020-07-05,TT,Trinidad and Tobago,AMRO,6.0,130,0.0,8
2020-07-12,TT,Trinidad and Tobago,AMRO,3.0,133,0.0,8
2020-07-19,TT,Trinidad and Tobago,AMRO,3.0,136,0.0,8
2020-07-26,TT,Trinidad and Tobago,AMRO,11.0,147,0.0,8
2020-08-02,TT,Trinidad and Tobago,AMRO,26.0,173,0.0,8
2020-08-09,TT,Trinidad and Tobago,AMRO,52.0,225,0.0,8
2020-08-16,TT,Trinidad and Tobago,AMRO,249.0,474,2.0,10
2020-08-23,TT,Trinidad and Tobago,AMRO,425.0,899,3.0,13
2020-08-30,TT,Trinidad and Tobago,AMRO,678.0,1577,6.0,19
2020-09-06,TT,Trinidad and Tobago,AMRO,565.0,2142,13.0,32
2020-09-13,TT,Trinidad and Tobago,AMRO,750.0,2892,18.0,50
2020-09-20,TT,Trinidad and Tobago,AMRO,847.0,3739,10.0,60
2020-09-27,TT,Trinidad and Tobago,AMRO,546.0,4285,10.0,70
2020-10-04,TT,Trinidad and Tobago,AMRO,424.0,4709,8.0,78
2020-10-11,TT,Trinidad and Tobago,AMRO,312.0,5021,11.0,89
2020-10-18,TT,Trinidad and Tobago,AMRO,220.0,5241,6.0,95
2020-10-25,TT,Trinidad and Tobago,AMRO,246.0,5487,9.0,104
2020-11-01,TT,Trinidad and Tobago,AMRO,181.0,5668,3.0,107
2020-11-08,TT,Trinidad and Tobago,AMRO,130.0,5798,4.0,111
2020-11-15,TT,Trinidad and Tobago,AMRO,182.0,5980,0.0,111
2020-11-22,TT,Trinidad and Tobago,AMRO,281.0,6261,2.0,113
2020-11-29,TT,Trinidad and Tobago,AMRO,325.0,6586,5.0,118
2020-12-06,TT,Trinidad and Tobago,AMRO,149.0,6735,3.0,121
2020-12-13,TT,Trinidad and Tobago,AMRO,117.0,6852,1.0,122
2020-12-20,TT,Trinidad and Tobago,AMRO,103.0,6955,1.0,123
2020-12-27,TT,Trinidad and Tobago,AMRO,142.0,7097,2.0,125
2021-01-03,TT,Trinidad and Tobago,AMRO,61.0,7158,2.0,127
2021-01-10,TT,Trinidad and Tobago,AMRO,61.0,7219,0.0,127
2021-01-17,TT,Trinidad and Tobago,AMRO,124.0,7343,3.0,130
2021-01-24,TT,Trinidad and Tobago,AMRO,113.0,7456,3.0,133
2021-01-31,TT,Trinidad and Tobago,AMRO,77.0,7533,1.0,134
2021-02-07,TT,Trinidad and Tobago,AMRO,74.0,7607,1.0,135
2021-02-14,TT,Trinidad and Tobago,AMRO,30.0,7637,2.0,137
2021-02-21,TT,Trinidad and Tobago,AMRO,29.0,7666,2.0,139
