Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-01-12,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-01-19,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-01-26,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-02-02,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-02-09,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-02-16,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-02-23,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-03-01,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-03-08,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-03-15,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-03-22,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-03-29,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-04-05,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-04-12,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-04-19,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-04-26,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-05-03,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-05-10,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-05-17,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-05-24,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-05-31,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-06-07,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-06-14,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-06-21,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-06-28,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-07-05,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-07-12,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-07-19,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-07-26,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-08-02,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-08-09,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-08-16,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-08-23,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-08-30,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-09-06,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-09-13,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-09-20,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-09-27,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-10-04,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-10-11,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-10-18,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-10-25,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-11-01,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-11-08,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-11-15,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-11-22,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-11-29,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-12-06,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-12-13,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-12-20,TV,Tuvalu,WPRO,0.0,0,0.0,0
2020-12-27,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-01-03,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-01-10,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-01-17,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-01-24,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-01-31,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-02-07,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-02-14,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-02-21,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-02-28,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-03-07,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-03-14,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-03-21,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-03-28,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-04-04,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-04-11,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-04-18,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-04-25,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-05-02,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-05-09,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-05-16,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-05-23,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-05-30,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-06-06,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-06-13,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-06-20,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-06-27,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-07-04,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-07-11,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-07-18,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-07-25,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-08-01,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-08-08,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-08-15,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-08-22,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-08-29,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-09-05,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-09-12,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-09-19,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-09-26,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-10-03,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-10-10,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-10-17,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-10-24,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-10-31,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-11-07,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-11-14,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-11-21,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-11-28,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-12-05,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-12-12,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-12-19,TV,Tuvalu,WPRO,0.0,0,0.0,0
2021-12-26,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-01-02,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-01-09,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-01-16,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-01-23,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-01-30,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-02-06,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-02-13,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-02-20,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-02-27,TV,Tuvalu,WPRO,0.0,0,0.0,0
2022-03-06,TV,Tuvalu,WPRO,0.0,0,0.0,0
