Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,UA,Ukraine,EURO,0.0,0,0.0,0
2020-01-12,UA,Ukraine,EURO,0.0,0,0.0,0
2020-01-19,UA,Ukraine,EURO,0.0,0,0.0,0
2020-01-26,UA,Ukraine,EURO,0.0,0,0.0,0
2020-02-02,UA,Ukraine,EURO,0.0,0,0.0,0
2020-02-09,UA,Ukraine,EURO,0.0,0,0.0,0
2020-02-16,UA,Ukraine,EURO,0.0,0,0.0,0
2020-02-23,UA,Ukraine,EURO,0.0,0,0.0,0
2020-03-01,UA,Ukraine,EURO,0.0,0,0.0,0
2020-03-08,UA,Ukraine,EURO,0.0,0,0.0,0
2020-03-15,UA,Ukraine,EURO,18.0,18,2.0,2
2020-03-22,UA,Ukraine,EURO,107.0,125,3.0,5
2020-03-29,UA,Ukraine,EURO,390.0,515,8.0,13
2020-04-05,UA,Ukraine,EURO,765.0,1280,23.0,36
2020-04-12,UA,Ukraine,EURO,1685.0,2965,29.0,65
2020-04-19,UA,Ukraine,EURO,2473.0,5438,20.0,85
2020-04-26,UA,Ukraine,EURO,3011.0,8449,45.0,130
2020-05-03,UA,Ukraine,EURO,2946.0,11395,25.0,155
2020-05-10,UA,Ukraine,EURO,2985.0,14380,40.0,195
2020-05-17,UA,Ukraine,EURO,2612.0,16992,43.0,238
2020-05-24,UA,Ukraine,EURO,2338.0,19330,23.0,261
2020-05-31,UA,Ukraine,EURO,2436.0,21766,33.0,294
2020-06-07,UA,Ukraine,EURO,3135.0,24901,27.0,321
2020-06-14,UA,Ukraine,EURO,3937.0,28838,33.0,354
2020-06-21,UA,Ukraine,EURO,4884.0,33722,40.0,394
2020-06-28,UA,Ukraine,EURO,6184.0,39906,68.0,462
2020-07-05,UA,Ukraine,EURO,5188.0,45094,53.0,515
2020-07-12,UA,Ukraine,EURO,4945.0,50039,56.0,571
2020-07-19,UA,Ukraine,EURO,5084.0,55123,52.0,623
2020-07-26,UA,Ukraine,EURO,6046.0,61169,97.0,720
2020-08-02,UA,Ukraine,EURO,7012.0,68181,79.0,799
2020-08-09,UA,Ukraine,EURO,8131.0,76312,127.0,926
2020-08-16,UA,Ukraine,EURO,10024.0,86336,121.0,1047
2020-08-23,UA,Ukraine,EURO,13252.0,99588,102.0,1149
2020-08-30,UA,Ukraine,EURO,13822.0,113410,218.0,1367
2020-09-06,UA,Ukraine,EURO,17414.0,130824,202.0,1569
2020-09-13,UA,Ukraine,EURO,18911.0,149735,137.0,1706
2020-09-20,UA,Ukraine,EURO,21092.0,170827,326.0,2032
2020-09-27,UA,Ukraine,EURO,21299.0,192126,278.0,2310
2020-10-04,UA,Ukraine,EURO,27198.0,219324,278.0,2588
2020-10-11,UA,Ukraine,EURO,33814.0,253138,442.0,3030
2020-10-18,UA,Ukraine,EURO,35486.0,288624,405.0,3435
2020-10-25,UA,Ukraine,EURO,41583.0,330207,445.0,3880
2020-11-01,UA,Ukraine,EURO,48518.0,378725,923.0,4803
2020-11-08,UA,Ukraine,EURO,59561.0,438286,1192.0,5995
2020-11-15,UA,Ukraine,EURO,75319.0,513605,1130.0,7125
2020-11-22,UA,Ukraine,EURO,88651.0,602256,1379.0,8504
2020-11-29,UA,Ukraine,EURO,95555.0,697811,1252.0,9756
2020-12-06,UA,Ukraine,EURO,87403.0,785214,1406.0,11162
2020-12-13,UA,Ukraine,EURO,76767.0,861981,1514.0,12676
2020-12-20,UA,Ukraine,EURO,68736.0,930717,1620.0,14296
2020-12-27,UA,Ukraine,EURO,57391.0,988108,982.0,15278
2021-01-03,UA,Ukraine,EURO,49251.0,1037359,1254.0,16532
2021-01-10,UA,Ukraine,EURO,39656.0,1077015,732.0,17264
2021-01-17,UA,Ukraine,EURO,44402.0,1121417,1034.0,18298
2021-01-24,UA,Ukraine,EURO,30612.0,1152029,1055.0,19353
2021-01-31,UA,Ukraine,EURO,27158.0,1179187,844.0,20197
2021-02-07,UA,Ukraine,EURO,25508.0,1204695,876.0,21073
2021-02-14,UA,Ukraine,EURO,26498.0,1231193,748.0,21821
2021-02-21,UA,Ukraine,EURO,34188.0,1265381,764.0,22585
2021-02-28,UA,Ukraine,EURO,44472.0,1309853,895.0,23480
2021-03-07,UA,Ukraine,EURO,55376.0,1365229,1145.0,24625
2021-03-14,UA,Ukraine,EURO,60038.0,1425267,1238.0,25863
2021-03-21,UA,Ukraine,EURO,80339.0,1505606,1643.0,27506
2021-03-28,UA,Ukraine,EURO,104522.0,1610128,2057.0,29563
2021-04-04,UA,Ukraine,EURO,103479.0,1713607,2454.0,32017
2021-04-11,UA,Ukraine,EURO,105217.0,1818824,2714.0,34731
2021-04-18,UA,Ukraine,EURO,91911.0,1910735,2699.0,37430
2021-04-25,UA,Ukraine,EURO,77317.0,1988052,2518.0,39948
2021-05-02,UA,Ukraine,EURO,55605.0,2043657,2232.0,42180
2021-05-09,UA,Ukraine,EURO,36932.0,2080589,1872.0,44052
2021-05-16,UA,Ukraine,EURO,33146.0,2113735,1562.0,45614
2021-05-23,UA,Ukraine,EURO,27840.0,2141575,1262.0,46876
2021-05-30,UA,Ukraine,EURO,19626.0,2161201,1260.0,48136
2021-06-06,UA,Ukraine,EURO,11571.0,2172772,519.0,48655
2021-06-13,UA,Ukraine,EURO,9373.0,2182145,544.0,49199
2021-06-20,UA,Ukraine,EURO,5609.0,2187754,292.0,49491
2021-06-27,UA,Ukraine,EURO,4360.0,2192114,249.0,49740
2021-07-04,UA,Ukraine,EURO,3429.0,2195543,184.0,49924
2021-07-11,UA,Ukraine,EURO,3551.0,2199094,154.0,50078
2021-07-18,UA,Ukraine,EURO,3301.0,2202395,93.0,50171
2021-07-25,UA,Ukraine,EURO,4154.0,2206549,143.0,50314
2021-08-01,UA,Ukraine,EURO,4705.0,2211254,81.0,50395
2021-08-08,UA,Ukraine,EURO,5921.0,2217175,145.0,50540
2021-08-15,UA,Ukraine,EURO,6879.0,2224054,169.0,50709
2021-08-22,UA,Ukraine,EURO,9078.0,2233132,231.0,50940
2021-08-29,UA,Ukraine,EURO,9533.0,2242665,238.0,51178
2021-09-05,UA,Ukraine,EURO,13367.0,2256032,263.0,51441
2021-09-12,UA,Ukraine,EURO,19517.0,2275549,359.0,51800
2021-09-19,UA,Ukraine,EURO,32822.0,2308371,559.0,52359
2021-09-26,UA,Ukraine,EURO,44759.0,2353130,801.0,53160
2021-10-03,UA,Ukraine,EURO,64606.0,2417736,1169.0,54329
2021-10-10,UA,Ukraine,EURO,90079.0,2507815,1811.0,56140
2021-10-17,UA,Ukraine,EURO,94605.0,2602420,2109.0,58249
2021-10-24,UA,Ukraine,EURO,139344.0,2741764,3392.0,61641
2021-10-31,UA,Ukraine,EURO,152199.0,2893963,3825.0,65466
