Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,US,United States of America,AMRO,0.0,0,0.0,0
2020-01-12,US,United States of America,AMRO,0.0,0,0.0,0
2020-01-19,US,United States of America,AMRO,0.0,0,0.0,0
2020-01-26,US,United States of America,AMRO,7.0,7,0.0,0
2020-02-02,US,United States of America,AMRO,2.0,9,0.0,0
2020-02-09,US,United States of America,AMRO,11.0,20,0.0,0
2020-02-16,US,United States of America,AMRO,4.0,24,0.0,0
2020-02-23,US,United States of America,AMRO,16.0,40,0.0,0
2020-03-01,US,United States of America,AMRO,33.0,73,1.0,1
2020-03-08,US,United States of America,AMRO,391.0,464,18.0,19
2020-03-15,US,United States of America,AMRO,3465.0,3929,50.0,69
2020-03-22,US,United States of America,AMRO,27486.0,31415,305.0,374
2020-03-29,US,United States of America,AMRO,94894.0,126309,1732.0,2106
2020-04-05,US,United States of America,AMRO,176151.0,302460,6642.0,8748
2020-04-12,US,United States of America,AMRO,219172.0,521632,13889.0,22637
2020-04-19,US,United States of America,AMRO,196150.0,717782,15898.0,38535
2020-04-26,US,United States of America,AMRO,205165.0,922947,14899.0,53434
2020-05-03,US,United States of America,AMRO,198436.0,1121383,13635.0,67069
2020-05-10,US,United States of America,AMRO,182246.0,1303629,12758.0,79827
2020-05-17,US,United States of America,AMRO,169032.0,1472661,10130.0,89957
2020-05-24,US,United States of America,AMRO,166325.0,1638986,8558.0,98515
2020-05-31,US,United States of America,AMRO,146436.0,1785422,6810.0,105325
2020-06-07,US,United States of America,AMRO,149780.0,1935202,5987.0,111312
2020-06-14,US,United States of America,AMRO,151876.0,2087078,5370.0,116682
2020-06-21,US,United States of America,AMRO,180021.0,2267099,4455.0,121137
2020-06-28,US,United States of America,AMRO,258278.0,2525377,6081.0,127218
2020-07-05,US,United States of America,AMRO,342166.0,2867543,4451.0,131669
2020-07-12,US,United States of America,AMRO,392205.0,3259748,5529.0,137198
2020-07-19,US,United States of America,AMRO,466267.0,3726015,6666.0,143864
2020-07-26,US,United States of America,AMRO,467901.0,4193916,7726.0,151590
2020-08-02,US,United States of America,AMRO,431250.0,4625166,8146.0,159736
2020-08-09,US,United States of America,AMRO,375909.0,5001075,7799.0,167535
2020-08-16,US,United States of America,AMRO,362662.0,5363737,7404.0,174939
2020-08-23,US,United States of America,AMRO,315788.0,5679525,6677.0,181616
2020-08-30,US,United States of America,AMRO,294946.0,5974471,6343.0,187959
2020-09-06,US,United States of America,AMRO,295253.0,6269724,5705.0,193664
2020-09-13,US,United States of America,AMRO,245621.0,6515345,4977.0,198641
2020-09-20,US,United States of America,AMRO,280977.0,6796322,5176.0,203817
2020-09-27,US,United States of America,AMRO,304774.0,7101096,4776.0,208593
2020-10-04,US,United States of America,AMRO,298348.0,7399444,4687.0,213280
2020-10-11,US,United States of America,AMRO,334249.0,7733693,4615.0,217895
2020-10-18,US,United States of America,AMRO,387634.0,8121327,4801.0,222696
2020-10-25,US,United States of America,AMRO,449438.0,8570765,5723.0,228419
2020-11-01,US,United States of America,AMRO,559394.0,9130159,6096.0,234515
2020-11-08,US,United States of America,AMRO,790094.0,9920253,7204.0,241719
2020-11-15,US,United States of America,AMRO,1004845.0,10925098,8717.0,250436
2020-11-22,US,United States of America,AMRO,1175483.0,12100581,10820.0,261256
2020-11-29,US,United States of America,AMRO,1162401.0,13262982,11950.0,273206
2020-12-06,US,United States of America,AMRO,1280932.0,14543914,14801.0,288007
2020-12-13,US,United States of America,AMRO,1468482.0,16012396,17714.0,305721
2020-12-20,US,United States of America,AMRO,1517928.0,17530324,18866.0,324587
2020-12-27,US,United States of America,AMRO,1360122.0,18890446,18333.0,342920
2021-01-03,US,United States of America,AMRO,1380995.0,20271441,19650.0,362570
2021-01-10,US,United States of America,AMRO,1667151.0,21938592,21497.0,384067
2021-01-17,US,United States of America,AMRO,1589955.0,23528547,23312.0,407379
2021-01-24,US,United States of America,AMRO,1265861.0,24794408,22495.0,429874
2021-01-31,US,United States of America,AMRO,1068625.0,25863033,22249.0,452123
2021-02-07,US,United States of America,AMRO,857250.0,26720283,20100.0,472223
2021-02-14,US,United States of America,AMRO,670572.0,27390855,19838.0,492061
2021-02-21,US,United States of America,AMRO,473485.0,27864340,14432.0,506493
2021-02-28,US,United States of America,AMRO,465751.0,28330091,13360.0,519853
2021-03-07,US,United States of America,AMRO,420739.0,28750830,10446.0,530299
2021-03-14,US,United States of America,AMRO,384000.0,29134830,8559.0,538858
2021-03-21,US,United States of America,AMRO,379551.0,29514381,6264.0,545122
2021-03-28,US,United States of America,AMRO,417818.0,29932199,6111.0,551233
2021-04-04,US,United States of America,AMRO,449960.0,30382159,5352.0,556585
2021-04-11,US,United States of America,AMRO,455950.0,30838109,4903.0,561488
2021-04-18,US,United States of America,AMRO,467217.0,31305326,4875.0,566363
2021-04-25,US,United States of America,AMRO,406095.0,31711421,4721.0,571084
2021-05-02,US,United States of America,AMRO,338407.0,32049828,4493.0,575577
2021-05-09,US,United States of America,AMRO,292324.0,32342152,4451.0,580028
2021-05-16,US,United States of America,AMRO,233350.0,32575502,3973.0,584001
2021-05-23,US,United States of America,AMRO,181609.0,32757111,3624.0,587625
2021-05-30,US,United States of America,AMRO,147811.0,32904922,3534.0,591159
2021-06-06,US,United States of America,AMRO,99112.0,33004034,2675.0,593834
2021-06-13,US,United States of America,AMRO,99565.0,33103599,2624.0,596458
2021-06-20,US,United States of America,AMRO,80627.0,33184226,1762.0,598220
2021-06-27,US,United States of America,AMRO,87637.0,33271863,2101.0,600321
2021-07-04,US,United States of America,AMRO,97037.0,33368900,1717.0,602038
2021-07-11,US,United States of America,AMRO,286510.0,33655410,1509.0,603547
2021-07-18,US,United States of America,AMRO,222579.0,33877989,1931.0,605478
2021-07-25,US,United States of America,AMRO,359027.0,34237016,2084.0,607562
2021-08-01,US,United States of America,AMRO,547086.0,34784102,2927.0,610489
2021-08-08,US,United States of America,AMRO,743056.0,35527158,4453.0,614942
2021-08-15,US,United States of America,AMRO,886464.0,36413622,5637.0,620579
2021-08-22,US,United States of America,AMRO,1019966.0,37433588,8055.0,628634
2021-08-29,US,United States of America,AMRO,1094890.0,38528478,10183.0,638817
2021-09-05,US,United States of America,AMRO,1144251.0,39672729,11709.0,650526
2021-09-12,US,United States of America,AMRO,1022570.0,40695299,12085.0,662611
2021-09-19,US,United States of America,AMRO,1037454.0,41732753,13590.0,676201
2021-09-26,US,United States of America,AMRO,852294.0,42585047,13384.0,689585
2021-10-03,US,United States of America,AMRO,755688.0,43340735,12992.0,702577
2021-10-10,US,United States of America,AMRO,681984.0,44022719,11684.0,714261
2021-10-17,US,United States of America,AMRO,582237.0,44604956,10462.0,724723
2021-10-24,US,United States of America,AMRO,508543.0,45113499,11091.0,735814
2021-10-31,US,United States of America,AMRO,526186.0,45639685,8915.0,744729
2021-11-07,US,United States of America,AMRO,510211.0,46149896,7407.0,752136
2021-11-14,US,United States of America,AMRO,557180.0,46707076,7529.0,759665
2021-11-21,US,United States of America,AMRO,676876.0,47383952,10276.0,769941
2021-11-28,US,United States of America,AMRO,592394.0,47976346,5690.0,775631
2021-12-05,US,United States of America,AMRO,751017.0,48727363,8304.0,783935
2021-12-12,US,United States of America,AMRO,834969.0,49562332,8586.0,792521
2021-12-19,US,United States of America,AMRO,899109.0,50461441,9065.0,801586
2021-12-26,US,United States of America,AMRO,1417419.0,51878860,11001.0,812587
2022-01-02,US,United States of America,AMRO,2712038.0,54590898,9146.0,821733
2022-01-09,US,United States of America,AMRO,4682897.0,59273795,11716.0,833449
2022-01-16,US,United States of America,AMRO,5650933.0,64924728,14380.0,847829
2022-01-23,US,United States of America,AMRO,5042888.0,69967616,16308.0,864137
2022-01-30,US,United States of America,AMRO,3789262.0,73756878,18403.0,882540
2022-02-06,US,United States of America,AMRO,2188710.0,75945588,18654.0,901194
2022-02-13,US,United States of America,AMRO,1222112.0,77167700,17550.0,918744
2022-02-20,US,United States of America,AMRO,708156.0,77875856,15372.0,934116
2022-02-27,US,United States of America,AMRO,458272.0,78334128,13046.0,947162
2022-03-06,US,United States of America,AMRO,332509.0,78666637,9678.0,956840
2022-03-13,US,United States of America,AMRO,234332.0,78900969,8606.0,965446
2022-03-20,US,United States of America,AMRO,208740.0,79109709,3245.0,968691
2022-03-27,US,United States of America,AMRO,193469.0,79303178,4991.0,973682
2022-04-03,US,United States of America,AMRO,194464.0,79497642,4172.0,977854
2022-04-10,US,United States of America,AMRO,201192.0,79698834,3467.0,981321
2022-04-17,US,United States of America,AMRO,247939.0,79946773,3123.0,984444
2022-04-24,US,United States of America,AMRO,300721.0,80247494,2443.0,986887
2022-05-01,US,United States of America,AMRO,378549.0,80626043,2242.0,989129
2022-05-08,US,United States of America,AMRO,465658.0,81091701,2641.0,991770
2022-05-15,US,United States of America,AMRO,604955.0,81696656,1966.0,993736
2022-05-22,US,United States of America,AMRO,734495.0,82431151,2081.0,995817
2022-05-29,US,United States of America,AMRO,740720.0,83171871,2629.0,998446
2022-06-05,US,United States of America,AMRO,675627.0,83847498,1979.0,1000425
2022-06-12,US,United States of America,AMRO,741044.0,84588542,2284.0,1002709
2022-06-19,US,United States of America,AMRO,672256.0,85260798,2202.0,1004911
2022-06-26,US,United States of America,AMRO,709637.0,85970435,2501.0,1007412
2022-07-03,US,United States of America,AMRO,773772.0,86744207,2642.0,1010054
2022-07-10,US,United States of America,AMRO,743769.0,87487976,2454.0,1012508
2022-07-17,US,United States of America,AMRO,888229.0,88376205,2785.0,1015293
2022-07-24,US,United States of America,AMRO,908695.0,89284900,3187.0,1018480
2022-07-31,US,United States of America,AMRO,947983.0,90232883,3113.0,1021593
2022-08-07,US,United States of America,AMRO,788051.0,91020934,3261.0,1024854
2022-08-14,US,United States of America,AMRO,701618.0,91722552,3442.0,1028296
2022-08-21,US,United States of America,AMRO,644925.0,92367477,3231.0,1031527
2022-08-28,US,United States of America,AMRO,610329.0,92977806,3221.0,1034748
2022-09-04,US,United States of America,AMRO,580363.0,93558169,3090.0,1037838
2022-09-11,US,United States of America,AMRO,449509.0,94007678,2625.0,1040463
2022-09-18,US,United States of America,AMRO,406901.0,94414579,2899.0,1043362
2022-09-25,US,United States of America,AMRO,368725.0,94783304,2705.0,1046067
2022-10-02,US,United States of America,AMRO,321234.0,95104538,2982.0,1049049
2022-10-09,US,United States of America,AMRO,280584.0,95385122,2560.0,1051609
2022-10-16,US,United States of America,AMRO,251280.0,95636402,2274.0,1053883
2022-10-23,US,United States of America,AMRO,283734.0,95920136,2955.0,1056838
2022-10-30,US,United States of America,AMRO,255156.0,96175292,3081.0,1059919
2022-11-06,US,United States of America,AMRO,267304.0,96442596,2463.0,1062382
2022-11-13,US,United States of America,AMRO,282897.0,96725493,2290.0,1064672
2022-11-20,US,United States of America,AMRO,274984.0,97000477,2202.0,1066874
2022-11-27,US,United States of America,AMRO,300171.0,97300648,2619.0,1069493
2022-12-04,US,United States of America,AMRO,302599.0,97603247,1763.0,1071256
2022-12-11,US,United States of America,AMRO,462223.0,98065470,3035.0,1074291
2022-12-18,US,United States of America,AMRO,446014.0,98511484,2652.0,1076943
2022-12-25,US,United States of America,AMRO,508009.0,99019493,3033.0,1079976
2023-01-01,US,United States of America,AMRO,392203.0,99411696,2480.0,1082456
2023-01-08,US,United States of America,AMRO,471714.0,99883410,2764.0,1085220
2023-01-15,US,United States of America,AMRO,448092.0,100331502,4407.0,1089627
2023-01-22,US,United States of America,AMRO,308025.0,100639527,3664.0,1093291
2023-01-29,US,United States of America,AMRO,294867.0,100934394,3743.0,1097034
2023-02-05,US,United States of America,AMRO,285402.0,101219796,3452.0,1100486
2023-02-12,US,United States of America,AMRO,278228.0,101498024,3440.0,1103926
2023-02-19,US,United States of America,AMRO,254372.0,101752396,2857.0,1106783
2023-02-26,US,United States of America,AMRO,267168.0,102019564,2362.0,1109145
2023-03-05,US,United States of America,AMRO,227828.0,102247392,2197.0,1111342
2023-03-12,US,United States of America,AMRO,170593.0,102417985,1887.0,1113229
