Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-01-12,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-01-19,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-01-26,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-02-02,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-02-09,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-02-16,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-02-23,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-03-01,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-03-08,UY,Uruguay,AMRO,0.0,0,0.0,0
2020-03-15,UY,Uruguay,AMRO,4.0,4,0.0,0
2020-03-22,UY,Uruguay,AMRO,90.0,94,0.0,0
2020-03-29,UY,Uruguay,AMRO,180.0,274,0.0,0
2020-04-05,UY,Uruguay,AMRO,112.0,386,4.0,4
2020-04-12,UY,Uruguay,AMRO,108.0,494,3.0,7
2020-04-19,UY,Uruguay,AMRO,14.0,508,2.0,9
2020-04-26,UY,Uruguay,AMRO,55.0,563,3.0,12
2020-05-03,UY,Uruguay,AMRO,85.0,648,5.0,17
2020-05-10,UY,Uruguay,AMRO,46.0,694,0.0,17
2020-05-17,UY,Uruguay,AMRO,38.0,732,2.0,19
2020-05-24,UY,Uruguay,AMRO,21.0,753,1.0,20
2020-05-31,UY,Uruguay,AMRO,63.0,816,2.0,22
2020-06-07,UY,Uruguay,AMRO,18.0,834,1.0,23
2020-06-14,UY,Uruguay,AMRO,13.0,847,0.0,23
2020-06-21,UY,Uruguay,AMRO,6.0,853,1.0,24
2020-06-28,UY,Uruguay,AMRO,66.0,919,2.0,26
2020-07-05,UY,Uruguay,AMRO,33.0,952,2.0,28
2020-07-12,UY,Uruguay,AMRO,33.0,985,1.0,29
2020-07-19,UY,Uruguay,AMRO,52.0,1037,3.0,32
2020-07-26,UY,Uruguay,AMRO,129.0,1166,2.0,34
2020-08-02,UY,Uruguay,AMRO,99.0,1265,1.0,35
2020-08-09,UY,Uruguay,AMRO,60.0,1325,2.0,37
2020-08-16,UY,Uruguay,AMRO,96.0,1421,1.0,38
2020-08-23,UY,Uruguay,AMRO,95.0,1516,4.0,42
2020-08-30,UY,Uruguay,AMRO,40.0,1556,1.0,43
2020-09-06,UY,Uruguay,AMRO,97.0,1653,2.0,45
2020-09-13,UY,Uruguay,AMRO,120.0,1773,0.0,45
2020-09-20,UY,Uruguay,AMRO,117.0,1890,1.0,46
2020-09-27,UY,Uruguay,AMRO,77.0,1967,1.0,47
2020-10-04,UY,Uruguay,AMRO,130.0,2097,1.0,48
2020-10-11,UY,Uruguay,AMRO,154.0,2251,1.0,49
2020-10-18,UY,Uruguay,AMRO,199.0,2450,2.0,51
2020-10-25,UY,Uruguay,AMRO,309.0,2759,2.0,53
2020-11-01,UY,Uruguay,AMRO,323.0,3082,5.0,58
2020-11-08,UY,Uruguay,AMRO,288.0,3370,3.0,61
2020-11-15,UY,Uruguay,AMRO,513.0,3883,3.0,64
2020-11-22,UY,Uruguay,AMRO,594.0,4477,5.0,69
2020-11-29,UY,Uruguay,AMRO,826.0,5303,5.0,74
2020-12-06,UY,Uruguay,AMRO,1428.0,6731,6.0,80
2020-12-13,UY,Uruguay,AMRO,2118.0,8849,10.0,90
2020-12-20,UY,Uruguay,AMRO,3101.0,11950,19.0,109
2020-12-27,UY,Uruguay,AMRO,3898.0,15848,34.0,143
2021-01-03,UY,Uruguay,AMRO,3905.0,19753,50.0,193
2021-01-10,UY,Uruguay,AMRO,4586.0,24339,47.0,240
2021-01-17,UY,Uruguay,AMRO,6607.0,30946,51.0,291
2021-01-24,UY,Uruguay,AMRO,5224.0,36170,73.0,364
2021-01-31,UY,Uruguay,AMRO,4359.0,40529,61.0,425
2021-02-07,UY,Uruguay,AMRO,3774.0,44303,53.0,478
2021-02-14,UY,Uruguay,AMRO,3525.0,47828,49.0,527
2021-02-21,UY,Uruguay,AMRO,3549.0,51377,36.0,563
2021-02-28,UY,Uruguay,AMRO,5165.0,56542,38.0,601
2021-03-07,UY,Uruguay,AMRO,5387.0,61929,36.0,637
2021-03-14,UY,Uruguay,AMRO,7145.0,69074,52.0,689
2021-03-21,UY,Uruguay,AMRO,9327.0,78401,71.0,760
2021-03-28,UY,Uruguay,AMRO,13942.0,92343,115.0,875
2021-04-04,UY,Uruguay,AMRO,19225.0,111568,166.0,1041
2021-04-11,UY,Uruguay,AMRO,26378.0,137946,322.0,1363
2021-04-18,UY,Uruguay,AMRO,21623.0,159569,425.0,1788
2021-04-25,UY,Uruguay,AMRO,19968.0,179537,439.0,2227
2021-05-02,UY,Uruguay,AMRO,18891.0,198428,389.0,2616
2021-05-09,UY,Uruguay,AMRO,17718.0,216146,416.0,3032
2021-05-16,UY,Uruguay,AMRO,19060.0,235206,337.0,3369
2021-05-23,UY,Uruguay,AMRO,23334.0,258540,391.0,3760
2021-05-30,UY,Uruguay,AMRO,23658.0,282198,358.0,4118
2021-06-06,UY,Uruguay,AMRO,26292.0,308490,398.0,4516
2021-06-13,UY,Uruguay,AMRO,24994.0,333484,390.0,4906
2021-06-20,UY,Uruguay,AMRO,17894.0,351378,301.0,5207
2021-06-27,UY,Uruguay,AMRO,12202.0,363580,240.0,5447
2021-07-04,UY,Uruguay,AMRO,7837.0,371417,195.0,5642
2021-07-11,UY,Uruguay,AMRO,4485.0,375902,148.0,5790
2021-07-18,UY,Uruguay,AMRO,2578.0,378480,81.0,5871
2021-07-25,UY,Uruguay,AMRO,1671.0,380151,48.0,5919
2021-08-01,UY,Uruguay,AMRO,1213.0,381364,40.0,5959
2021-08-08,UY,Uruguay,AMRO,931.0,382295,27.0,5986
2021-08-15,UY,Uruguay,AMRO,806.0,383101,12.0,5998
2021-08-22,UY,Uruguay,AMRO,802.0,383903,17.0,6015
2021-08-29,UY,Uruguay,AMRO,628.0,384531,11.0,6026
2021-09-05,UY,Uruguay,AMRO,892.0,385423,8.0,6034
2021-09-12,UY,Uruguay,AMRO,987.0,386410,3.0,6037
2021-09-19,UY,Uruguay,AMRO,1039.0,387449,9.0,6046
2021-09-26,UY,Uruguay,AMRO,864.0,388313,5.0,6051
2021-10-03,UY,Uruguay,AMRO,712.0,389025,5.0,6056
2021-10-10,UY,Uruguay,AMRO,792.0,389817,6.0,6062
2021-10-17,UY,Uruguay,AMRO,945.0,390762,4.0,6066
2021-10-24,UY,Uruguay,AMRO,1128.0,391890,4.0,6070
2021-10-31,UY,Uruguay,AMRO,1564.0,393454,7.0,6077
2021-11-07,UY,Uruguay,AMRO,1460.0,394914,7.0,6084
2021-11-14,UY,Uruguay,AMRO,1261.0,396175,15.0,6099
2021-11-21,UY,Uruguay,AMRO,1374.0,397549,11.0,6110
2021-11-28,UY,Uruguay,AMRO,1341.0,398890,14.0,6124
2021-12-05,UY,Uruguay,AMRO,1652.0,400542,8.0,6132
2021-12-12,UY,Uruguay,AMRO,1607.0,402149,9.0,6141
2021-12-19,UY,Uruguay,AMRO,1750.0,403899,9.0,6150
2021-12-26,UY,Uruguay,AMRO,2840.0,406739,12.0,6162
2022-01-02,UY,Uruguay,AMRO,6644.0,413383,8.0,6170
2022-01-09,UY,Uruguay,AMRO,23679.0,437062,18.0,6188
2022-01-16,UY,Uruguay,AMRO,53564.0,490626,26.0,6214
2022-01-23,UY,Uruguay,AMRO,78411.0,569037,70.0,6284
2022-01-30,UY,Uruguay,AMRO,75594.0,644631,127.0,6411
2022-02-06,UY,Uruguay,AMRO,66243.0,710874,195.0,6606
2022-02-13,UY,Uruguay,AMRO,55086.0,765960,123.0,6729
2022-02-20,UY,Uruguay,AMRO,42052.0,808012,125.0,6854
2022-02-27,UY,Uruguay,AMRO,27334.0,835346,95.0,6949
2022-03-06,UY,Uruguay,AMRO,15895.0,851241,82.0,7031
2022-03-13,UY,Uruguay,AMRO,10912.0,862153,52.0,7083
2022-03-20,UY,Uruguay,AMRO,10785.0,872938,44.0,7127
2022-03-27,UY,Uruguay,AMRO,9441.0,882379,22.0,7149
2022-04-03,UY,Uruguay,AMRO,6260.0,888639,12.0,7161
2022-04-10,UY,Uruguay,AMRO,4370.0,893009,20.0,7181
2022-04-17,UY,Uruguay,AMRO,2442.0,895451,12.0,7193
2022-04-24,UY,Uruguay,AMRO,2416.0,897867,10.0,7203
2022-05-01,UY,Uruguay,AMRO,1856.0,899723,7.0,7210
2022-05-08,UY,Uruguay,AMRO,2817.0,902540,3.0,7213
2022-05-15,UY,Uruguay,AMRO,5538.0,908078,2.0,7215
2022-05-22,UY,Uruguay,AMRO,8310.0,916388,12.0,7227
2022-05-29,UY,Uruguay,AMRO,9389.0,925777,11.0,7238
2022-06-05,UY,Uruguay,AMRO,9184.0,934961,24.0,7262
2022-06-12,UY,Uruguay,AMRO,8916.0,943877,28.0,7290
2022-06-19,UY,Uruguay,AMRO,8071.0,951948,22.0,7312
2022-06-26,UY,Uruguay,AMRO,5681.0,957629,19.0,7331
2022-07-03,UY,Uruguay,AMRO,4622.0,962251,20.0,7351
2022-07-10,UY,Uruguay,AMRO,3119.0,965370,22.0,7373
2022-07-17,UY,Uruguay,AMRO,2438.0,967808,14.0,7387
2022-07-24,UY,Uruguay,AMRO,1995.0,969803,16.0,7403
2022-07-31,UY,Uruguay,AMRO,1925.0,971728,12.0,7415
2022-08-07,UY,Uruguay,AMRO,1692.0,973420,8.0,7423
2022-08-14,UY,Uruguay,AMRO,1844.0,975264,6.0,7429
2022-08-21,UY,Uruguay,AMRO,2041.0,977305,9.0,7438
2022-08-28,UY,Uruguay,AMRO,1855.0,979160,7.0,7445
2022-09-04,UY,Uruguay,AMRO,2026.0,981186,10.0,7455
2022-09-11,UY,Uruguay,AMRO,1660.0,982846,7.0,7462
2022-09-18,UY,Uruguay,AMRO,1306.0,984152,11.0,7473
2022-09-25,UY,Uruguay,AMRO,1270.0,985422,12.0,7485
2022-10-02,UY,Uruguay,AMRO,1024.0,986446,10.0,7495
2022-10-09,UY,Uruguay,AMRO,1117.0,987563,6.0,7501
2022-10-16,UY,Uruguay,AMRO,964.0,988527,9.0,7510
2022-10-23,UY,Uruguay,AMRO,1102.0,989629,5.0,7515
2022-10-30,UY,Uruguay,AMRO,931.0,990560,3.0,7518
2022-11-06,UY,Uruguay,AMRO,659.0,991219,8.0,7526
2022-11-13,UY,Uruguay,AMRO,816.0,992035,3.0,7529
2022-11-20,UY,Uruguay,AMRO,852.0,992887,1.0,7530
2022-11-27,UY,Uruguay,AMRO,988.0,993875,7.0,7537
2022-12-04,UY,Uruguay,AMRO,1527.0,995402,4.0,7541
2022-12-11,UY,Uruguay,AMRO,2645.0,998047,7.0,7548
2022-12-18,UY,Uruguay,AMRO,4941.0,1002988,4.0,7552
2022-12-25,UY,Uruguay,AMRO,9000.0,1011988,10.0,7562
2023-01-01,UY,Uruguay,AMRO,8173.0,1020161,8.0,7570
2023-01-08,UY,Uruguay,AMRO,5649.0,1025810,16.0,7586
2023-01-15,UY,Uruguay,AMRO,3754.0,1029564,11.0,7597
2023-01-22,UY,Uruguay,AMRO,2017.0,1031581,4.0,7601
2023-01-29,UY,Uruguay,AMRO,1129.0,1032710,8.0,7609
2023-02-05,UY,Uruguay,AMRO,555.0,1033265,5.0,7614
2023-02-12,UY,Uruguay,AMRO,501.0,1033766,3.0,7617
2023-02-19,UY,Uruguay,AMRO,280.0,1034046,0.0,7617
2023-02-26,UY,Uruguay,AMRO,257.0,1034303,0.0,7617
2023-03-05,UY,Uruguay,AMRO,0.0,1034303,0.0,7617
2023-03-12,UY,Uruguay,AMRO,743.0,1035046,2.0,7619
2023-03-19,UY,Uruguay,AMRO,0.0,1035046,0.0,7619
2023-03-26,UY,Uruguay,AMRO,1113.0,1036159,2.0,7621
2023-04-02,UY,Uruguay,AMRO,0.0,1036159,0.0,7621
2023-04-09,UY,Uruguay,AMRO,0.0,1036159,0.0,7621
2023-04-16,UY,Uruguay,AMRO,936.0,1037095,0.0,7621
2023-04-23,UY,Uruguay,AMRO,798.0,1037893,4.0,7625
2023-04-30,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-05-07,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-05-14,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-05-21,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-05-28,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-06-04,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-06-11,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-06-18,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-06-25,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-07-02,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-07-09,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-07-16,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-07-23,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-07-30,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-08-06,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-08-13,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-08-20,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-08-27,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-09-03,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-09-10,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-09-17,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-09-24,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-10-01,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-10-08,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-10-15,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-10-22,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-10-29,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-11-05,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-11-12,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-11-19,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-11-26,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-12-03,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-12-10,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-12-17,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-12-24,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2023-12-31,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-01-07,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-01-14,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-01-21,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-01-28,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-02-04,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-02-11,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-02-18,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-02-25,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-03-03,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-03-10,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-03-17,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-03-24,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-03-31,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-04-07,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-04-14,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-04-21,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
2024-04-28,UY,Uruguay,AMRO,0.0,1037893,0.0,7625
