Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,VA,Holy See,,0.0,0,0.0,0
2020-01-12,VA,Holy See,,0.0,0,0.0,0
2020-01-19,VA,Holy See,,0.0,0,0.0,0
2020-01-26,VA,Holy See,,0.0,0,0.0,0
2020-02-02,VA,Holy See,,0.0,0,0.0,0
2020-02-09,VA,Holy See,,0.0,0,0.0,0
2020-02-16,VA,Holy See,,0.0,0,0.0,0
2020-02-23,VA,Holy See,,0.0,0,0.0,0
2020-03-01,VA,Holy See,,0.0,0,0.0,0
2020-03-08,VA,Holy See,,1.0,1,0.0,0
2020-03-15,VA,Holy See,,0.0,1,0.0,0
2020-03-22,VA,Holy See,,0.0,1,0.0,0
2020-03-29,VA,Holy See,,3.0,4,0.0,0
2020-04-05,VA,Holy See,,3.0,7,0.0,0
2020-04-12,VA,Holy See,,1.0,8,0.0,0
2020-04-19,VA,Holy See,,0.0,8,0.0,0
2020-04-26,VA,Holy See,,1.0,9,0.0,0
2020-05-03,VA,Holy See,,2.0,11,0.0,0
2020-05-10,VA,Holy See,,1.0,12,0.0,0
2020-05-17,VA,Holy See,,0.0,12,0.0,0
2020-05-24,VA,Holy See,,0.0,12,0.0,0
2020-05-31,VA,Holy See,,0.0,12,0.0,0
2020-06-07,VA,Holy See,,0.0,12,0.0,0
2020-06-14,VA,Holy See,,0.0,12,0.0,0
2020-06-21,VA,Holy See,,0.0,12,0.0,0
2020-06-28,VA,Holy See,,0.0,12,0.0,0
2020-07-05,VA,Holy See,,0.0,12,0.0,0
2020-07-12,VA,Holy See,,0.0,12,0.0,0
2020-07-19,VA,Holy See,,0.0,12,0.0,0
2020-07-26,VA,Holy See,,0.0,12,0.0,0
2020-08-02,VA,Holy See,,0.0,12,0.0,0
2020-08-09,VA,Holy See,,0.0,12,0.0,0
2020-08-16,VA,Holy See,,0.0,12,0.0,0
2020-08-23,VA,Holy See,,0.0,12,0.0,0
2020-08-30,VA,Holy See,,0.0,12,0.0,0
2020-09-06,VA,Holy See,,0.0,12,0.0,0
2020-09-13,VA,Holy See,,0.0,12,0.0,0
2020-09-20,VA,Holy See,,0.0,12,0.0,0
2020-09-27,VA,Holy See,,0.0,12,0.0,0
2020-10-04,VA,Holy See,,0.0,12,0.0,0
2020-10-11,VA,Holy See,,0.0,12,0.0,0
2020-10-18,VA,Holy See,,14.0,26,0.0,0
2020-10-25,VA,Holy See,,0.0,26,0.0,0
2020-11-01,VA,Holy See,,0.0,26,0.0,0
2020-11-08,VA,Holy See,,0.0,26,0.0,0
2020-11-15,VA,Holy See,,0.0,26,0.0,0
2020-11-22,VA,Holy See,,0.0,26,0.0,0
2020-11-29,VA,Holy See,,0.0,26,0.0,0
2020-12-06,VA,Holy See,,0.0,26,0.0,0
2020-12-13,VA,Holy See,,0.0,26,0.0,0
2020-12-20,VA,Holy See,,0.0,26,0.0,0
2020-12-27,VA,Holy See,,0.0,26,0.0,0
2021-01-03,VA,Holy See,,0.0,26,0.0,0
2021-01-10,VA,Holy See,,0.0,26,0.0,0
2021-01-17,VA,Holy See,,0.0,26,0.0,0
2021-01-24,VA,Holy See,,0.0,26,0.0,0
2021-01-31,VA,Holy See,,0.0,26,0.0,0
2021-02-07,VA,Holy See,,0.0,26,0.0,0
2021-02-14,VA,Holy See,,0.0,26,0.0,0
2021-02-21,VA,Holy See,,0.0,26,0.0,0
2021-02-28,VA,Holy See,,0.0,26,0.0,0
2021-03-07,VA,Holy See,,0.0,26,0.0,0
2021-03-14,VA,Holy See,,0.0,26,0.0,0
2021-03-21,VA,Holy See,,0.0,26,0.0,0
2021-03-28,VA,Holy See,,0.0,26,0.0,0
2021-04-04,VA,Holy See,,0.0,26,0.0,0
2021-04-11,VA,Holy See,,0.0,26,0.0,0
2021-04-18,VA,Holy See,,0.0,26,0.0,0
2021-04-25,VA,Holy See,,0.0,26,0.0,0
2021-05-02,VA,Holy See,,0.0,26,0.0,0
2021-05-09,VA,Holy See,,0.0,26,0.0,0
2021-05-16,VA,Holy See,,0.0,26,0.0,0
2021-05-23,VA,Holy See,,0.0,26,0.0,0
2021-05-30,VA,Holy See,,0.0,26,0.0,0
2021-06-06,VA,Holy See,,0.0,26,0.0,0
2021-06-13,VA,Holy See,,0.0,26,0.0,0
2021-06-20,VA,Holy See,,0.0,26,0.0,0
2021-06-27,VA,Holy See,,0.0,26,0.0,0
2021-07-04,VA,Holy See,,0.0,26,0.0,0
2021-07-11,VA,Holy See,,0.0,26,0.0,0
2021-07-18,VA,Holy See,,0.0,26,0.0,0
2021-07-25,VA,Holy See,,0.0,26,0.0,0
2021-08-01,VA,Holy See,,0.0,26,0.0,0
2021-08-08,VA,Holy See,,0.0,26,0.0,0
2021-08-15,VA,Holy See,,0.0,26,0.0,0
2021-08-22,VA,Holy See,,0.0,26,0.0,0
2021-08-29,VA,Holy See,,0.0,26,0.0,0
2021-09-05,VA,Holy See,,0.0,26,0.0,0
2021-09-12,VA,Holy See,,0.0,26,0.0,0
2021-09-19,VA,Holy See,,0.0,26,0.0,0
2021-09-26,VA,Holy See,,0.0,26,0.0,0
2021-10-03,VA,Holy See,,0.0,26,0.0,0
2021-10-10,VA,Holy See,,0.0,26,0.0,0
2021-10-17,VA,Holy See,,0.0,26,0.0,0
2021-10-24,VA,Holy See,,0.0,26,0.0,0
2021-10-31,VA,Holy See,,0.0,26,0.0,0
2021-11-07,VA,Holy See,,0.0,26,0.0,0
2021-11-14,VA,Holy See,,0.0,26,0.0,0
2021-11-21,VA,Holy See,,0.0,26,0.0,0
2021-11-28,VA,Holy See,,0.0,26,0.0,0
2021-12-05,VA,Holy See,,0.0,26,0.0,0
2021-12-12,VA,Holy See,,0.0,26,0.0,0
2021-12-19,VA,Holy See,,0.0,26,0.0,0
2021-12-26,VA,Holy See,,0.0,26,0.0,0
2022-01-02,VA,Holy See,,0.0,26,0.0,0
2022-01-09,VA,Holy See,,0.0,26,0.0,0
2022-01-16,VA,Holy See,,0.0,26,0.0,0
2022-01-23,VA,Holy See,,0.0,26,0.0,0
2022-01-30,VA,Holy See,,0.0,26,0.0,0
2022-02-06,VA,Holy See,,0.0,26,0.0,0
2022-02-13,VA,Holy See,,0.0,26,0.0,0
2022-02-20,VA,Holy See,,0.0,26,0.0,0
2022-02-27,VA,Holy See,,0.0,26,0.0,0
2022-03-06,VA,Holy See,,0.0,26,0.0,0
2022-03-13,VA,Holy See,,0.0,26,0.0,0
2022-03-20,VA,Holy See,,0.0,26,0.0,0
2022-03-27,VA,Holy See,,0.0,26,0.0,0
2022-04-03,VA,Holy See,,0.0,26,0.0,0
2022-04-10,VA,Holy See,,0.0,26,0.0,0
2022-04-17,VA,Holy See,,0.0,26,0.0,0
2022-04-24,VA,Holy See,,0.0,26,0.0,0
2022-05-01,VA,Holy See,,0.0,26,0.0,0
2022-05-08,VA,Holy See,,0.0,26,0.0,0
2022-05-15,VA,Holy See,,0.0,26,0.0,0
2022-05-22,VA,Holy See,,0.0,26,0.0,0
2022-05-29,VA,Holy See,,0.0,26,0.0,0
2022-06-05,VA,Holy See,,0.0,26,0.0,0
2022-06-12,VA,Holy See,,0.0,26,0.0,0
2022-06-19,VA,Holy See,,0.0,26,0.0,0
2022-06-26,VA,Holy See,,0.0,26,0.0,0
2022-07-03,VA,Holy See,,0.0,26,0.0,0
2022-07-10,VA,Holy See,,0.0,26,0.0,0
2022-07-17,VA,Holy See,,0.0,26,0.0,0
2022-07-24,VA,Holy See,,0.0,26,0.0,0
2022-07-31,VA,Holy See,,0.0,26,0.0,0
2022-08-07,VA,Holy See,,0.0,26,0.0,0
2022-08-14,VA,Holy See,,0.0,26,0.0,0
2022-08-21,VA,Holy See,,0.0,26,0.0,0
2022-08-28,VA,Holy See,,0.0,26,0.0,0
2022-09-04,VA,Holy See,,0.0,26,0.0,0
2022-09-11,VA,Holy See,,0.0,26,0.0,0
2022-09-18,VA,Holy See,,0.0,26,0.0,0
2022-09-25,VA,Holy See,,0.0,26,0.0,0
2022-10-02,VA,Holy See,,0.0,26,0.0,0
2022-10-09,VA,Holy See,,0.0,26,0.0,0
2022-10-16,VA,Holy See,,0.0,26,0.0,0
2022-10-23,VA,Holy See,,0.0,26,0.0,0
