Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-01-12,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-01-19,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-01-26,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-02-02,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-02-09,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-02-16,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-02-23,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-03-01,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-03-08,VE,Venezuela (Bolivarian Republic of),AMRO,0.0,0,0.0,0
2020-03-15,VE,Venezuela (Bolivarian Republic of),AMRO,21.0,21,0.0,0
2020-03-22,VE,Venezuela (Bolivarian Republic of),AMRO,19.0,40,0.0,0
2020-03-29,VE,Venezuela (Bolivarian Republic of),AMRO,73.0,113,2.0,2
2020-04-05,VE,Venezuela (Bolivarian Republic of),AMRO,31.0,144,1.0,3
2020-04-12,VE,Venezuela (Bolivarian Republic of),AMRO,27.0,171,6.0,9
2020-04-19,VE,Venezuela (Bolivarian Republic of),AMRO,33.0,204,0.0,9
2020-04-26,VE,Venezuela (Bolivarian Republic of),AMRO,114.0,318,1.0,10
2020-05-03,VE,Venezuela (Bolivarian Republic of),AMRO,27.0,345,0.0,10
2020-05-10,VE,Venezuela (Bolivarian Republic of),AMRO,43.0,388,0.0,10
2020-05-17,VE,Venezuela (Bolivarian Republic of),AMRO,116.0,504,0.0,10
2020-05-24,VE,Venezuela (Bolivarian Republic of),AMRO,440.0,944,0.0,10
2020-05-31,VE,Venezuela (Bolivarian Republic of),AMRO,426.0,1370,4.0,14
2020-06-07,VE,Venezuela (Bolivarian Republic of),AMRO,775.0,2145,6.0,20
2020-06-14,VE,Venezuela (Bolivarian Republic of),AMRO,734.0,2879,3.0,23
2020-06-21,VE,Venezuela (Bolivarian Republic of),AMRO,712.0,3591,7.0,30
2020-06-28,VE,Venezuela (Bolivarian Republic of),AMRO,1188.0,4779,11.0,41
2020-07-05,VE,Venezuela (Bolivarian Republic of),AMRO,1758.0,6537,18.0,59
2020-07-12,VE,Venezuela (Bolivarian Republic of),AMRO,2266.0,8803,24.0,83
2020-07-19,VE,Venezuela (Bolivarian Republic of),AMRO,2388.0,11191,24.0,107
2020-07-26,VE,Venezuela (Bolivarian Republic of),AMRO,3072.0,14263,27.0,134
2020-08-02,VE,Venezuela (Bolivarian Republic of),AMRO,4311.0,18574,30.0,164
2020-08-09,VE,Venezuela (Bolivarian Republic of),AMRO,5592.0,24166,44.0,208
2020-08-16,VE,Venezuela (Bolivarian Republic of),AMRO,7215.0,31381,58.0,266
2020-08-23,VE,Venezuela (Bolivarian Republic of),AMRO,6807.0,38188,51.0,317
2020-08-30,VE,Venezuela (Bolivarian Republic of),AMRO,5691.0,43879,41.0,358
2020-09-06,VE,Venezuela (Bolivarian Republic of),AMRO,7094.0,50973,54.0,412
2020-09-13,VE,Venezuela (Bolivarian Republic of),AMRO,7690.0,58663,56.0,468
2020-09-20,VE,Venezuela (Bolivarian Republic of),AMRO,6511.0,65174,62.0,530
2020-09-27,VE,Venezuela (Bolivarian Republic of),AMRO,6099.0,71273,61.0,591
2020-10-04,VE,Venezuela (Bolivarian Republic of),AMRO,5547.0,76820,52.0,643
2020-10-11,VE,Venezuela (Bolivarian Republic of),AMRO,4876.0,81696,41.0,684
2020-10-18,VE,Venezuela (Bolivarian Republic of),AMRO,4062.0,85758,41.0,725
