Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,VN,Viet Nam,WPRO,0.0,0,0.0,0
2020-01-12,VN,Viet Nam,WPRO,0.0,0,0.0,0
2020-01-19,VN,Viet Nam,WPRO,0.0,0,0.0,0
2020-01-26,VN,Viet Nam,WPRO,2.0,2,0.0,0
2020-02-02,VN,Viet Nam,WPRO,4.0,6,0.0,0
2020-02-09,VN,Viet Nam,WPRO,7.0,13,0.0,0
2020-02-16,VN,Viet Nam,WPRO,3.0,16,0.0,0
2020-02-23,VN,Viet Nam,WPRO,0.0,16,0.0,0
2020-03-01,VN,Viet Nam,WPRO,0.0,16,0.0,0
2020-03-08,VN,Viet Nam,WPRO,4.0,20,0.0,0
2020-03-15,VN,Viet Nam,WPRO,33.0,53,0.0,0
2020-03-22,VN,Viet Nam,WPRO,41.0,94,0.0,0
2020-03-29,VN,Viet Nam,WPRO,80.0,174,0.0,0
2020-04-05,VN,Viet Nam,WPRO,66.0,240,0.0,0
2020-04-12,VN,Viet Nam,WPRO,18.0,258,0.0,0
2020-04-19,VN,Viet Nam,WPRO,10.0,268,0.0,0
2020-04-26,VN,Viet Nam,WPRO,2.0,270,0.0,0
2020-05-03,VN,Viet Nam,WPRO,0.0,270,0.0,0
2020-05-10,VN,Viet Nam,WPRO,18.0,288,0.0,0
2020-05-17,VN,Viet Nam,WPRO,30.0,318,0.0,0
2020-05-24,VN,Viet Nam,WPRO,7.0,325,0.0,0
2020-05-31,VN,Viet Nam,WPRO,3.0,328,0.0,0
2020-06-07,VN,Viet Nam,WPRO,1.0,329,0.0,0
2020-06-14,VN,Viet Nam,WPRO,5.0,334,0.0,0
2020-06-21,VN,Viet Nam,WPRO,15.0,349,0.0,0
2020-06-28,VN,Viet Nam,WPRO,6.0,355,0.0,0
2020-07-05,VN,Viet Nam,WPRO,0.0,355,0.0,0
2020-07-12,VN,Viet Nam,WPRO,15.0,370,0.0,0
2020-07-19,VN,Viet Nam,WPRO,12.0,382,0.0,0
2020-07-26,VN,Viet Nam,WPRO,36.0,418,0.0,0
2020-08-02,VN,Viet Nam,WPRO,172.0,590,3.0,3
2020-08-09,VN,Viet Nam,WPRO,222.0,812,7.0,10
2020-08-16,VN,Viet Nam,WPRO,139.0,951,13.0,23
2020-08-23,VN,Viet Nam,WPRO,63.0,1014,3.0,26
2020-08-30,VN,Viet Nam,WPRO,26.0,1040,6.0,32
2020-09-06,VN,Viet Nam,WPRO,9.0,1049,3.0,35
2020-09-13,VN,Viet Nam,WPRO,11.0,1060,0.0,35
2020-09-20,VN,Viet Nam,WPRO,8.0,1068,0.0,35
2020-09-27,VN,Viet Nam,WPRO,1.0,1069,0.0,35
2020-10-04,VN,Viet Nam,WPRO,27.0,1096,0.0,35
2020-10-11,VN,Viet Nam,WPRO,11.0,1107,0.0,35
2020-10-18,VN,Viet Nam,WPRO,19.0,1126,0.0,35
2020-10-25,VN,Viet Nam,WPRO,34.0,1160,0.0,35
2020-11-01,VN,Viet Nam,WPRO,20.0,1180,0.0,35
2020-11-08,VN,Viet Nam,WPRO,33.0,1213,0.0,35
2020-11-15,VN,Viet Nam,WPRO,52.0,1265,0.0,35
2020-11-22,VN,Viet Nam,WPRO,41.0,1306,0.0,35
2020-11-29,VN,Viet Nam,WPRO,35.0,1341,0.0,35
2020-12-06,VN,Viet Nam,WPRO,24.0,1365,0.0,35
2020-12-13,VN,Viet Nam,WPRO,30.0,1395,0.0,35
2020-12-20,VN,Viet Nam,WPRO,16.0,1411,0.0,35
2020-12-27,VN,Viet Nam,WPRO,29.0,1440,0.0,35
2021-01-03,VN,Viet Nam,WPRO,54.0,1494,0.0,35
2021-01-10,VN,Viet Nam,WPRO,20.0,1514,0.0,35
2021-01-17,VN,Viet Nam,WPRO,23.0,1537,0.0,35
2021-01-24,VN,Viet Nam,WPRO,11.0,1548,0.0,35
2021-01-31,VN,Viet Nam,WPRO,271.0,1819,0.0,35
2021-02-07,VN,Viet Nam,WPRO,186.0,2005,0.0,35
2021-02-14,VN,Viet Nam,WPRO,224.0,2229,0.0,35
2021-02-21,VN,Viet Nam,WPRO,154.0,2383,0.0,35
2021-02-28,VN,Viet Nam,WPRO,65.0,2448,0.0,35
2021-03-07,VN,Viet Nam,WPRO,64.0,2512,0.0,35
2021-03-14,VN,Viet Nam,WPRO,42.0,2554,0.0,35
2021-03-21,VN,Viet Nam,WPRO,18.0,2572,0.0,35
2021-03-28,VN,Viet Nam,WPRO,19.0,2591,0.0,35
2021-04-04,VN,Viet Nam,WPRO,40.0,2631,0.0,35
2021-04-11,VN,Viet Nam,WPRO,65.0,2696,0.0,35
2021-04-18,VN,Viet Nam,WPRO,89.0,2785,0.0,35
2021-04-25,VN,Viet Nam,WPRO,61.0,2846,0.0,35
2021-05-02,VN,Viet Nam,WPRO,116.0,2962,0.0,35
2021-05-09,VN,Viet Nam,WPRO,450.0,3412,0.0,35
2021-05-16,VN,Viet Nam,WPRO,800.0,4212,2.0,37
2021-05-23,VN,Viet Nam,WPRO,1063.0,5275,5.0,42
2021-05-30,VN,Viet Nam,WPRO,1893.0,7168,5.0,47
2021-06-06,VN,Viet Nam,WPRO,1623.0,8791,6.0,53
2021-06-13,VN,Viet Nam,WPRO,1839.0,10630,7.0,60
2021-06-20,VN,Viet Nam,WPRO,2628.0,13258,7.0,67
2021-06-27,VN,Viet Nam,WPRO,2482.0,15740,13.0,80
2021-07-04,VN,Viet Nam,WPRO,4521.0,20261,19.0,99
2021-07-11,VN,Viet Nam,WPRO,10217.0,30478,63.0,162
2021-07-18,VN,Viet Nam,WPRO,25367.0,55845,92.0,254
2021-07-25,VN,Viet Nam,WPRO,45328.0,101173,116.0,370
2021-08-01,VN,Viet Nam,WPRO,56334.0,157507,936.0,1306
2021-08-08,VN,Viet Nam,WPRO,58053.0,215560,2091.0,3397
2021-08-15,VN,Viet Nam,WPRO,59484.0,275044,2377.0,5774
2021-08-22,VN,Viet Nam,WPRO,73015.0,348059,2503.0,8277
2021-08-29,VN,Viet Nam,WPRO,87206.0,435265,2472.0,10749
2021-09-05,VN,Viet Nam,WPRO,89042.0,524307,2325.0,13074
2021-09-12,VN,Viet Nam,WPRO,89068.0,613375,2205.0,15279
2021-09-19,VN,Viet Nam,WPRO,73688.0,687063,1811.0,17090
2021-09-26,VN,Viet Nam,WPRO,69626.0,756689,1494.0,18584
2021-10-03,VN,Viet Nam,WPRO,51889.0,808578,1131.0,19715
2021-10-10,VN,Viet Nam,WPRO,31084.0,839662,840.0,20555
2021-10-17,VN,Viet Nam,WPRO,24391.0,864053,639.0,21194
2021-10-24,VN,Viet Nam,WPRO,24887.0,888940,479.0,21673
2021-10-31,VN,Viet Nam,WPRO,32182.0,921122,410.0,22083
2021-11-07,VN,Viet Nam,WPRO,47562.0,968684,448.0,22531
2021-11-14,VN,Viet Nam,WPRO,57838.0,1026522,551.0,23082
2021-11-21,VN,Viet Nam,WPRO,67992.0,1094514,679.0,23761
2021-11-28,VN,Viet Nam,WPRO,115826.0,1210340,1121.0,24882
2021-12-05,VN,Viet Nam,WPRO,98752.0,1309092,1378.0,26260
2021-12-12,VN,Viet Nam,WPRO,103959.0,1413051,1579.0,27839
2021-12-19,VN,Viet Nam,WPRO,127427.0,1540478,1727.0,29566
2021-12-26,VN,Viet Nam,WPRO,111195.0,1651673,1648.0,31214
2022-01-02,VN,Viet Nam,WPRO,111367.0,1763040,1617.0,32831
2022-01-09,VN,Viet Nam,WPRO,136535.0,1899575,1488.0,34319
2022-01-16,VN,Viet Nam,WPRO,123971.0,2023546,1290.0,35609
