Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-01-12,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-01-19,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-01-26,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-02-02,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-02-09,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-02-16,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-02-23,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-03-01,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-03-08,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-03-15,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-03-22,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-03-29,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-04-05,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-04-12,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-04-19,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-04-26,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-05-03,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-05-10,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-05-17,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-05-24,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-05-31,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-06-07,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-06-14,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-06-21,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-06-28,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-07-05,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-07-12,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-07-19,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-07-26,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-08-02,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-08-09,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-08-16,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-08-23,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-08-30,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-09-06,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-09-13,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-09-20,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-09-27,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-10-04,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-10-11,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-10-18,WF,Wallis and Futuna,WPRO,0.0,0,0.0,0
2020-10-25,WF,Wallis and Futuna,WPRO,1.0,1,0.0,0
2020-11-01,WF,Wallis and Futuna,WPRO,0.0,1,0.0,0
2020-11-08,WF,Wallis and Futuna,WPRO,0.0,1,0.0,0
2020-11-15,WF,Wallis and Futuna,WPRO,0.0,1,0.0,0
2020-11-22,WF,Wallis and Futuna,WPRO,1.0,2,0.0,0
2020-11-29,WF,Wallis and Futuna,WPRO,1.0,3,0.0,0
2020-12-06,WF,Wallis and Futuna,WPRO,0.0,3,0.0,0
2020-12-13,WF,Wallis and Futuna,WPRO,0.0,3,0.0,0
2020-12-20,WF,Wallis and Futuna,WPRO,1.0,4,0.0,0
2020-12-27,WF,Wallis and Futuna,WPRO,0.0,4,0.0,0
2021-01-03,WF,Wallis and Futuna,WPRO,0.0,4,0.0,0
2021-01-10,WF,Wallis and Futuna,WPRO,0.0,4,0.0,0
2021-01-17,WF,Wallis and Futuna,WPRO,0.0,4,0.0,0
2021-01-24,WF,Wallis and Futuna,WPRO,0.0,4,0.0,0
2021-01-31,WF,Wallis and Futuna,WPRO,1.0,5,0.0,0
2021-02-07,WF,Wallis and Futuna,WPRO,0.0,5,0.0,0
2021-02-14,WF,Wallis and Futuna,WPRO,4.0,9,0.0,0
2021-02-21,WF,Wallis and Futuna,WPRO,0.0,9,0.0,0
2021-02-28,WF,Wallis and Futuna,WPRO,0.0,9,0.0,0
2021-03-07,WF,Wallis and Futuna,WPRO,1.0,10,0.0,0
2021-03-14,WF,Wallis and Futuna,WPRO,166.0,176,0.0,0
2021-03-21,WF,Wallis and Futuna,WPRO,135.0,311,0.0,0
2021-03-28,WF,Wallis and Futuna,WPRO,65.0,376,0.0,0
2021-04-04,WF,Wallis and Futuna,WPRO,49.0,425,0.0,0
2021-04-11,WF,Wallis and Futuna,WPRO,16.0,441,0.0,0
2021-04-18,WF,Wallis and Futuna,WPRO,6.0,447,0.0,0
2021-04-25,WF,Wallis and Futuna,WPRO,2.0,449,0.0,0
2021-05-02,WF,Wallis and Futuna,WPRO,4.0,453,0.0,0
2021-05-09,WF,Wallis and Futuna,WPRO,0.0,453,0.0,0
2021-05-16,WF,Wallis and Futuna,WPRO,0.0,453,0.0,0
2021-05-23,WF,Wallis and Futuna,WPRO,0.0,453,0.0,0
2021-05-30,WF,Wallis and Futuna,WPRO,0.0,453,7.0,7
2021-06-06,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
2021-06-13,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
2021-06-20,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
2021-06-27,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
2021-07-04,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
2021-07-11,WF,Wallis and Futuna,WPRO,0.0,453,0.0,7
