Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,WS,Samoa,WPRO,0.0,0,0.0,0
2020-01-12,WS,Samoa,WPRO,0.0,0,0.0,0
2020-01-19,WS,Samoa,WPRO,0.0,0,0.0,0
2020-01-26,WS,Samoa,WPRO,0.0,0,0.0,0
2020-02-02,WS,Samoa,WPRO,0.0,0,0.0,0
2020-02-09,WS,Samoa,WPRO,0.0,0,0.0,0
2020-02-16,WS,Samoa,WPRO,0.0,0,0.0,0
2020-02-23,WS,Samoa,WPRO,0.0,0,0.0,0
2020-03-01,WS,Samoa,WPRO,0.0,0,0.0,0
2020-03-08,WS,Samoa,WPRO,0.0,0,0.0,0
2020-03-15,WS,Samoa,WPRO,0.0,0,0.0,0
2020-03-22,WS,Samoa,WPRO,0.0,0,0.0,0
2020-03-29,WS,Samoa,WPRO,0.0,0,0.0,0
2020-04-05,WS,Samoa,WPRO,0.0,0,0.0,0
2020-04-12,WS,Samoa,WPRO,0.0,0,0.0,0
2020-04-19,WS,Samoa,WPRO,0.0,0,0.0,0
2020-04-26,WS,Samoa,WPRO,0.0,0,0.0,0
2020-05-03,WS,Samoa,WPRO,0.0,0,0.0,0
2020-05-10,WS,Samoa,WPRO,0.0,0,0.0,0
2020-05-17,WS,Samoa,WPRO,0.0,0,0.0,0
2020-05-24,WS,Samoa,WPRO,0.0,0,0.0,0
2020-05-31,WS,Samoa,WPRO,0.0,0,0.0,0
2020-06-07,WS,Samoa,WPRO,0.0,0,0.0,0
2020-06-14,WS,Samoa,WPRO,0.0,0,0.0,0
2020-06-21,WS,Samoa,WPRO,0.0,0,0.0,0
2020-06-28,WS,Samoa,WPRO,0.0,0,0.0,0
2020-07-05,WS,Samoa,WPRO,0.0,0,0.0,0
2020-07-12,WS,Samoa,WPRO,0.0,0,0.0,0
2020-07-19,WS,Samoa,WPRO,0.0,0,0.0,0
2020-07-26,WS,Samoa,WPRO,0.0,0,0.0,0
2020-08-02,WS,Samoa,WPRO,0.0,0,0.0,0
2020-08-09,WS,Samoa,WPRO,0.0,0,0.0,0
2020-08-16,WS,Samoa,WPRO,0.0,0,0.0,0
2020-08-23,WS,Samoa,WPRO,0.0,0,0.0,0
2020-08-30,WS,Samoa,WPRO,0.0,0,0.0,0
2020-09-06,WS,Samoa,WPRO,0.0,0,0.0,0
2020-09-13,WS,Samoa,WPRO,0.0,0,0.0,0
2020-09-20,WS,Samoa,WPRO,0.0,0,0.0,0
2020-09-27,WS,Samoa,WPRO,0.0,0,0.0,0
2020-10-04,WS,Samoa,WPRO,0.0,0,0.0,0
2020-10-11,WS,Samoa,WPRO,0.0,0,0.0,0
2020-10-18,WS,Samoa,WPRO,0.0,0,0.0,0
2020-10-25,WS,Samoa,WPRO,0.0,0,0.0,0
2020-11-01,WS,Samoa,WPRO,0.0,0,0.0,0
2020-11-08,WS,Samoa,WPRO,0.0,0,0.0,0
2020-11-15,WS,Samoa,WPRO,0.0,0,0.0,0
2020-11-22,WS,Samoa,WPRO,0.0,0,0.0,0
2020-11-29,WS,Samoa,WPRO,0.0,0,0.0,0
2020-12-06,WS,Samoa,WPRO,1.0,1,0.0,0
2020-12-13,WS,Samoa,WPRO,0.0,1,0.0,0
2020-12-20,WS,Samoa,WPRO,0.0,1,0.0,0
2020-12-27,WS,Samoa,WPRO,0.0,1,0.0,0
2021-01-03,WS,Samoa,WPRO,0.0,1,0.0,0
2021-01-10,WS,Samoa,WPRO,0.0,1,0.0,0
2021-01-17,WS,Samoa,WPRO,0.0,1,0.0,0
2021-01-24,WS,Samoa,WPRO,0.0,1,0.0,0
2021-01-31,WS,Samoa,WPRO,0.0,1,0.0,0
2021-02-07,WS,Samoa,WPRO,0.0,1,0.0,0
2021-02-14,WS,Samoa,WPRO,0.0,1,0.0,0
2021-02-21,WS,Samoa,WPRO,0.0,1,0.0,0
2021-02-28,WS,Samoa,WPRO,0.0,1,0.0,0
