Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-01-12,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-01-19,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-01-26,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-02-02,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-02-09,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-02-16,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-02-23,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-03-01,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-03-08,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,0.0,0,0.0,0
2020-03-15,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2.0,2,0.0,0
2020-03-22,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,29.0,31,1.0,1
2020-03-29,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,60.0,91,0.0,1
2020-04-05,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,49.0,140,0.0,1
2020-04-12,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,143.0,283,6.0,7
2020-04-19,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,227.0,510,6.0,13
2020-04-26,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,221.0,731,3.0,16
2020-05-03,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,92.0,823,1.0,17
2020-05-10,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,47.0,870,2.0,19
2020-05-17,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,74.0,944,1.0,20
2020-05-24,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,81.0,1025,0.0,20
2020-05-31,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,39.0,1064,1.0,21
2020-06-07,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,87.0,1151,0.0,21
2020-06-14,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,286.0,1437,2.0,23
2020-06-21,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,593.0,2030,2.0,25
2020-06-28,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,517.0,2547,12.0,37
2020-07-05,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,766.0,3313,17.0,54
2020-07-12,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1359.0,4672,37.0,91
2020-07-19,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,902.0,5574,29.0,120
2020-07-26,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1300.0,6874,39.0,159
2020-08-02,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1637.0,8511,68.0,227
2020-08-09,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1505.0,10016,78.0,305
2020-08-16,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1216.0,11232,75.0,380
2020-08-23,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1062.0,12294,67.0,447
2020-08-30,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,878.0,13172,51.0,498
2020-09-06,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,812.0,13984,48.0,546
2020-09-13,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,539.0,14523,33.0,579
2020-09-20,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,436.0,14959,22.0,601
2020-09-27,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,423.0,15382,8.0,609
2020-10-04,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,333.0,15715,11.0,620
2020-10-11,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,372.0,16087,15.0,635
2020-10-18,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,624.0,16711,7.0,642
2020-10-25,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1003.0,17714,9.0,651
2020-11-01,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2085.0,19799,20.0,671
2020-11-08,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,3583.0,23382,63.0,734
2020-11-15,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,5191.0,28573,65.0,799
2020-11-22,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,4972.0,33545,95.0,894
2020-11-29,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,4843.0,38388,85.0,979
2020-12-06,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,3906.0,42294,98.0,1077
2020-12-13,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,3781.0,46075,99.0,1176
2020-12-20,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2564.0,48639,62.0,1238
2020-12-27,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1723.0,50362,57.0,1295
2021-01-03,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1326.0,51688,35.0,1330
2021-01-10,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1792.0,53480,35.0,1365
2021-01-17,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1975.0,55455,30.0,1395
2021-01-24,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2201.0,57656,45.0,1440
2021-01-31,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2235.0,59891,42.0,1482
2021-02-07,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2075.0,61966,28.0,1510
2021-02-14,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2086.0,64052,24.0,1534
2021-02-21,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,1887.0,65939,27.0,1561
2021-02-28,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,2821.0,68760,24.0,1585
2021-03-07,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,3697.0,72457,45.0,1630
2021-03-14,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,4188.0,76645,56.0,1686
2021-03-21,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,4704.0,81349,56.0,1742
2021-03-28,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,5675.0,87024,78.0,1820
2021-04-04,XK,Kosovo (in accordance with UN Security Council resolution 1244 (1999)),EURO,5908.0,92932,76.0,1896
