Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-01-12,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-01-19,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-01-26,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-02-02,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-02-09,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-02-16,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-02-23,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-03-01,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-03-08,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-03-15,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-03-22,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-03-29,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-04-05,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-04-12,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-04-19,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-04-26,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-05-03,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-05-10,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-05-17,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-05-24,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-05-31,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-06-07,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-06-14,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-06-21,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-06-28,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-07-05,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-07-12,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-07-19,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-07-26,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-08-02,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-08-09,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-08-16,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-08-23,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-08-30,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-09-06,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-09-13,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-09-20,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-09-27,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-10-04,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-10-11,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-10-18,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-10-25,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-11-01,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-11-08,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-11-15,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-11-22,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-11-29,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-12-06,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-12-13,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-12-20,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2020-12-27,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-01-03,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-01-10,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-01-17,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-01-24,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-01-31,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-02-07,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-02-14,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-02-21,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-02-28,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-03-07,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-03-14,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-03-21,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-03-28,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-04-04,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-04-11,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-04-18,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-04-25,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-05-02,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-05-09,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-05-16,XXI,Ickiribati,OTHER,0.0,0,0.0,0
2021-05-23,XXI,Ickiribati,OTHER,2.0,2,0.0,0
2021-05-30,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-06-06,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-06-13,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-06-20,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-06-27,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-07-04,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-07-11,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-07-18,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-07-25,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-08-01,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-08-08,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-08-15,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-08-22,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-08-29,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-09-05,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-09-12,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-09-19,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-09-26,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-10-03,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-10-10,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-10-17,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-10-24,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-10-31,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-11-07,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-11-14,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-11-21,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-11-28,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-12-05,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-12-12,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-12-19,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2021-12-26,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-01-02,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-01-09,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-01-16,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-01-23,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-01-30,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-02-06,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-02-13,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-02-20,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-02-27,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-03-06,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-03-13,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-03-20,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-03-27,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-04-03,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-04-10,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-04-17,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-04-24,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-05-01,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-05-08,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-05-15,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-05-22,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-05-29,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-06-05,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-06-12,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-06-19,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-06-26,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-07-03,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-07-10,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-07-17,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-07-24,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-07-31,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-08-07,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-08-14,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-08-21,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-08-28,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-09-04,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-09-11,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-09-18,XXI,Ickiribati,OTHER,0.0,2,0.0,0
2022-09-25,XXI,Ickiribati,OTHER,0.0,2,0.0,0
