Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,YE,Yemen,EMRO,0.0,0,0.0,0
2020-01-12,YE,Yemen,EMRO,0.0,0,0.0,0
2020-01-19,YE,Yemen,EMRO,0.0,0,0.0,0
2020-01-26,YE,Yemen,EMRO,0.0,0,0.0,0
2020-02-02,YE,Yemen,EMRO,0.0,0,0.0,0
2020-02-09,YE,Yemen,EMRO,0.0,0,0.0,0
2020-02-16,YE,Yemen,EMRO,0.0,0,0.0,0
2020-02-23,YE,Yemen,EMRO,0.0,0,0.0,0
2020-03-01,YE,Yemen,EMRO,0.0,0,0.0,0
2020-03-08,YE,Yemen,EMRO,0.0,0,0.0,0
2020-03-15,YE,Yemen,EMRO,0.0,0,0.0,0
2020-03-22,YE,Yemen,EMRO,0.0,0,0.0,0
2020-03-29,YE,Yemen,EMRO,0.0,0,0.0,0
2020-04-05,YE,Yemen,EMRO,0.0,0,0.0,0
2020-04-12,YE,Yemen,EMRO,1.0,1,0.0,0
2020-04-19,YE,Yemen,EMRO,0.0,1,0.0,0
2020-04-26,YE,Yemen,EMRO,0.0,1,0.0,0
2020-05-03,YE,Yemen,EMRO,9.0,10,2.0,2
2020-05-10,YE,Yemen,EMRO,24.0,34,6.0,8
2020-05-17,YE,Yemen,EMRO,88.0,122,10.0,18
2020-05-24,YE,Yemen,EMRO,90.0,212,21.0,39
2020-05-31,YE,Yemen,EMRO,98.0,310,38.0,77
2020-06-07,YE,Yemen,EMRO,172.0,482,34.0,111
2020-06-14,YE,Yemen,EMRO,223.0,705,49.0,160
2020-06-21,YE,Yemen,EMRO,217.0,922,94.0,254
2020-06-28,YE,Yemen,EMRO,181.0,1103,42.0,296
2020-07-05,YE,Yemen,EMRO,145.0,1248,41.0,337
2020-07-12,YE,Yemen,EMRO,141.0,1389,28.0,365
2020-07-19,YE,Yemen,EMRO,196.0,1585,79.0,444
2020-07-26,YE,Yemen,EMRO,93.0,1678,31.0,475
2020-08-02,YE,Yemen,EMRO,56.0,1734,20.0,495
2020-08-09,YE,Yemen,EMRO,67.0,1801,18.0,513
2020-08-16,YE,Yemen,EMRO,61.0,1862,16.0,529
2020-08-23,YE,Yemen,EMRO,49.0,1911,18.0,547
2020-08-30,YE,Yemen,EMRO,39.0,1950,17.0,564
2020-09-06,YE,Yemen,EMRO,37.0,1987,9.0,573
2020-09-13,YE,Yemen,EMRO,26.0,2013,10.0,583
2020-09-20,YE,Yemen,EMRO,17.0,2030,3.0,586
2020-09-27,YE,Yemen,EMRO,4.0,2034,2.0,588
2020-10-04,YE,Yemen,EMRO,11.0,2045,2.0,590
2020-10-11,YE,Yemen,EMRO,10.0,2055,6.0,596
2020-10-18,YE,Yemen,EMRO,4.0,2059,1.0,597
2020-10-25,YE,Yemen,EMRO,5.0,2064,3.0,600
2020-11-01,YE,Yemen,EMRO,3.0,2067,0.0,600
2020-11-08,YE,Yemen,EMRO,3.0,2070,2.0,602
2020-11-15,YE,Yemen,EMRO,2.0,2072,1.0,603
2020-11-22,YE,Yemen,EMRO,1.0,2073,2.0,605
2020-11-29,YE,Yemen,EMRO,5.0,2078,0.0,605
2020-12-06,YE,Yemen,EMRO,4.0,2082,2.0,607
2020-12-13,YE,Yemen,EMRO,5.0,2087,0.0,607
2020-12-20,YE,Yemen,EMRO,4.0,2091,0.0,607
2020-12-27,YE,Yemen,EMRO,5.0,2096,0.0,607
2021-01-03,YE,Yemen,EMRO,9.0,2105,4.0,611
2021-01-10,YE,Yemen,EMRO,3.0,2108,0.0,611
2021-01-17,YE,Yemen,EMRO,8.0,2116,2.0,613
2021-01-24,YE,Yemen,EMRO,6.0,2122,3.0,616
2021-01-31,YE,Yemen,EMRO,2.0,2124,0.0,616
2021-02-07,YE,Yemen,EMRO,7.0,2131,0.0,616
2021-02-14,YE,Yemen,EMRO,9.0,2140,1.0,617
2021-02-21,YE,Yemen,EMRO,21.0,2161,2.0,619
2021-02-28,YE,Yemen,EMRO,112.0,2273,13.0,632
2021-03-07,YE,Yemen,EMRO,175.0,2448,19.0,651
2021-03-14,YE,Yemen,EMRO,327.0,2775,33.0,684
2021-03-21,YE,Yemen,EMRO,507.0,3282,54.0,738
2021-03-28,YE,Yemen,EMRO,691.0,3973,95.0,833
2021-04-04,YE,Yemen,EMRO,728.0,4701,100.0,933
2021-04-11,YE,Yemen,EMRO,579.0,5280,99.0,1032
2021-04-18,YE,Yemen,EMRO,494.0,5774,88.0,1120
2021-04-25,YE,Yemen,EMRO,335.0,6109,56.0,1176
2021-05-02,YE,Yemen,EMRO,220.0,6329,54.0,1230
2021-05-09,YE,Yemen,EMRO,137.0,6466,41.0,1271
2021-05-16,YE,Yemen,EMRO,76.0,6542,15.0,1286
2021-05-23,YE,Yemen,EMRO,111.0,6653,19.0,1305
2021-05-30,YE,Yemen,EMRO,78.0,6731,14.0,1319
2021-06-06,YE,Yemen,EMRO,49.0,6780,6.0,1325
2021-06-13,YE,Yemen,EMRO,77.0,6857,22.0,1347
2021-06-20,YE,Yemen,EMRO,20.0,6877,6.0,1353
2021-06-27,YE,Yemen,EMRO,29.0,6906,5.0,1358
2021-07-04,YE,Yemen,EMRO,20.0,6926,3.0,1361
2021-07-11,YE,Yemen,EMRO,15.0,6941,5.0,1366
2021-07-18,YE,Yemen,EMRO,36.0,6977,2.0,1368
2021-07-25,YE,Yemen,EMRO,31.0,7008,5.0,1373
2021-08-01,YE,Yemen,EMRO,53.0,7061,2.0,1375
2021-08-08,YE,Yemen,EMRO,96.0,7157,9.0,1384
2021-08-15,YE,Yemen,EMRO,116.0,7273,17.0,1401
2021-08-22,YE,Yemen,EMRO,214.0,7487,15.0,1416
2021-08-29,YE,Yemen,EMRO,264.0,7751,34.0,1450
2021-09-05,YE,Yemen,EMRO,305.0,8056,69.0,1519
2021-09-12,YE,Yemen,EMRO,302.0,8358,50.0,1569
2021-09-19,YE,Yemen,EMRO,272.0,8630,69.0,1638
2021-09-26,YE,Yemen,EMRO,261.0,8891,44.0,1682
2021-10-03,YE,Yemen,EMRO,248.0,9139,52.0,1734
2021-10-10,YE,Yemen,EMRO,206.0,9345,41.0,1775
2021-10-17,YE,Yemen,EMRO,167.0,9512,27.0,1802
2021-10-24,YE,Yemen,EMRO,150.0,9662,36.0,1838
2021-10-31,YE,Yemen,EMRO,117.0,9779,42.0,1880
2021-11-07,YE,Yemen,EMRO,79.0,9858,27.0,1907
2021-11-14,YE,Yemen,EMRO,60.0,9918,16.0,1923
2021-11-21,YE,Yemen,EMRO,37.0,9955,15.0,1938
2021-11-28,YE,Yemen,EMRO,26.0,9981,7.0,1945
2021-12-05,YE,Yemen,EMRO,40.0,10021,8.0,1953
2021-12-12,YE,Yemen,EMRO,42.0,10063,15.0,1968
2021-12-19,YE,Yemen,EMRO,34.0,10097,8.0,1976
2021-12-26,YE,Yemen,EMRO,14.0,10111,7.0,1983
2022-01-02,YE,Yemen,EMRO,16.0,10127,1.0,1984
2022-01-09,YE,Yemen,EMRO,51.0,10178,2.0,1986
2022-01-16,YE,Yemen,EMRO,140.0,10318,2.0,1988
2022-01-23,YE,Yemen,EMRO,267.0,10585,7.0,1995
2022-01-30,YE,Yemen,EMRO,413.0,10998,12.0,2007
2022-02-06,YE,Yemen,EMRO,251.0,11249,19.0,2026
2022-02-13,YE,Yemen,EMRO,415.0,11664,76.0,2102
2022-02-20,YE,Yemen,EMRO,67.0,11731,18.0,2120
2022-02-27,YE,Yemen,EMRO,29.0,11760,13.0,2133
2022-03-06,YE,Yemen,EMRO,15.0,11775,2.0,2135
2022-03-13,YE,Yemen,EMRO,9.0,11784,4.0,2139
2022-03-20,YE,Yemen,EMRO,15.0,11799,1.0,2140
2022-03-27,YE,Yemen,EMRO,4.0,11803,2.0,2142
2022-04-03,YE,Yemen,EMRO,3.0,11806,1.0,2143
2022-04-10,YE,Yemen,EMRO,7.0,11813,4.0,2147
2022-04-17,YE,Yemen,EMRO,4.0,11817,1.0,2148
2022-04-24,YE,Yemen,EMRO,1.0,11818,0.0,2148
2022-05-01,YE,Yemen,EMRO,1.0,11819,1.0,2149
2022-05-08,YE,Yemen,EMRO,0.0,11819,0.0,2149
2022-05-15,YE,Yemen,EMRO,0.0,11819,0.0,2149
2022-05-22,YE,Yemen,EMRO,0.0,11819,0.0,2149
2022-05-29,YE,Yemen,EMRO,3.0,11822,0.0,2149
2022-06-05,YE,Yemen,EMRO,0.0,11822,0.0,2149
2022-06-12,YE,Yemen,EMRO,0.0,11822,0.0,2149
2022-06-19,YE,Yemen,EMRO,1.0,11823,0.0,2149
2022-06-26,YE,Yemen,EMRO,1.0,11824,0.0,2149
2022-07-03,YE,Yemen,EMRO,0.0,11824,0.0,2149
2022-07-10,YE,Yemen,EMRO,8.0,11832,0.0,2149
2022-07-17,YE,Yemen,EMRO,16.0,11848,0.0,2149
2022-07-24,YE,Yemen,EMRO,1.0,11849,0.0,2149
2022-07-31,YE,Yemen,EMRO,28.0,11877,2.0,2151
2022-08-07,YE,Yemen,EMRO,18.0,11895,1.0,2152
2022-08-14,YE,Yemen,EMRO,8.0,11903,0.0,2152
2022-08-21,YE,Yemen,EMRO,12.0,11915,1.0,2153
2022-08-28,YE,Yemen,EMRO,10.0,11925,2.0,2155
2022-09-04,YE,Yemen,EMRO,1.0,11926,0.0,2155
2022-09-11,YE,Yemen,EMRO,6.0,11932,0.0,2155
2022-09-18,YE,Yemen,EMRO,0.0,11932,0.0,2155
2022-09-25,YE,Yemen,EMRO,3.0,11935,2.0,2157
2022-10-02,YE,Yemen,EMRO,0.0,11935,0.0,2157
2022-10-09,YE,Yemen,EMRO,4.0,11939,1.0,2158
2022-10-16,YE,Yemen,EMRO,0.0,11939,0.0,2158
2022-10-23,YE,Yemen,EMRO,0.0,11939,0.0,2158
2022-10-30,YE,Yemen,EMRO,0.0,11939,0.0,2158
2022-11-06,YE,Yemen,EMRO,6.0,11945,1.0,2159
2022-11-13,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-11-20,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-11-27,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-12-04,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-12-11,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-12-18,YE,Yemen,EMRO,0.0,11945,0.0,2159
2022-12-25,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-01-01,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-01-08,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-01-15,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-01-22,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-01-29,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-02-05,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-02-12,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-02-19,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-02-26,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-03-05,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-03-12,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-03-19,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-03-26,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-04-02,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-04-09,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-04-16,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-04-23,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-04-30,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-05-07,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-05-14,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-05-21,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-05-28,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-06-04,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-06-11,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-06-18,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-06-25,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-07-02,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-07-09,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-07-16,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-07-23,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-07-30,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-08-06,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-08-13,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-08-20,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-08-27,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-09-03,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-09-10,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-09-17,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-09-24,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-10-01,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-10-08,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-10-15,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-10-22,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-10-29,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-11-05,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-11-12,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-11-19,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-11-26,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-12-03,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-12-10,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-12-17,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-12-24,YE,Yemen,EMRO,0.0,11945,0.0,2159
2023-12-31,YE,Yemen,EMRO,0.0,11945,0.0,2159
