Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,YT,Mayotte,,0.0,0,0.0,0
2020-01-12,YT,Mayotte,,0.0,0,0.0,0
2020-01-19,YT,Mayotte,,0.0,0,0.0,0
2020-01-26,YT,Mayotte,,0.0,0,0.0,0
2020-02-02,YT,Mayotte,,0.0,0,0.0,0
2020-02-09,YT,Mayotte,,0.0,0,0.0,0
2020-02-16,YT,Mayotte,,0.0,0,0.0,0
2020-02-23,YT,Mayotte,,0.0,0,0.0,0
2020-03-01,YT,Mayotte,,0.0,0,0.0,0
2020-03-08,YT,Mayotte,,0.0,0,0.0,0
2020-03-15,YT,Mayotte,,5.0,5,0.0,0
2020-03-22,YT,Mayotte,,6.0,11,0.0,0
2020-03-29,YT,Mayotte,,39.0,50,0.0,0
2020-04-05,YT,Mayotte,,97.0,147,2.0,2
2020-04-12,YT,Mayotte,,44.0,191,0.0,2
2020-04-19,YT,Mayotte,,54.0,245,2.0,4
2020-04-26,YT,Mayotte,,109.0,354,0.0,4
2020-05-03,YT,Mayotte,,242.0,596,2.0,6
2020-05-10,YT,Mayotte,,294.0,890,5.0,11
2020-05-17,YT,Mayotte,,368.0,1258,5.0,16
2020-05-24,YT,Mayotte,,263.0,1521,3.0,19
2020-05-31,YT,Mayotte,,222.0,1743,2.0,21
2020-06-07,YT,Mayotte,,336.0,2079,4.0,25
2020-06-14,YT,Mayotte,,203.0,2282,4.0,29
2020-06-21,YT,Mayotte,,122.0,2404,2.0,31
2020-06-28,YT,Mayotte,,136.0,2540,4.0,35
2020-07-05,YT,Mayotte,,128.0,2668,1.0,36
2020-07-12,YT,Mayotte,,43.0,2711,1.0,37
2020-07-19,YT,Mayotte,,71.0,2782,0.0,37
2020-07-26,YT,Mayotte,,91.0,2873,1.0,38
2020-08-02,YT,Mayotte,,89.0,2962,1.0,39
2020-08-09,YT,Mayotte,,106.0,3068,0.0,39
2020-08-16,YT,Mayotte,,51.0,3119,0.0,39
2020-08-23,YT,Mayotte,,118.0,3237,0.0,39
2020-08-30,YT,Mayotte,,64.0,3301,1.0,40
2020-09-06,YT,Mayotte,,73.0,3374,0.0,40
2020-09-13,YT,Mayotte,,0.0,3374,0.0,40
2020-09-20,YT,Mayotte,,167.0,3541,0.0,40
2020-09-27,YT,Mayotte,,0.0,3541,0.0,40
2020-10-04,YT,Mayotte,,238.0,3779,2.0,42
2020-10-11,YT,Mayotte,,210.0,3989,1.0,43
2020-10-18,YT,Mayotte,,41.0,4030,0.0,43
2020-10-25,YT,Mayotte,,246.0,4276,1.0,44
2020-11-01,YT,Mayotte,,90.0,4366,0.0,44
2020-11-08,YT,Mayotte,,184.0,4550,1.0,45
2020-11-15,YT,Mayotte,,371.0,4921,1.0,46
2020-11-22,YT,Mayotte,,115.0,5036,2.0,48
2020-11-29,YT,Mayotte,,145.0,5181,1.0,49
2020-12-06,YT,Mayotte,,0.0,5181,0.0,49
2020-12-13,YT,Mayotte,,370.0,5551,3.0,52
2020-12-20,YT,Mayotte,,157.0,5708,1.0,53
2020-12-27,YT,Mayotte,,59.0,5767,1.0,54
2021-01-03,YT,Mayotte,,123.0,5890,1.0,55
2021-01-10,YT,Mayotte,,342.0,6232,1.0,56
2021-01-17,YT,Mayotte,,379.0,6611,2.0,58
2021-01-24,YT,Mayotte,,933.0,7544,1.0,59
2021-01-31,YT,Mayotte,,687.0,8231,2.0,61
2021-02-07,YT,Mayotte,,2524.0,10755,3.0,64
2021-02-14,YT,Mayotte,,2780.0,13535,14.0,78
2021-02-21,YT,Mayotte,,2257.0,15792,14.0,92
2021-02-28,YT,Mayotte,,1069.0,16861,10.0,102
2021-03-07,YT,Mayotte,,1279.0,18140,23.0,125
2021-03-14,YT,Mayotte,,502.0,18642,4.0,129
2021-03-21,YT,Mayotte,,364.0,19006,22.0,151
2021-03-28,YT,Mayotte,,300.0,19306,3.0,154
