Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-01-12,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-01-19,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-01-26,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-02-02,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-02-09,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-02-16,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-02-23,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-03-01,ZA,South Africa,AFRO,0.0,0,0.0,0
2020-03-08,ZA,South Africa,AFRO,2.0,2,0.0,0
2020-03-15,ZA,South Africa,AFRO,36.0,38,0.0,0
2020-03-22,ZA,South Africa,AFRO,202.0,240,0.0,0
2020-03-29,ZA,South Africa,AFRO,947.0,1187,1.0,1
2020-04-05,ZA,South Africa,AFRO,398.0,1585,8.0,9
2020-04-12,ZA,South Africa,AFRO,443.0,2028,19.0,28
2020-04-19,ZA,South Africa,AFRO,1006.0,3034,24.0,52
2020-04-26,ZA,South Africa,AFRO,1327.0,4361,34.0,86
2020-05-03,ZA,South Africa,AFRO,1975.0,6336,37.0,123
2020-05-10,ZA,South Africa,AFRO,3084.0,9420,63.0,186
2020-05-17,ZA,South Africa,AFRO,4935.0,14355,75.0,261
2020-05-24,ZA,South Africa,AFRO,6988.0,21343,146.0,407
2020-05-31,ZA,South Africa,AFRO,9624.0,30967,236.0,643
2020-06-07,ZA,South Africa,AFRO,15006.0,45973,1012.0,1655
2020-06-14,ZA,South Africa,AFRO,19763.0,65736,792.0,2447
2020-06-21,ZA,South Africa,AFRO,26945.0,92681,1007.0,3454
2020-06-28,ZA,South Africa,AFRO,39119.0,131800,1184.0,4638
2020-07-05,ZA,South Africa,AFRO,56177.0,187977,874.0,5512
2020-07-12,ZA,South Africa,AFRO,76207.0,264184,945.0,6457
2020-07-19,ZA,South Africa,AFRO,86695.0,350879,977.0,7434
2020-07-26,ZA,South Africa,AFRO,83321.0,434200,1707.0,9141
2020-08-02,ZA,South Africa,AFRO,69090.0,503290,1498.0,10639
2020-08-09,ZA,South Africa,AFRO,49898.0,553188,2057.0,12696
2020-08-16,ZA,South Africa,AFRO,30465.0,583653,1467.0,14163
2020-08-23,ZA,South Africa,AFRO,23392.0,607045,1310.0,15473
2020-08-30,ZA,South Africa,AFRO,15506.0,622551,994.0,16467
2020-09-06,ZA,South Africa,AFRO,14333.0,636884,798.0,17265
2020-09-13,ZA,South Africa,AFRO,11330.0,648214,648.0,17913
2020-09-20,ZA,South Africa,AFRO,11442.0,659656,513.0,18426
2020-09-27,ZA,South Africa,AFRO,9842.0,669498,436.0,18862
2020-10-04,ZA,South Africa,AFRO,10218.0,679716,562.0,19424
2020-10-11,ZA,South Africa,AFRO,11180.0,690896,620.0,20044
2020-10-18,ZA,South Africa,AFRO,11235.0,702131,77.0,20121
2020-10-25,ZA,South Africa,AFRO,12115.0,714246,220.0,20341
2020-11-01,ZA,South Africa,AFRO,11206.0,725452,85.0,20426
2020-11-08,ZA,South Africa,AFRO,10454.0,735906,72.0,20498
2020-11-15,ZA,South Africa,AFRO,13276.0,749182,140.0,20638
2020-11-22,ZA,South Africa,AFRO,16227.0,765409,207.0,20845
2020-11-29,ZA,South Africa,AFRO,19730.0,785139,594.0,21439
2020-12-06,ZA,South Africa,AFRO,25310.0,810449,628.0,22067
2020-12-13,ZA,South Africa,AFRO,42516.0,852965,1039.0,23106
2020-12-20,ZA,South Africa,AFRO,59512.0,912477,1433.0,24539
2020-12-27,ZA,South Africa,AFRO,82434.0,994911,1982.0,26521
2021-01-03,ZA,South Africa,AFRO,93978.0,1088889,2654.0,29175
2021-01-10,ZA,South Africa,AFRO,125287.0,1214176,3649.0,32824
2021-01-17,ZA,South Africa,AFRO,111483.0,1325659,4027.0,36851
2021-01-24,ZA,South Africa,AFRO,79180.0,1404839,3723.0,40574
2021-01-31,ZA,South Africa,AFRO,44397.0,1449236,3377.0,43951
2021-02-07,ZA,South Africa,AFRO,24464.0,1473700,2229.0,46180
2021-02-14,ZA,South Africa,AFRO,16363.0,1490063,1641.0,47821
2021-02-21,ZA,South Africa,AFRO,12304.0,1502367,1119.0,48940
2021-02-28,ZA,South Africa,AFRO,9858.0,1512225,1001.0,49941
2021-03-07,ZA,South Africa,AFRO,7981.0,1520206,706.0,50647
2021-03-14,ZA,South Africa,AFRO,8208.0,1528414,614.0,51261
2021-03-21,ZA,South Africa,AFRO,8387.0,1536801,821.0,52082
2021-03-28,ZA,South Africa,AFRO,7665.0,1544466,566.0,52648
2021-04-04,ZA,South Africa,AFRO,7035.0,1551501,306.0,52954
2021-04-11,ZA,South Africa,AFRO,6026.0,1557527,302.0,53256
2021-04-18,ZA,South Africa,AFRO,8153.0,1565680,455.0,53711
2021-04-25,ZA,South Africa,AFRO,8690.0,1574370,414.0,54125
2021-05-02,ZA,South Africa,AFRO,8472.0,1582842,281.0,54406
2021-05-09,ZA,South Africa,AFRO,11975.0,1594817,318.0,54724
2021-05-16,ZA,South Africa,AFRO,16326.0,1611143,459.0,55183
2021-05-23,ZA,South Africa,AFRO,21428.0,1632571,589.0,55772
2021-05-30,ZA,South Africa,AFRO,26499.0,1659070,591.0,56363
2021-06-06,ZA,South Africa,AFRO,32421.0,1691491,566.0,56929
2021-06-13,ZA,South Africa,AFRO,47934.0,1739425,724.0,57653
2021-06-20,ZA,South Africa,AFRO,70739.0,1810164,937.0,58590
2021-06-27,ZA,South Africa,AFRO,103697.0,1913861,1188.0,59778
2021-07-04,ZA,South Africa,AFRO,132450.0,2046311,1729.0,61507
2021-07-11,ZA,South Africa,AFRO,132986.0,2179297,2631.0,64138
2021-07-18,ZA,South Africa,AFRO,104583.0,2283880,2538.0,66676
2021-07-25,ZA,South Africa,AFRO,84225.0,2368105,2812.0,69488
2021-08-01,ZA,South Africa,AFRO,79349.0,2447454,2525.0,72013
2021-08-08,ZA,South Africa,AFRO,76034.0,2523488,2610.0,74623
2021-08-15,ZA,South Africa,AFRO,71959.0,2595447,2246.0,76869
2021-08-22,ZA,South Africa,AFRO,84778.0,2680225,2382.0,79251
2021-08-29,ZA,South Africa,AFRO,76966.0,2757191,2210.0,81461
2021-09-05,ZA,South Africa,AFRO,56823.0,2814014,1882.0,83343
2021-09-12,ZA,South Africa,AFRO,40220.0,2854234,1408.0,84751
2021-09-19,ZA,South Africa,AFRO,26115.0,2880349,1365.0,86116
2021-09-26,ZA,South Africa,AFRO,15627.0,2895976,885.0,87001
2021-10-03,ZA,South Africa,AFRO,9637.0,2905613,752.0,87753
2021-10-10,ZA,South Africa,AFRO,5884.0,2911497,539.0,88292
2021-10-17,ZA,South Africa,AFRO,4682.0,2916179,295.0,88587
2021-10-24,ZA,South Africa,AFRO,3153.0,2919332,327.0,88914
2021-10-31,ZA,South Africa,AFRO,2554.0,2921886,249.0,89163
2021-11-07,ZA,South Africa,AFRO,1865.0,2923751,156.0,89319
2021-11-14,ZA,South Africa,AFRO,1926.0,2925677,157.0,89476
2021-11-21,ZA,South Africa,AFRO,3498.0,2929175,96.0,89572
2021-11-28,ZA,South Africa,AFRO,29373.0,2958548,219.0,89791
2021-12-05,ZA,South Africa,AFRO,62021.0,3020569,174.0,89965
2021-12-12,ZA,South Africa,AFRO,109053.0,3129622,151.0,90116
2021-12-19,ZA,South Africa,AFRO,162987.0,3292609,229.0,90345
2021-12-26,ZA,South Africa,AFRO,115328.0,3407937,428.0,90773
2022-01-02,ZA,South Africa,AFRO,60142.0,3468079,425.0,91198
2022-01-09,ZA,South Africa,AFRO,53433.0,3521512,1173.0,92371
2022-01-16,ZA,South Africa,AFRO,35121.0,3556633,907.0,93278
2022-01-23,ZA,South Africa,AFRO,22795.0,3579428,785.0,94063
2022-01-30,ZA,South Africa,AFRO,22202.0,3601630,842.0,94905
2022-02-06,ZA,South Africa,AFRO,20580.0,3622210,912.0,95817
2022-02-13,ZA,South Africa,AFRO,17952.0,3640162,1168.0,96985
2022-02-20,ZA,South Africa,AFRO,16929.0,3657091,1632.0,98617
2022-02-27,ZA,South Africa,AFRO,14900.0,3671991,574.0,99191
2022-03-06,ZA,South Africa,AFRO,11181.0,3683172,352.0,99543
2022-03-13,ZA,South Africa,AFRO,10360.0,3693532,169.0,99712
2022-03-20,ZA,South Africa,AFRO,9797.0,3703329,167.0,99879
2022-03-27,ZA,South Africa,AFRO,8934.0,3712263,86.0,99965
2022-04-03,ZA,South Africa,AFRO,9802.0,3722065,81.0,100046
2022-04-10,ZA,South Africa,AFRO,9182.0,3731247,50.0,100096
2022-04-17,ZA,South Africa,AFRO,9151.0,3740398,48.0,100144
2022-04-24,ZA,South Africa,AFRO,19291.0,3759689,154.0,100298
2022-05-01,ZA,South Africa,AFRO,32236.0,3791925,65.0,100363
2022-05-08,ZA,South Africa,AFRO,43977.0,3835902,153.0,100516
2022-05-15,ZA,South Africa,AFRO,51547.0,3887449,237.0,100753
2022-05-22,ZA,South Africa,AFRO,39203.0,3926652,178.0,100931
2022-05-29,ZA,South Africa,AFRO,25541.0,3952193,211.0,101142
2022-06-05,ZA,South Africa,AFRO,14885.0,3967078,171.0,101313
2022-06-12,ZA,South Africa,AFRO,10550.0,3977628,164.0,101477
2022-06-19,ZA,South Africa,AFRO,7978.0,3985606,121.0,101598
2022-06-26,ZA,South Africa,AFRO,6843.0,3992449,133.0,101731
2022-07-03,ZA,South Africa,AFRO,2842.0,3995291,81.0,101812
2022-07-10,ZA,South Africa,AFRO,1978.0,3997269,64.0,101876
2022-07-17,ZA,South Africa,AFRO,2482.0,3999751,42.0,101918
2022-07-24,ZA,South Africa,AFRO,2382.0,4002133,25.0,101943
2022-07-31,ZA,South Africa,AFRO,2991.0,4005124,39.0,101982
2022-08-07,ZA,South Africa,AFRO,1747.0,4006871,0.0,101982
2022-08-14,ZA,South Africa,AFRO,1293.0,4008164,0.0,101982
2022-08-21,ZA,South Africa,AFRO,1566.0,4009730,84.0,102066
2022-08-28,ZA,South Africa,AFRO,1480.0,4011210,18.0,102084
