Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,AE,United Arab Emirates,EMRO,5.0,5,0.0,0
2020-02-09,AE,United Arab Emirates,EMRO,2.0,7,0.0,0
2020-02-16,AE,United Arab Emirates,EMRO,1.0,8,0.0,0
2020-02-23,AE,United Arab Emirates,EMRO,5.0,13,0.0,0
2020-03-01,AE,United Arab Emirates,EMRO,6.0,19,0.0,0
2020-03-08,AE,United Arab Emirates,EMRO,26.0,45,0.0,0
2020-03-15,AE,United Arab Emirates,EMRO,41.0,86,0.0,0
2020-03-22,AE,United Arab Emirates,EMRO,67.0,153,2.0,2
2020-03-29,AE,United Arab Emirates,EMRO,315.0,468,0.0,2
2020-04-05,AE,United Arab Emirates,EMRO,1037.0,1505,8.0,10
2020-04-12,AE,United Arab Emirates,EMRO,2231.0,3736,10.0,20
2020-04-19,AE,United Arab Emirates,EMRO,2566.0,6302,17.0,37
2020-04-26,AE,United Arab Emirates,EMRO,3511.0,9813,34.0,71
2020-05-03,AE,United Arab Emirates,EMRO,3786.0,13599,48.0,119
2020-05-10,AE,United Arab Emirates,EMRO,3818.0,17417,66.0,185
2020-05-17,AE,United Arab Emirates,EMRO,5210.0,22627,29.0,214
2020-05-24,AE,United Arab Emirates,EMRO,6077.0,28704,30.0,244
2020-05-31,AE,United Arab Emirates,EMRO,5192.0,33896,18.0,262
2020-06-07,AE,United Arab Emirates,EMRO,4372.0,38268,13.0,275
2020-06-14,AE,United Arab Emirates,EMRO,3722.0,41990,13.0,288
2020-06-21,AE,United Arab Emirates,EMRO,2543.0,44533,13.0,301
2020-06-28,AE,United Arab Emirates,EMRO,2827.0,47360,10.0,311
2020-07-05,AE,United Arab Emirates,EMRO,3497.0,50857,10.0,321
2020-07-12,AE,United Arab Emirates,EMRO,3596.0,54453,10.0,331
2020-07-19,AE,United Arab Emirates,EMRO,2258.0,56711,7.0,338
2020-07-26,AE,United Arab Emirates,EMRO,1851.0,58562,5.0,343
2020-08-02,AE,United Arab Emirates,EMRO,2198.0,60760,8.0,351
2020-08-09,AE,United Arab Emirates,EMRO,1540.0,62300,5.0,356
2020-08-16,AE,United Arab Emirates,EMRO,1802.0,64102,5.0,361
2020-08-23,AE,United Arab Emirates,EMRO,2515.0,66617,11.0,372
2020-08-30,AE,United Arab Emirates,EMRO,2711.0,69328,7.0,379
2020-09-06,AE,United Arab Emirates,EMRO,4143.0,73471,9.0,388
2020-09-13,AE,United Arab Emirates,EMRO,5378.0,78849,11.0,399
2020-09-20,AE,United Arab Emirates,EMRO,5393.0,84242,5.0,404
