Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,AG,Antigua and Barbuda,AMRO,1.0,1,0.0,0
2020-03-22,AG,Antigua and Barbuda,AMRO,0.0,1,0.0,0
2020-03-29,AG,Antigua and Barbuda,AMRO,6.0,7,0.0,0
2020-04-05,AG,Antigua and Barbuda,AMRO,0.0,7,0.0,0
2020-04-12,AG,Antigua and Barbuda,AMRO,14.0,21,2.0,2
2020-04-19,AG,Antigua and Barbuda,AMRO,2.0,23,0.0,2
2020-04-26,AG,Antigua and Barbuda,AMRO,1.0,24,1.0,3
2020-05-03,AG,Antigua and Barbuda,AMRO,0.0,24,0.0,3
2020-05-10,AG,Antigua and Barbuda,AMRO,1.0,25,0.0,3
2020-05-17,AG,Antigua and Barbuda,AMRO,0.0,25,0.0,3
2020-05-24,AG,Antigua and Barbuda,AMRO,0.0,25,0.0,3
2020-05-31,AG,Antigua and Barbuda,AMRO,0.0,25,0.0,3
2020-06-07,AG,Antigua and Barbuda,AMRO,0.0,25,0.0,3
2020-06-14,AG,Antigua and Barbuda,AMRO,1.0,26,0.0,3
2020-06-21,AG,Antigua and Barbuda,AMRO,0.0,26,0.0,3
2020-06-28,AG,Antigua and Barbuda,AMRO,39.0,65,0.0,3
2020-07-05,AG,Antigua and Barbuda,AMRO,3.0,68,0.0,3
2020-07-12,AG,Antigua and Barbuda,AMRO,6.0,74,0.0,3
2020-07-19,AG,Antigua and Barbuda,AMRO,2.0,76,0.0,3
2020-07-26,AG,Antigua and Barbuda,AMRO,6.0,82,0.0,3
2020-08-02,AG,Antigua and Barbuda,AMRO,9.0,91,0.0,3
2020-08-09,AG,Antigua and Barbuda,AMRO,1.0,92,0.0,3
2020-08-16,AG,Antigua and Barbuda,AMRO,1.0,93,0.0,3
2020-08-23,AG,Antigua and Barbuda,AMRO,1.0,94,0.0,3
2020-08-30,AG,Antigua and Barbuda,AMRO,0.0,94,0.0,3
2020-09-06,AG,Antigua and Barbuda,AMRO,1.0,95,0.0,3
2020-09-13,AG,Antigua and Barbuda,AMRO,0.0,95,0.0,3
2020-09-20,AG,Antigua and Barbuda,AMRO,0.0,95,0.0,3
2020-09-27,AG,Antigua and Barbuda,AMRO,3.0,98,0.0,3
2020-10-04,AG,Antigua and Barbuda,AMRO,8.0,106,0.0,3
2020-10-11,AG,Antigua and Barbuda,AMRO,5.0,111,0.0,3
2020-10-18,AG,Antigua and Barbuda,AMRO,2.0,113,0.0,3
2020-10-25,AG,Antigua and Barbuda,AMRO,9.0,122,0.0,3
2020-11-01,AG,Antigua and Barbuda,AMRO,5.0,127,0.0,3
2020-11-08,AG,Antigua and Barbuda,AMRO,3.0,130,0.0,3
2020-11-15,AG,Antigua and Barbuda,AMRO,3.0,133,1.0,4
2020-11-22,AG,Antigua and Barbuda,AMRO,6.0,139,0.0,4
2020-11-29,AG,Antigua and Barbuda,AMRO,2.0,141,0.0,4
2020-12-06,AG,Antigua and Barbuda,AMRO,3.0,144,0.0,4
2020-12-13,AG,Antigua and Barbuda,AMRO,3.0,147,0.0,4
2020-12-20,AG,Antigua and Barbuda,AMRO,5.0,152,1.0,5
