Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,AI,Anguilla,AMRO,2.0,2,0.0,0
2020-04-05,AI,Anguilla,AMRO,1.0,3,0.0,0
2020-04-12,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-04-19,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-04-26,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-05-03,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-05-10,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-05-17,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-05-24,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-05-31,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-06-07,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-06-14,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-06-21,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-06-28,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-07-05,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-07-12,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-07-19,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-07-26,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-08-02,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-08-09,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-08-16,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-08-23,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-08-30,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-09-06,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-09-13,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-09-20,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-09-27,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-10-04,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-10-11,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-10-18,AI,Anguilla,AMRO,0.0,3,0.0,0
2020-10-25,AI,Anguilla,AMRO,0.0,3,0.0,0
