Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,AL,Albania,EURO,33.0,33,1.0,1
2020-03-22,AL,Albania,EURO,37.0,70,1.0,2
2020-03-29,AL,Albania,EURO,116.0,186,6.0,8
2020-04-05,AL,Albania,EURO,118.0,304,9.0,17
2020-04-12,AL,Albania,EURO,112.0,416,6.0,23
2020-04-19,AL,Albania,EURO,123.0,539,3.0,26
2020-04-26,AL,Albania,EURO,139.0,678,1.0,27
2020-05-03,AL,Albania,EURO,104.0,782,4.0,31
2020-05-10,AL,Albania,EURO,68.0,850,0.0,31
2020-05-17,AL,Albania,EURO,66.0,916,0.0,31
2020-05-24,AL,Albania,EURO,65.0,981,0.0,31
2020-05-31,AL,Albania,EURO,118.0,1099,2.0,33
2020-06-07,AL,Albania,EURO,113.0,1212,0.0,33
2020-06-14,AL,Albania,EURO,204.0,1416,3.0,36
2020-06-21,AL,Albania,EURO,422.0,1838,6.0,42
2020-06-28,AL,Albania,EURO,431.0,2269,9.0,51
2020-07-05,AL,Albania,EURO,483.0,2752,21.0,72
2020-07-12,AL,Albania,EURO,526.0,3278,13.0,85
2020-07-19,AL,Albania,EURO,628.0,3906,22.0,107
2020-07-26,AL,Albania,EURO,664.0,4570,21.0,128
2020-08-02,AL,Albania,EURO,706.0,5276,29.0,157
2020-08-09,AL,Albania,EURO,875.0,6151,32.0,189
2020-08-16,AL,Albania,EURO,966.0,7117,30.0,219
2020-08-23,AL,Albania,EURO,1002.0,8119,21.0,240
2020-08-30,AL,Albania,EURO,1076.0,9195,31.0,271
2020-09-06,AL,Albania,EURO,772.0,9967,35.0,306
2020-09-13,AL,Albania,EURO,1054.0,11021,21.0,327
2020-09-20,AL,Albania,EURO,1052.0,12073,26.0,353
2020-09-27,AL,Albania,EURO,972.0,13045,20.0,373
2020-10-04,AL,Albania,EURO,920.0,13965,16.0,389
2020-10-11,AL,Albania,EURO,1101.0,15066,24.0,413
2020-10-18,AL,Albania,EURO,1435.0,16501,30.0,443
2020-10-25,AL,Albania,EURO,2055.0,18556,26.0,469
2020-11-01,AL,Albania,EURO,2078.0,20634,33.0,502
2020-11-08,AL,Albania,EURO,2576.0,23210,47.0,549
2020-11-15,AL,Albania,EURO,3491.0,26701,56.0,605
2020-11-22,AL,Albania,EURO,4758.0,31459,67.0,672
2020-11-29,AL,Albania,EURO,4786.0,36245,99.0,771
2020-12-06,AL,Albania,EURO,5057.0,41302,99.0,870
2020-12-13,AL,Albania,EURO,5561.0,46863,107.0,977
2020-12-20,AL,Albania,EURO,5141.0,52004,89.0,1066
2020-12-27,AL,Albania,EURO,3376.0,55380,68.0,1134
2021-01-03,AL,Albania,EURO,3343.0,58723,52.0,1186
2021-01-10,AL,Albania,EURO,3655.0,62378,44.0,1230
2021-01-17,AL,Albania,EURO,4257.0,66635,35.0,1265
2021-01-24,AL,Albania,EURO,4020.0,70655,38.0,1303
2021-01-31,AL,Albania,EURO,5695.0,76350,55.0,1358
2021-02-07,AL,Albania,EURO,6732.0,83082,75.0,1433
2021-02-14,AL,Albania,EURO,7753.0,90835,98.0,1531
2021-02-21,AL,Albania,EURO,7074.0,97909,105.0,1636
2021-02-28,AL,Albania,EURO,7320.0,105229,120.0,1756
2021-03-07,AL,Albania,EURO,6072.0,111301,141.0,1897
2021-03-14,AL,Albania,EURO,4822.0,116123,121.0,2018
2021-03-21,AL,Albania,EURO,3899.0,120022,104.0,2122
2021-03-28,AL,Albania,EURO,3194.0,123216,70.0,2192
2021-04-04,AL,Albania,EURO,2626.0,125842,55.0,2247
2021-04-11,AL,Albania,EURO,1953.0,127795,57.0,2304
2021-04-18,AL,Albania,EURO,1512.0,129307,33.0,2337
2021-04-25,AL,Albania,EURO,963.0,130270,30.0,2367
2021-05-02,AL,Albania,EURO,815.0,131085,27.0,2394
2021-05-09,AL,Albania,EURO,492.0,131577,14.0,2408
2021-05-16,AL,Albania,EURO,362.0,131939,19.0,2427
2021-05-23,AL,Albania,EURO,214.0,132153,14.0,2441
2021-05-30,AL,Albania,EURO,132.0,132285,7.0,2448
