Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,AM,Armenia,EURO,1.0,1,0.0,0
2020-03-15,AM,Armenia,EURO,19.0,20,0.0,0
2020-03-22,AM,Armenia,EURO,170.0,190,0.0,0
2020-03-29,AM,Armenia,EURO,234.0,424,1.0,1
2020-04-05,AM,Armenia,EURO,398.0,822,6.0,7
2020-04-12,AM,Armenia,EURO,191.0,1013,6.0,13
2020-04-19,AM,Armenia,EURO,278.0,1291,7.0,20
2020-04-26,AM,Armenia,EURO,455.0,1746,8.0,28
2020-05-03,AM,Armenia,EURO,640.0,2386,7.0,35
2020-05-10,AM,Armenia,EURO,927.0,3313,10.0,45
2020-05-17,AM,Armenia,EURO,1159.0,4472,15.0,60
2020-05-24,AM,Armenia,EURO,2189.0,6661,21.0,81
2020-05-31,AM,Armenia,EURO,2621.0,9282,50.0,131
2020-06-07,AM,Armenia,EURO,3848.0,13130,69.0,200
2020-06-14,AM,Armenia,EURO,3537.0,16667,69.0,269
2020-06-21,AM,Armenia,EURO,3601.0,20268,81.0,350
2020-06-28,AM,Armenia,EURO,4377.0,24645,76.0,426
2020-07-05,AM,Armenia,EURO,3961.0,28606,58.0,484
2020-07-12,AM,Armenia,EURO,3363.0,31969,81.0,565
2020-07-19,AM,Armenia,EURO,2908.0,34877,76.0,641
2020-07-26,AM,Armenia,EURO,2440.0,37317,64.0,705
2020-08-02,AM,Armenia,EURO,1733.0,39050,49.0,754
2020-08-09,AM,Armenia,EURO,1360.0,40410,37.0,791
2020-08-16,AM,Armenia,EURO,1253.0,41663,27.0,818
2020-08-23,AM,Armenia,EURO,1129.0,42792,34.0,852
2020-08-30,AM,Armenia,EURO,958.0,43750,25.0,877
2020-09-06,AM,Armenia,EURO,1033.0,44783,20.0,897
2020-09-13,AM,Armenia,EURO,1079.0,45862,19.0,916
2020-09-20,AM,Armenia,EURO,1569.0,47431,14.0,930
2020-09-27,AM,Armenia,EURO,1969.0,49400,21.0,951
2020-10-04,AM,Armenia,EURO,3096.0,52496,26.0,977
2020-10-11,AM,Armenia,EURO,3955.0,56451,43.0,1020
2020-10-18,AM,Armenia,EURO,8243.0,64694,61.0,1081
2020-10-25,AM,Armenia,EURO,13143.0,77837,99.0,1180
2020-11-01,AM,Armenia,EURO,14417.0,92254,183.0,1363
2020-11-08,AM,Armenia,EURO,14170.0,106424,196.0,1559
2020-11-15,AM,Armenia,EURO,10913.0,117337,204.0,1763
2020-11-22,AM,Armenia,EURO,8887.0,126224,189.0,1952
2020-11-29,AM,Armenia,EURO,8544.0,134768,190.0,2142
2020-12-06,AM,Armenia,EURO,7169.0,141937,184.0,2326
2020-12-13,AM,Armenia,EURO,6388.0,148325,160.0,2486
2020-12-20,AM,Armenia,EURO,5500.0,153825,144.0,2630
2020-12-27,AM,Armenia,EURO,4009.0,157834,138.0,2768
2021-01-03,AM,Armenia,EURO,2193.0,160027,82.0,2850
2021-01-10,AM,Armenia,EURO,2104.0,162131,79.0,2929
2021-01-17,AM,Armenia,EURO,2455.0,164586,63.0,2992
2021-01-24,AM,Armenia,EURO,1450.0,166036,47.0,3039
2021-01-31,AM,Armenia,EURO,990.0,167026,41.0,3080
2021-02-07,AM,Armenia,EURO,1062.0,168088,37.0,3117
2021-02-14,AM,Armenia,EURO,1079.0,169167,24.0,3141
2021-02-21,AM,Armenia,EURO,1235.0,170402,23.0,3164
2021-02-28,AM,Armenia,EURO,1656.0,172058,28.0,3192
2021-03-07,AM,Armenia,EURO,2621.0,174679,29.0,3221
2021-03-14,AM,Armenia,EURO,3706.0,178385,34.0,3255
2021-03-21,AM,Armenia,EURO,5328.0,183713,93.0,3348
2021-03-28,AM,Armenia,EURO,6604.0,190317,116.0,3464
2021-04-04,AM,Armenia,EURO,6317.0,196634,128.0,3592
2021-04-11,AM,Armenia,EURO,6183.0,202817,143.0,3735
2021-04-18,AM,Armenia,EURO,5703.0,208520,143.0,3878
2021-04-25,AM,Armenia,EURO,4768.0,213288,140.0,4018
2021-05-02,AM,Armenia,EURO,3575.0,216863,121.0,4139
2021-05-09,AM,Armenia,EURO,2407.0,219270,95.0,4234
2021-05-16,AM,Armenia,EURO,1590.0,220860,89.0,4323
2021-05-23,AM,Armenia,EURO,1088.0,221948,69.0,4392
2021-05-30,AM,Armenia,EURO,688.0,222636,40.0,4432
2021-06-06,AM,Armenia,EURO,544.0,223180,26.0,4458
2021-06-13,AM,Armenia,EURO,502.0,223682,26.0,4484
2021-06-20,AM,Armenia,EURO,545.0,224227,14.0,4498
2021-06-27,AM,Armenia,EURO,570.0,224797,10.0,4508
2021-07-04,AM,Armenia,EURO,756.0,225553,18.0,4526
2021-07-11,AM,Armenia,EURO,835.0,226388,18.0,4544
2021-07-18,AM,Armenia,EURO,1042.0,227430,22.0,4566
2021-07-25,AM,Armenia,EURO,1368.0,228798,21.0,4587
2021-08-01,AM,Armenia,EURO,1541.0,230339,32.0,4619
2021-08-08,AM,Armenia,EURO,1818.0,232157,31.0,4650
2021-08-15,AM,Armenia,EURO,2401.0,234558,45.0,4695
2021-08-22,AM,Armenia,EURO,3076.0,237634,57.0,4752
2021-08-29,AM,Armenia,EURO,3702.0,241336,71.0,4823
2021-09-05,AM,Armenia,EURO,3689.0,245025,88.0,4911
2021-09-12,AM,Armenia,EURO,3825.0,248850,91.0,5002
2021-09-19,AM,Armenia,EURO,4750.0,253600,129.0,5131
