Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-05,AO,Angola,AFRO,10.0,10,0.0,0
2020-04-12,AO,Angola,AFRO,9.0,19,0.0,0
2020-04-19,AO,Angola,AFRO,5.0,24,0.0,0
2020-04-26,AO,Angola,AFRO,1.0,25,0.0,0
2020-05-03,AO,Angola,AFRO,10.0,35,0.0,0
2020-05-10,AO,Angola,AFRO,8.0,43,0.0,0
2020-05-17,AO,Angola,AFRO,5.0,48,0.0,0
2020-05-24,AO,Angola,AFRO,13.0,61,3.0,3
2020-05-31,AO,Angola,AFRO,23.0,84,1.0,4
2020-06-07,AO,Angola,AFRO,4.0,88,0.0,4
2020-06-14,AO,Angola,AFRO,50.0,138,2.0,6
2020-06-21,AO,Angola,AFRO,34.0,172,2.0,8
2020-06-28,AO,Angola,AFRO,87.0,259,2.0,10
2020-07-05,AO,Angola,AFRO,87.0,346,9.0,19
2020-07-12,AO,Angola,AFRO,137.0,483,6.0,25
2020-07-19,AO,Angola,AFRO,204.0,687,4.0,29
2020-07-26,AO,Angola,AFRO,229.0,916,10.0,39
2020-08-02,AO,Angola,AFRO,248.0,1164,15.0,54
2020-08-09,AO,Angola,AFRO,408.0,1572,16.0,70
2020-08-16,AO,Angola,AFRO,307.0,1879,16.0,86
2020-08-23,AO,Angola,AFRO,255.0,2134,8.0,94
2020-08-30,AO,Angola,AFRO,417.0,2551,13.0,107
2020-09-06,AO,Angola,AFRO,384.0,2935,10.0,117
2020-09-13,AO,Angola,AFRO,400.0,3335,15.0,132
2020-09-20,AO,Angola,AFRO,566.0,3901,15.0,147
2020-09-27,AO,Angola,AFRO,771.0,4672,22.0,169
2020-10-04,AO,Angola,AFRO,698.0,5370,19.0,188
2020-10-11,AO,Angola,AFRO,876.0,6246,33.0,221
2020-10-18,AO,Angola,AFRO,1216.0,7462,23.0,244
2020-10-25,AO,Angola,AFRO,1564.0,9026,26.0,270
2020-11-01,AO,Angola,AFRO,1779.0,10805,17.0,287
2020-11-08,AO,Angola,AFRO,1530.0,12335,16.0,303
2020-11-15,AO,Angola,AFRO,1039.0,13374,19.0,322
2020-11-22,AO,Angola,AFRO,1039.0,14413,14.0,336
2020-11-29,AO,Angola,AFRO,674.0,15087,9.0,345
2020-12-06,AO,Angola,AFRO,449.0,15536,9.0,354
2020-12-13,AO,Angola,AFRO,625.0,16161,12.0,366
2020-12-20,AO,Angola,AFRO,465.0,16626,20.0,386
2020-12-27,AO,Angola,AFRO,523.0,17149,14.0,400
2021-01-03,AO,Angola,AFRO,459.0,17608,7.0,407
2021-01-10,AO,Angola,AFRO,548.0,18156,9.0,416
2021-01-17,AO,Angola,AFRO,609.0,18765,15.0,431
2021-01-24,AO,Angola,AFRO,602.0,19367,26.0,457
2021-01-31,AO,Angola,AFRO,415.0,19782,7.0,464
2021-02-07,AO,Angola,AFRO,280.0,20062,11.0,475
2021-02-14,AO,Angola,AFRO,267.0,20329,16.0,491
2021-02-21,AO,Angola,AFRO,170.0,20499,7.0,498
2021-02-28,AO,Angola,AFRO,283.0,20782,8.0,506
2021-03-07,AO,Angola,AFRO,273.0,21055,6.0,512
2021-03-14,AO,Angola,AFRO,268.0,21323,8.0,520
2021-03-21,AO,Angola,AFRO,373.0,21696,6.0,526
2021-03-28,AO,Angola,AFRO,335.0,22031,7.0,533
2021-04-04,AO,Angola,AFRO,548.0,22579,7.0,540
2021-04-11,AO,Angola,AFRO,752.0,23331,10.0,550
2021-04-18,AO,Angola,AFRO,969.0,24300,11.0,561
2021-04-25,AO,Angola,AFRO,1192.0,25492,16.0,577
2021-05-02,AO,Angola,AFRO,1323.0,26815,23.0,600
2021-05-09,AO,Angola,AFRO,1662.0,28477,30.0,630
2021-05-16,AO,Angola,AFRO,1877.0,30354,25.0,655
2021-05-23,AO,Angola,AFRO,1795.0,32149,60.0,715
2021-05-30,AO,Angola,AFRO,2031.0,34180,42.0,757
2021-06-06,AO,Angola,AFRO,1414.0,35594,37.0,794
2021-06-13,AO,Angola,AFRO,1006.0,36600,31.0,825
2021-06-20,AO,Angola,AFRO,1004.0,37604,31.0,856
2021-06-27,AO,Angola,AFRO,924.0,38528,31.0,887
2021-07-04,AO,Angola,AFRO,644.0,39172,23.0,910
2021-07-11,AO,Angola,AFRO,709.0,39881,19.0,929
2021-07-18,AO,Angola,AFRO,826.0,40707,25.0,954
2021-07-25,AO,Angola,AFRO,1029.0,41736,28.0,982
2021-08-01,AO,Angola,AFRO,1041.0,42777,29.0,1011
2021-08-08,AO,Angola,AFRO,815.0,43592,33.0,1044
2021-08-15,AO,Angola,AFRO,941.0,44533,42.0,1086
2021-08-22,AO,Angola,AFRO,1284.0,45817,54.0,1140
2021-08-29,AO,Angola,AFRO,1262.0,47079,52.0,1192
2021-09-05,AO,Angola,AFRO,1396.0,48475,66.0,1258
2021-09-12,AO,Angola,AFRO,1873.0,50348,69.0,1327
2021-09-19,AO,Angola,AFRO,1959.0,52307,61.0,1388
2021-09-26,AO,Angola,AFRO,2488.0,54795,99.0,1487
2021-10-03,AO,Angola,AFRO,3808.0,58603,87.0,1574
2021-10-10,AO,Angola,AFRO,2642.0,61245,44.0,1618
2021-10-17,AO,Angola,AFRO,1544.0,62789,44.0,1662
2021-10-24,AO,Angola,AFRO,986.0,63775,33.0,1695
2021-10-31,AO,Angola,AFRO,599.0,64374,13.0,1708
2021-11-07,AO,Angola,AFRO,280.0,64654,11.0,1719
2021-11-14,AO,Angola,AFRO,245.0,64899,8.0,1727
2021-11-21,AO,Angola,AFRO,112.0,65011,3.0,1730
2021-11-28,AO,Angola,AFRO,128.0,65139,3.0,1733
2021-12-05,AO,Angola,AFRO,105.0,65244,2.0,1735
2021-12-12,AO,Angola,AFRO,153.0,65397,2.0,1737
2021-12-19,AO,Angola,AFRO,471.0,65868,1.0,1738
2021-12-26,AO,Angola,AFRO,5274.0,71142,8.0,1746
2022-01-02,AO,Angola,AFRO,11256.0,82398,26.0,1772
2022-01-09,AO,Angola,AFRO,6377.0,88775,37.0,1809
2022-01-16,AO,Angola,AFRO,4749.0,93524,48.0,1857
2022-01-23,AO,Angola,AFRO,2378.0,95902,29.0,1886
2022-01-30,AO,Angola,AFRO,2155.0,98057,8.0,1894
2022-02-06,AO,Angola,AFRO,294.0,98351,2.0,1896
2022-02-13,AO,Angola,AFRO,163.0,98514,2.0,1898
2022-02-20,AO,Angola,AFRO,103.0,98617,1.0,1899
2022-02-27,AO,Angola,AFRO,84.0,98701,0.0,1899
2022-03-06,AO,Angola,AFRO,101.0,98802,1.0,1900
2022-03-13,AO,Angola,AFRO,107.0,98909,0.0,1900
2022-03-20,AO,Angola,AFRO,101.0,99010,0.0,1900
2022-03-27,AO,Angola,AFRO,96.0,99106,0.0,1900
2022-04-03,AO,Angola,AFRO,88.0,99194,0.0,1900
2022-04-10,AO,Angola,AFRO,0.0,99194,0.0,1900
2022-04-17,AO,Angola,AFRO,93.0,99287,0.0,1900
2022-04-24,AO,Angola,AFRO,31.0,99318,0.0,1900
2022-05-01,AO,Angola,AFRO,5.0,99323,0.0,1900
2022-05-08,AO,Angola,AFRO,90.0,99413,0.0,1900
