Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,AR,Argentina,AMRO,22.0,22,1.0,1
2020-03-15,AR,Argentina,AMRO,109.0,131,8.0,9
2020-03-22,AR,Argentina,AMRO,405.0,536,11.0,20
2020-03-29,AR,Argentina,AMRO,746.0,1282,50.0,70
2020-04-05,AR,Argentina,AMRO,791.0,2073,61.0,131
2020-04-12,AR,Argentina,AMRO,917.0,2990,74.0,205
2020-04-19,AR,Argentina,AMRO,1076.0,4066,74.0,279
2020-04-26,AR,Argentina,AMRO,1398.0,5464,132.0,411
2020-05-03,AR,Argentina,AMRO,1289.0,6753,115.0,526
2020-05-10,AR,Argentina,AMRO,1897.0,8650,120.0,646
2020-05-17,AR,Argentina,AMRO,2910.0,11560,144.0,790
2020-05-24,AR,Argentina,AMRO,5061.0,16621,219.0,1009
2020-05-31,AR,Argentina,AMRO,5785.0,22406,297.0,1306
2020-06-07,AR,Argentina,AMRO,7297.0,29703,358.0,1664
2020-06-14,AR,Argentina,AMRO,10685.0,40388,458.0,2122
2020-06-21,AR,Argentina,AMRO,14050.0,54438,602.0,2724
2020-06-28,AR,Argentina,AMRO,19007.0,73445,776.0,3500
2020-07-05,AR,Argentina,AMRO,20195.0,93640,903.0,4403
2020-07-12,AR,Argentina,AMRO,24971.0,118611,1153.0,5556
2020-07-19,AR,Argentina,AMRO,31572.0,150183,1374.0,6930
2020-07-26,AR,Argentina,AMRO,39247.0,189430,1544.0,8474
2020-08-02,AR,Argentina,AMRO,41965.0,231395,1456.0,9930
2020-08-09,AR,Argentina,AMRO,51641.0,283036,1762.0,11692
2020-08-16,AR,Argentina,AMRO,48677.0,331713,1662.0,13354
2020-08-23,AR,Argentina,AMRO,51183.0,382896,1877.0,15231
2020-08-30,AR,Argentina,AMRO,68979.0,451875,2260.0,17491
2020-09-06,AR,Argentina,AMRO,72320.0,524195,2324.0,19815
2020-09-13,AR,Argentina,AMRO,78158.0,602353,2446.0,22261
2020-09-20,AR,Argentina,AMRO,75330.0,677683,2340.0,24601
2020-09-27,AR,Argentina,AMRO,81712.0,759395,2456.0,27057
2020-10-04,AR,Argentina,AMRO,87054.0,846449,2523.0,29580
2020-10-11,AR,Argentina,AMRO,96217.0,942666,2602.0,32182
2020-10-18,AR,Argentina,AMRO,95982.0,1038648,2449.0,34631
2020-10-25,AR,Argentina,AMRO,97588.0,1136236,2348.0,36979
2020-11-01,AR,Argentina,AMRO,81504.0,1217740,1854.0,38833
2020-11-08,AR,Argentina,AMRO,70725.0,1288465,1683.0,40516
2020-11-15,AR,Argentina,AMRO,67129.0,1355594,1452.0,41968
2020-11-22,AR,Argentina,AMRO,57887.0,1413481,1170.0,43138
2020-11-29,AR,Argentina,AMRO,48034.0,1461515,943.0,44081
2020-12-06,AR,Argentina,AMRO,42762.0,1504277,862.0,44943
2020-12-13,AR,Argentina,AMRO,35314.0,1539591,795.0,45738
