Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-09-19,AS,American Samoa,WPRO,1.0,1,0.0,0
2021-09-26,AS,American Samoa,WPRO,0.0,1,0.0,0
2021-10-03,AS,American Samoa,WPRO,0.0,1,0.0,0
2021-10-10,AS,American Samoa,WPRO,2.0,3,0.0,0
2021-10-17,AS,American Samoa,WPRO,0.0,3,0.0,0
2021-10-24,AS,American Samoa,WPRO,1.0,4,0.0,0
2021-10-31,AS,American Samoa,WPRO,0.0,4,0.0,0
2021-11-07,AS,American Samoa,WPRO,0.0,4,0.0,0
2021-11-14,AS,American Samoa,WPRO,1.0,5,0.0,0
2021-11-21,AS,American Samoa,WPRO,0.0,5,0.0,0
2021-11-28,AS,American Samoa,WPRO,0.0,5,0.0,0
2021-12-05,AS,American Samoa,WPRO,5.0,10,0.0,0
2021-12-12,AS,American Samoa,WPRO,1.0,11,0.0,0
2021-12-19,AS,American Samoa,WPRO,0.0,11,0.0,0
2021-12-26,AS,American Samoa,WPRO,0.0,11,0.0,0
2022-01-02,AS,American Samoa,WPRO,0.0,11,0.0,0
2022-01-09,AS,American Samoa,WPRO,7.0,18,0.0,0
2022-01-16,AS,American Samoa,WPRO,0.0,18,0.0,0
2022-01-23,AS,American Samoa,WPRO,0.0,18,0.0,0
2022-01-30,AS,American Samoa,WPRO,0.0,18,0.0,0
2022-02-06,AS,American Samoa,WPRO,31.0,49,0.0,0
2022-02-13,AS,American Samoa,WPRO,8.0,57,0.0,0
2022-02-20,AS,American Samoa,WPRO,0.0,57,0.0,0
2022-02-27,AS,American Samoa,WPRO,27.0,84,0.0,0
2022-03-06,AS,American Samoa,WPRO,208.0,292,0.0,0
2022-03-13,AS,American Samoa,WPRO,263.0,555,0.0,0
2022-03-20,AS,American Samoa,WPRO,842.0,1397,0.0,0
2022-03-27,AS,American Samoa,WPRO,1881.0,3278,2.0,2
2022-04-03,AS,American Samoa,WPRO,1378.0,4656,5.0,7
2022-04-10,AS,American Samoa,WPRO,746.0,5402,4.0,11
2022-04-17,AS,American Samoa,WPRO,133.0,5535,7.0,18
2022-04-24,AS,American Samoa,WPRO,230.0,5765,5.0,23
2022-05-01,AS,American Samoa,WPRO,92.0,5857,3.0,26
2022-05-08,AS,American Samoa,WPRO,98.0,5955,3.0,29
2022-05-15,AS,American Samoa,WPRO,63.0,6018,1.0,30
2022-05-22,AS,American Samoa,WPRO,65.0,6083,0.0,30
2022-05-29,AS,American Samoa,WPRO,62.0,6145,1.0,31
2022-06-05,AS,American Samoa,WPRO,124.0,6269,0.0,31
2022-06-12,AS,American Samoa,WPRO,73.0,6342,0.0,31
2022-06-19,AS,American Samoa,WPRO,72.0,6414,0.0,31
2022-06-26,AS,American Samoa,WPRO,91.0,6505,0.0,31
2022-07-03,AS,American Samoa,WPRO,0.0,6505,0.0,31
2022-07-10,AS,American Samoa,WPRO,0.0,6505,0.0,31
2022-07-17,AS,American Samoa,WPRO,963.0,7468,2.0,33
2022-07-24,AS,American Samoa,WPRO,0.0,7468,0.0,33
2022-07-31,AS,American Samoa,WPRO,298.0,7766,0.0,33
2022-08-07,AS,American Samoa,WPRO,186.0,7952,0.0,33
2022-08-14,AS,American Samoa,WPRO,90.0,8042,0.0,33
2022-08-21,AS,American Samoa,WPRO,0.0,8042,0.0,33
2022-08-28,AS,American Samoa,WPRO,126.0,8168,1.0,34
2022-09-04,AS,American Samoa,WPRO,0.0,8168,0.0,34
2022-09-11,AS,American Samoa,WPRO,49.0,8217,0.0,34
2022-09-18,AS,American Samoa,WPRO,18.0,8235,0.0,34
2022-09-25,AS,American Samoa,WPRO,12.0,8247,0.0,34
2022-10-02,AS,American Samoa,WPRO,3.0,8250,0.0,34
2022-10-09,AS,American Samoa,WPRO,0.0,8250,0.0,34
2022-10-16,AS,American Samoa,WPRO,1.0,8251,0.0,34
2022-10-23,AS,American Samoa,WPRO,2.0,8253,0.0,34
2022-10-30,AS,American Samoa,WPRO,4.0,8257,0.0,34
2022-11-06,AS,American Samoa,WPRO,0.0,8257,0.0,34
2022-11-13,AS,American Samoa,WPRO,5.0,8262,0.0,34
2022-11-20,AS,American Samoa,WPRO,1.0,8263,0.0,34
2022-11-27,AS,American Samoa,WPRO,1.0,8264,0.0,34
2022-12-04,AS,American Samoa,WPRO,0.0,8264,0.0,34
2022-12-11,AS,American Samoa,WPRO,1.0,8265,0.0,34
2022-12-18,AS,American Samoa,WPRO,1.0,8266,0.0,34
2022-12-25,AS,American Samoa,WPRO,0.0,8266,0.0,34
2023-01-01,AS,American Samoa,WPRO,19.0,8285,0.0,34
2023-01-08,AS,American Samoa,WPRO,17.0,8302,0.0,34
2023-01-15,AS,American Samoa,WPRO,7.0,8309,0.0,34
2023-01-22,AS,American Samoa,WPRO,8.0,8317,0.0,34
2023-01-29,AS,American Samoa,WPRO,3.0,8320,0.0,34
