Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,AT,Austria,EURO,7.0,7,0.0,0
2020-03-08,AT,Austria,EURO,68.0,75,0.0,0
2020-03-15,AT,Austria,EURO,513.0,588,1.0,1
2020-03-22,AT,Austria,EURO,544.0,1132,14.0,15
2020-03-29,AT,Austria,EURO,3814.0,4946,51.0,66
2020-04-05,AT,Austria,EURO,3753.0,8699,103.0,169
2020-04-12,AT,Austria,EURO,1942.0,10641,151.0,320
2020-04-19,AT,Austria,EURO,889.0,11530,111.0,431
2020-04-26,AT,Austria,EURO,450.0,11980,85.0,516
2020-05-03,AT,Austria,EURO,366.0,12346,60.0,576
2020-05-10,AT,Austria,EURO,259.0,12605,33.0,609
2020-05-17,AT,Austria,EURO,329.0,12934,20.0,629
2020-05-24,AT,Austria,EURO,249.0,13183,17.0,646
2020-05-31,AT,Austria,EURO,213.0,13396,12.0,658
2020-06-07,AT,Austria,EURO,208.0,13604,16.0,674
2020-06-14,AT,Austria,EURO,188.0,13792,12.0,686
2020-06-21,AT,Austria,EURO,227.0,14019,17.0,703
2020-06-28,AT,Austria,EURO,288.0,14307,16.0,719
2020-07-05,AT,Austria,EURO,565.0,14872,11.0,730
2020-07-12,AT,Austria,EURO,636.0,15508,5.0,735
2020-07-19,AT,Austria,EURO,758.0,16266,9.0,744
2020-07-26,AT,Austria,EURO,827.0,17093,10.0,754
2020-08-02,AT,Austria,EURO,876.0,17969,13.0,767
2020-08-09,AT,Austria,EURO,676.0,18645,13.0,780
2020-08-16,AT,Austria,EURO,1310.0,19955,11.0,791
2020-08-23,AT,Austria,EURO,1812.0,21767,11.0,802
2020-08-30,AT,Austria,EURO,1904.0,23671,10.0,812
2020-09-06,AT,Austria,EURO,2141.0,25812,13.0,825
2020-09-13,AT,Austria,EURO,3750.0,29562,13.0,838
2020-09-20,AT,Austria,EURO,4906.0,34468,20.0,858
2020-09-27,AT,Austria,EURO,4661.0,39129,31.0,889
2020-10-04,AT,Austria,EURO,5291.0,44420,36.0,925
2020-10-11,AT,Austria,EURO,7102.0,51522,63.0,988
2020-10-18,AT,Austria,EURO,9059.0,60581,62.0,1050
2020-10-25,AT,Austria,EURO,15533.0,76114,112.0,1162
2020-11-01,AT,Austria,EURO,27818.0,103932,214.0,1376
2020-11-08,AT,Austria,EURO,42962.0,146894,353.0,1729
2020-11-15,AT,Austria,EURO,49191.0,196085,571.0,2300
2020-11-22,AT,Austria,EURO,42797.0,238882,727.0,3027
2020-11-29,AT,Austria,EURO,32574.0,271456,822.0,3849
2020-12-06,AT,Austria,EURO,24249.0,295705,957.0,4806
2020-12-13,AT,Austria,EURO,18476.0,314181,871.0,5677
2020-12-20,AT,Austria,EURO,17130.0,331311,729.0,6406
2020-12-27,AT,Austria,EURO,13421.0,344732,643.0,7049
2021-01-03,AT,Austria,EURO,14212.0,358944,550.0,7599
2021-01-10,AT,Austria,EURO,15104.0,374048,453.0,8052
2021-01-17,AT,Austria,EURO,11470.0,385518,438.0,8490
2021-01-24,AT,Austria,EURO,10528.0,396046,401.0,8891
2021-01-31,AT,Austria,EURO,9512.0,405558,387.0,9278
2021-02-07,AT,Austria,EURO,9181.0,414739,321.0,9599
2021-02-14,AT,Austria,EURO,9273.0,424012,268.0,9867
2021-02-21,AT,Austria,EURO,11105.0,435117,217.0,10084
2021-02-28,AT,Austria,EURO,13481.0,448598,225.0,10309
2021-03-07,AT,Austria,EURO,15679.0,464277,196.0,10505
2021-03-14,AT,Austria,EURO,17980.0,482257,208.0,10713
2021-03-21,AT,Austria,EURO,20380.0,502637,243.0,10956
2021-03-28,AT,Austria,EURO,21544.0,524181,219.0,11175
2021-04-04,AT,Austria,EURO,21501.0,545682,249.0,11424
2021-04-11,AT,Austria,EURO,18730.0,564412,264.0,11688
2021-04-18,AT,Austria,EURO,16783.0,581195,250.0,11938
2021-04-25,AT,Austria,EURO,15655.0,596850,221.0,12159
2021-05-02,AT,Austria,EURO,13512.0,610362,178.0,12337
2021-05-09,AT,Austria,EURO,9651.0,620013,180.0,12517
2021-05-16,AT,Austria,EURO,6321.0,626334,117.0,12634
2021-05-23,AT,Austria,EURO,4502.0,630836,80.0,12714
2021-05-30,AT,Austria,EURO,3299.0,634135,75.0,12789
2021-06-06,AT,Austria,EURO,2499.0,636634,55.0,12844
2021-06-13,AT,Austria,EURO,2011.0,638645,39.0,12883
2021-06-20,AT,Austria,EURO,1088.0,639733,31.0,12914
2021-06-27,AT,Austria,EURO,765.0,640498,26.0,12940
2021-07-04,AT,Austria,EURO,630.0,641128,22.0,12962
2021-07-11,AT,Austria,EURO,895.0,642023,16.0,12978
2021-07-18,AT,Austria,EURO,1940.0,643963,14.0,12992
2021-07-25,AT,Austria,EURO,2481.0,646444,13.0,13005
2021-08-01,AT,Austria,EURO,3134.0,649578,13.0,13018
2021-08-08,AT,Austria,EURO,3433.0,653011,23.0,13041
2021-08-15,AT,Austria,EURO,5269.0,658280,13.0,13054
2021-08-22,AT,Austria,EURO,7609.0,665889,14.0,13068
2021-08-29,AT,Austria,EURO,9095.0,674984,27.0,13095
2021-09-05,AT,Austria,EURO,10736.0,685720,38.0,13133
2021-09-12,AT,Austria,EURO,13822.0,699542,59.0,13192
2021-09-19,AT,Austria,EURO,14233.0,713775,68.0,13260
2021-09-26,AT,Austria,EURO,11737.0,725512,78.0,13338
2021-10-03,AT,Austria,EURO,12441.0,737953,77.0,13415
2021-10-10,AT,Austria,EURO,12820.0,750773,77.0,13492
2021-10-17,AT,Austria,EURO,14078.0,764851,88.0,13580
2021-10-24,AT,Austria,EURO,21646.0,786497,111.0,13691
2021-10-31,AT,Austria,EURO,30465.0,816962,137.0,13828
2021-11-07,AT,Austria,EURO,50720.0,867682,192.0,14020
2021-11-14,AT,Austria,EURO,72220.0,939902,287.0,14307
2021-11-21,AT,Austria,EURO,93928.0,1033830,386.0,14693
2021-11-28,AT,Austria,EURO,90679.0,1124509,467.0,15160
2021-12-05,AT,Austria,EURO,58797.0,1183306,483.0,15643
2021-12-12,AT,Austria,EURO,32187.0,1215493,443.0,16086
2021-12-19,AT,Austria,EURO,21481.0,1236974,303.0,16389
2021-12-26,AT,Austria,EURO,15114.0,1252088,198.0,16587
2022-01-02,AT,Austria,EURO,19925.0,1272013,154.0,16741
2022-01-09,AT,Austria,EURO,47142.0,1319155,89.0,16830
2022-01-16,AT,Austria,EURO,101269.0,1420424,72.0,16902
2022-01-23,AT,Austria,EURO,158635.0,1579059,71.0,16973
2022-01-30,AT,Austria,EURO,220484.0,1799543,106.0,17079
2022-02-06,AT,Austria,EURO,231714.0,2031257,127.0,17206
2022-02-13,AT,Austria,EURO,223088.0,2254345,170.0,17376
2022-02-20,AT,Austria,EURO,200933.0,2455278,201.0,17577
2022-02-27,AT,Austria,EURO,185138.0,2640416,213.0,17790
2022-03-06,AT,Austria,EURO,206248.0,2846664,228.0,18018
2022-03-13,AT,Austria,EURO,281597.0,3128261,192.0,18210
2022-03-20,AT,Austria,EURO,319108.0,3447369,226.0,18436
2022-03-27,AT,Austria,EURO,270232.0,3717601,288.0,18724
2022-04-03,AT,Austria,EURO,172589.0,3890190,289.0,19013
2022-04-10,AT,Austria,EURO,103990.0,3994180,226.0,19239
2022-04-17,AT,Austria,EURO,68173.0,4062353,179.0,19418
2022-04-24,AT,Austria,EURO,52197.0,4114550,138.0,19556
2022-05-01,AT,Austria,EURO,41690.0,4156240,100.0,19656
2022-05-08,AT,Austria,EURO,37988.0,4194228,76.0,19732
2022-05-15,AT,Austria,EURO,31290.0,4225518,61.0,19793
2022-05-22,AT,Austria,EURO,22565.0,4248083,34.0,19827
2022-05-29,AT,Austria,EURO,15151.0,4263234,39.0,19866
2022-06-05,AT,Austria,EURO,18678.0,4281912,21.0,19887
2022-06-12,AT,Austria,EURO,23968.0,4305880,22.0,19909
2022-06-19,AT,Austria,EURO,35416.0,4341296,28.0,19937
