Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,AW,Aruba,AMRO,5.0,5,0.0,0
2020-03-29,AW,Aruba,AMRO,41.0,46,0.0,0
2020-04-05,AW,Aruba,AMRO,18.0,64,0.0,0
2020-04-12,AW,Aruba,AMRO,28.0,92,0.0,0
2020-04-19,AW,Aruba,AMRO,4.0,96,2.0,2
2020-04-26,AW,Aruba,AMRO,4.0,100,0.0,2
2020-05-03,AW,Aruba,AMRO,0.0,100,0.0,2
2020-05-10,AW,Aruba,AMRO,1.0,101,1.0,3
2020-05-17,AW,Aruba,AMRO,0.0,101,0.0,3
2020-05-24,AW,Aruba,AMRO,0.0,101,0.0,3
2020-05-31,AW,Aruba,AMRO,0.0,101,0.0,3
2020-06-07,AW,Aruba,AMRO,0.0,101,0.0,3
2020-06-14,AW,Aruba,AMRO,0.0,101,0.0,3
2020-06-21,AW,Aruba,AMRO,0.0,101,0.0,3
2020-06-28,AW,Aruba,AMRO,0.0,101,0.0,3
2020-07-05,AW,Aruba,AMRO,3.0,104,0.0,3
2020-07-12,AW,Aruba,AMRO,1.0,105,0.0,3
2020-07-19,AW,Aruba,AMRO,3.0,108,0.0,3
2020-07-26,AW,Aruba,AMRO,9.0,117,0.0,3
2020-08-02,AW,Aruba,AMRO,3.0,120,0.0,3
2020-08-09,AW,Aruba,AMRO,143.0,263,0.0,3
2020-08-16,AW,Aruba,AMRO,631.0,894,1.0,4
2020-08-23,AW,Aruba,AMRO,493.0,1387,2.0,6
2020-08-30,AW,Aruba,AMRO,461.0,1848,2.0,8
2020-09-06,AW,Aruba,AMRO,444.0,2292,5.0,13
2020-09-13,AW,Aruba,AMRO,527.0,2819,3.0,16
2020-09-20,AW,Aruba,AMRO,563.0,3382,7.0,23
2020-09-27,AW,Aruba,AMRO,374.0,3756,2.0,25
2020-10-04,AW,Aruba,AMRO,242.0,3998,2.0,27
2020-10-11,AW,Aruba,AMRO,152.0,4150,4.0,31
2020-10-18,AW,Aruba,AMRO,135.0,4285,1.0,32
2020-10-25,AW,Aruba,AMRO,104.0,4389,4.0,36
2020-11-01,AW,Aruba,AMRO,83.0,4472,1.0,37
2020-11-08,AW,Aruba,AMRO,92.0,4564,2.0,39
2020-11-15,AW,Aruba,AMRO,75.0,4639,4.0,43
2020-11-22,AW,Aruba,AMRO,54.0,4693,2.0,45
2020-11-29,AW,Aruba,AMRO,98.0,4791,0.0,45
2020-12-06,AW,Aruba,AMRO,132.0,4923,0.0,45
2020-12-13,AW,Aruba,AMRO,88.0,5011,1.0,46
2020-12-20,AW,Aruba,AMRO,113.0,5124,1.0,47
2020-12-27,AW,Aruba,AMRO,104.0,5228,0.0,47
2021-01-03,AW,Aruba,AMRO,214.0,5442,2.0,49
2021-01-10,AW,Aruba,AMRO,441.0,5883,1.0,50
2021-01-17,AW,Aruba,AMRO,413.0,6296,2.0,52
2021-01-24,AW,Aruba,AMRO,327.0,6623,0.0,52
2021-01-31,AW,Aruba,AMRO,235.0,6858,6.0,58
2021-02-07,AW,Aruba,AMRO,276.0,7134,3.0,61
2021-02-14,AW,Aruba,AMRO,204.0,7338,7.0,68
2021-02-21,AW,Aruba,AMRO,215.0,7553,2.0,70
2021-02-28,AW,Aruba,AMRO,251.0,7804,1.0,71
2021-03-07,AW,Aruba,AMRO,205.0,8009,4.0,75
2021-03-14,AW,Aruba,AMRO,263.0,8272,2.0,77
2021-03-21,AW,Aruba,AMRO,352.0,8624,4.0,81
2021-03-28,AW,Aruba,AMRO,449.0,9073,1.0,82
2021-04-04,AW,Aruba,AMRO,430.0,9503,4.0,86
2021-04-11,AW,Aruba,AMRO,393.0,9896,6.0,92
2021-04-18,AW,Aruba,AMRO,323.0,10219,0.0,92
2021-04-25,AW,Aruba,AMRO,250.0,10469,3.0,95
2021-05-02,AW,Aruba,AMRO,139.0,10608,3.0,98
2021-05-09,AW,Aruba,AMRO,129.0,10737,2.0,100
2021-05-16,AW,Aruba,AMRO,89.0,10826,4.0,104
2021-05-23,AW,Aruba,AMRO,66.0,10892,2.0,106
2021-05-30,AW,Aruba,AMRO,65.0,10957,1.0,107
2021-06-06,AW,Aruba,AMRO,61.0,11018,0.0,107
2021-06-13,AW,Aruba,AMRO,51.0,11069,0.0,107
2021-06-20,AW,Aruba,AMRO,30.0,11099,0.0,107
2021-06-27,AW,Aruba,AMRO,26.0,11125,0.0,107
2021-07-04,AW,Aruba,AMRO,15.0,11140,0.0,107
2021-07-11,AW,Aruba,AMRO,21.0,11161,0.0,107
2021-07-18,AW,Aruba,AMRO,37.0,11198,1.0,108
2021-07-25,AW,Aruba,AMRO,94.0,11292,1.0,109
2021-08-01,AW,Aruba,AMRO,292.0,11584,0.0,109
2021-08-08,AW,Aruba,AMRO,544.0,12128,2.0,111
2021-08-15,AW,Aruba,AMRO,801.0,12929,4.0,115
2021-08-22,AW,Aruba,AMRO,790.0,13719,9.0,124
2021-08-29,AW,Aruba,AMRO,599.0,14318,9.0,133
2021-09-05,AW,Aruba,AMRO,401.0,14719,15.0,148
2021-09-12,AW,Aruba,AMRO,272.0,14991,6.0,154
2021-09-19,AW,Aruba,AMRO,186.0,15177,2.0,156
2021-09-26,AW,Aruba,AMRO,174.0,15351,4.0,160
2021-10-03,AW,Aruba,AMRO,149.0,15500,6.0,166
2021-10-10,AW,Aruba,AMRO,87.0,15587,3.0,169
2021-10-17,AW,Aruba,AMRO,105.0,15692,1.0,170
2021-10-24,AW,Aruba,AMRO,87.0,15779,1.0,171
2021-10-31,AW,Aruba,AMRO,103.0,15882,0.0,171
2021-11-07,AW,Aruba,AMRO,67.0,15949,0.0,171
2021-11-14,AW,Aruba,AMRO,108.0,16057,1.0,172
2021-11-21,AW,Aruba,AMRO,92.0,16149,1.0,173
2021-11-28,AW,Aruba,AMRO,114.0,16263,1.0,174
2021-12-05,AW,Aruba,AMRO,129.0,16392,0.0,174
2021-12-12,AW,Aruba,AMRO,139.0,16531,2.0,176
2021-12-19,AW,Aruba,AMRO,185.0,16716,2.0,178
2021-12-26,AW,Aruba,AMRO,449.0,17165,3.0,181
2022-01-02,AW,Aruba,AMRO,2554.0,19719,0.0,181
2022-01-09,AW,Aruba,AMRO,5535.0,25254,0.0,181
2022-01-16,AW,Aruba,AMRO,4440.0,29694,3.0,184
2022-01-23,AW,Aruba,AMRO,2141.0,31835,3.0,187
2022-01-30,AW,Aruba,AMRO,883.0,32718,6.0,193
2022-02-06,AW,Aruba,AMRO,482.0,33200,1.0,194
2022-02-13,AW,Aruba,AMRO,236.0,33436,2.0,196
