Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,BB,Barbados,AMRO,5.0,5,0.0,0
2020-03-29,BB,Barbados,AMRO,19.0,24,0.0,0
2020-04-05,BB,Barbados,AMRO,27.0,51,0.0,0
2020-04-12,BB,Barbados,AMRO,16.0,67,4.0,4
2020-04-19,BB,Barbados,AMRO,8.0,75,1.0,5
2020-04-26,BB,Barbados,AMRO,2.0,77,1.0,6
2020-05-03,BB,Barbados,AMRO,4.0,81,1.0,7
2020-05-10,BB,Barbados,AMRO,1.0,82,0.0,7
2020-05-17,BB,Barbados,AMRO,3.0,85,0.0,7
2020-05-24,BB,Barbados,AMRO,5.0,90,0.0,7
2020-05-31,BB,Barbados,AMRO,2.0,92,0.0,7
2020-06-07,BB,Barbados,AMRO,0.0,92,0.0,7
2020-06-14,BB,Barbados,AMRO,4.0,96,0.0,7
2020-06-21,BB,Barbados,AMRO,1.0,97,0.0,7
2020-06-28,BB,Barbados,AMRO,0.0,97,0.0,7
2020-07-05,BB,Barbados,AMRO,0.0,97,0.0,7
2020-07-12,BB,Barbados,AMRO,1.0,98,0.0,7
2020-07-19,BB,Barbados,AMRO,6.0,104,0.0,7
2020-07-26,BB,Barbados,AMRO,4.0,108,0.0,7
2020-08-02,BB,Barbados,AMRO,2.0,110,0.0,7
2020-08-09,BB,Barbados,AMRO,28.0,138,0.0,7
2020-08-16,BB,Barbados,AMRO,10.0,148,0.0,7
2020-08-23,BB,Barbados,AMRO,9.0,157,0.0,7
2020-08-30,BB,Barbados,AMRO,9.0,166,0.0,7
2020-09-06,BB,Barbados,AMRO,12.0,178,0.0,7
2020-09-13,BB,Barbados,AMRO,2.0,180,0.0,7
2020-09-20,BB,Barbados,AMRO,5.0,185,0.0,7
2020-09-27,BB,Barbados,AMRO,5.0,190,0.0,7
2020-10-04,BB,Barbados,AMRO,6.0,196,0.0,7
2020-10-11,BB,Barbados,AMRO,9.0,205,0.0,7
2020-10-18,BB,Barbados,AMRO,14.0,219,0.0,7
2020-10-25,BB,Barbados,AMRO,8.0,227,0.0,7
2020-11-01,BB,Barbados,AMRO,9.0,236,0.0,7
2020-11-08,BB,Barbados,AMRO,6.0,242,0.0,7
2020-11-15,BB,Barbados,AMRO,7.0,249,0.0,7
2020-11-22,BB,Barbados,AMRO,4.0,253,0.0,7
2020-11-29,BB,Barbados,AMRO,17.0,270,0.0,7
2020-12-06,BB,Barbados,AMRO,15.0,285,0.0,7
2020-12-13,BB,Barbados,AMRO,7.0,292,0.0,7
2020-12-20,BB,Barbados,AMRO,15.0,307,0.0,7
2020-12-27,BB,Barbados,AMRO,40.0,347,0.0,7
2021-01-03,BB,Barbados,AMRO,48.0,395,0.0,7
2021-01-10,BB,Barbados,AMRO,413.0,808,0.0,7
2021-01-17,BB,Barbados,AMRO,228.0,1036,0.0,7
2021-01-24,BB,Barbados,AMRO,305.0,1341,2.0,9
2021-01-31,BB,Barbados,AMRO,157.0,1498,3.0,12
2021-02-07,BB,Barbados,AMRO,178.0,1676,6.0,18
2021-02-14,BB,Barbados,AMRO,271.0,1947,5.0,23
2021-02-21,BB,Barbados,AMRO,730.0,2677,7.0,30
2021-02-28,BB,Barbados,AMRO,317.0,2994,3.0,33
2021-03-07,BB,Barbados,AMRO,223.0,3217,4.0,37
2021-03-14,BB,Barbados,AMRO,174.0,3391,0.0,37
2021-03-21,BB,Barbados,AMRO,121.0,3512,2.0,39
2021-03-28,BB,Barbados,AMRO,91.0,3603,2.0,41
2021-04-04,BB,Barbados,AMRO,62.0,3665,1.0,42
2021-04-11,BB,Barbados,AMRO,43.0,3708,2.0,44
2021-04-18,BB,Barbados,AMRO,65.0,3773,0.0,44
2021-04-25,BB,Barbados,AMRO,47.0,3820,0.0,44
2021-05-02,BB,Barbados,AMRO,43.0,3863,0.0,44
2021-05-09,BB,Barbados,AMRO,68.0,3931,1.0,45
2021-05-16,BB,Barbados,AMRO,30.0,3961,1.0,46
2021-05-23,BB,Barbados,AMRO,24.0,3985,1.0,47
2021-05-30,BB,Barbados,AMRO,24.0,4009,0.0,47
2021-06-06,BB,Barbados,AMRO,20.0,4029,0.0,47
2021-06-13,BB,Barbados,AMRO,4.0,4033,0.0,47
2021-06-20,BB,Barbados,AMRO,7.0,4040,0.0,47
2021-06-27,BB,Barbados,AMRO,26.0,4066,0.0,47
2021-07-04,BB,Barbados,AMRO,16.0,4082,0.0,47
2021-07-11,BB,Barbados,AMRO,54.0,4136,0.0,47
2021-07-18,BB,Barbados,AMRO,105.0,4241,1.0,48
2021-07-25,BB,Barbados,AMRO,89.0,4330,0.0,48
2021-08-01,BB,Barbados,AMRO,49.0,4379,0.0,48
2021-08-08,BB,Barbados,AMRO,76.0,4455,0.0,48
2021-08-15,BB,Barbados,AMRO,60.0,4515,0.0,48
2021-08-22,BB,Barbados,AMRO,113.0,4628,0.0,48
2021-08-29,BB,Barbados,AMRO,161.0,4789,0.0,48
2021-09-05,BB,Barbados,AMRO,394.0,5183,3.0,51
2021-09-12,BB,Barbados,AMRO,576.0,5759,0.0,51
2021-09-19,BB,Barbados,AMRO,599.0,6358,6.0,57
2021-09-26,BB,Barbados,AMRO,1043.0,7401,6.0,63
2021-10-03,BB,Barbados,AMRO,1208.0,8609,15.0,78
2021-10-10,BB,Barbados,AMRO,1774.0,10383,10.0,88
2021-10-17,BB,Barbados,AMRO,1722.0,12105,20.0,108
2021-10-24,BB,Barbados,AMRO,2648.0,14753,16.0,124
2021-10-31,BB,Barbados,AMRO,2712.0,17465,28.0,152
2021-11-07,BB,Barbados,AMRO,2051.0,19516,18.0,170
2021-11-14,BB,Barbados,AMRO,2361.0,21877,21.0,191
2021-11-21,BB,Barbados,AMRO,1549.0,23426,15.0,206
2021-11-28,BB,Barbados,AMRO,1497.0,24923,17.0,223
2021-12-05,BB,Barbados,AMRO,1041.0,25964,11.0,234
2021-12-12,BB,Barbados,AMRO,776.0,26740,17.0,251
2021-12-19,BB,Barbados,AMRO,429.0,27169,5.0,256
2021-12-26,BB,Barbados,AMRO,460.0,27629,4.0,260
2022-01-02,BB,Barbados,AMRO,1181.0,28810,2.0,262
2022-01-09,BB,Barbados,AMRO,2194.0,31004,3.0,265
2022-01-16,BB,Barbados,AMRO,3687.0,34691,4.0,269
2022-01-23,BB,Barbados,AMRO,3895.0,38586,5.0,274
2022-01-30,BB,Barbados,AMRO,4265.0,42851,3.0,277
2022-02-06,BB,Barbados,AMRO,4273.0,47124,9.0,286
2022-02-13,BB,Barbados,AMRO,3756.0,50880,5.0,291
2022-02-20,BB,Barbados,AMRO,2628.0,53508,17.0,308
2022-02-27,BB,Barbados,AMRO,1394.0,54902,5.0,313
2022-03-06,BB,Barbados,AMRO,961.0,55863,3.0,316
2022-03-13,BB,Barbados,AMRO,942.0,56805,7.0,323
2022-03-20,BB,Barbados,AMRO,743.0,57548,3.0,326
2022-03-27,BB,Barbados,AMRO,722.0,58270,4.0,330
2022-04-03,BB,Barbados,AMRO,1225.0,59495,45.0,375
2022-04-10,BB,Barbados,AMRO,1772.0,61267,4.0,379
2022-04-17,BB,Barbados,AMRO,2910.0,64177,2.0,381
2022-04-24,BB,Barbados,AMRO,2633.0,66810,7.0,388
2022-05-01,BB,Barbados,AMRO,2752.0,69562,4.0,392
2022-05-08,BB,Barbados,AMRO,3181.0,72743,11.0,403
2022-05-15,BB,Barbados,AMRO,3102.0,75845,29.0,432
2022-05-22,BB,Barbados,AMRO,2603.0,78448,4.0,436
2022-05-29,BB,Barbados,AMRO,1590.0,80038,8.0,444
2022-06-05,BB,Barbados,AMRO,1136.0,81174,18.0,462
2022-06-12,BB,Barbados,AMRO,897.0,82071,5.0,467
2022-06-19,BB,Barbados,AMRO,659.0,82730,4.0,471
2022-06-26,BB,Barbados,AMRO,794.0,83524,2.0,473
2022-07-03,BB,Barbados,AMRO,1038.0,84562,4.0,477
2022-07-10,BB,Barbados,AMRO,1117.0,85679,1.0,478
2022-07-17,BB,Barbados,AMRO,1784.0,87463,1.0,479
2022-07-24,BB,Barbados,AMRO,1876.0,89339,3.0,482
2022-07-31,BB,Barbados,AMRO,2254.0,91593,10.0,492
2022-08-07,BB,Barbados,AMRO,2500.0,94093,6.0,498
2022-08-14,BB,Barbados,AMRO,3011.0,97104,17.0,515
2022-08-21,BB,Barbados,AMRO,2100.0,99204,14.0,529
2022-08-28,BB,Barbados,AMRO,1322.0,100526,8.0,537
2022-09-04,BB,Barbados,AMRO,689.0,101215,7.0,544
2022-09-11,BB,Barbados,AMRO,594.0,101809,12.0,556
2022-09-18,BB,Barbados,AMRO,351.0,102160,3.0,559
