Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-09,BE,Belgium,EURO,1.0,1,0.0,0
2020-02-16,BE,Belgium,EURO,0.0,1,0.0,0
2020-02-23,BE,Belgium,EURO,0.0,1,0.0,0
2020-03-01,BE,Belgium,EURO,0.0,1,0.0,0
2020-03-08,BE,Belgium,EURO,315.0,316,0.0,0
2020-03-15,BE,Belgium,EURO,1046.0,1362,9.0,9
2020-03-22,BE,Belgium,EURO,3111.0,4473,140.0,149
2020-03-29,BE,Belgium,EURO,7558.0,12031,602.0,751
2020-04-05,BE,Belgium,EURO,9634.0,21665,1357.0,2108
2020-04-12,BE,Belgium,EURO,11209.0,32874,1938.0,4046
2020-04-19,BE,Belgium,EURO,8351.0,41225,1820.0,5866
2020-04-26,BE,Belgium,EURO,6275.0,47500,1285.0,7151
2020-05-03,BE,Belgium,EURO,3262.0,50762,830.0,7981
2020-05-10,BE,Belgium,EURO,3119.0,53881,571.0,8552
2020-05-17,BE,Belgium,EURO,2201.0,56082,414.0,8966
2020-05-24,BE,Belgium,EURO,1540.0,57622,246.0,9212
2020-05-31,BE,Belgium,EURO,1232.0,58854,181.0,9393
2020-06-07,BE,Belgium,EURO,835.0,59689,141.0,9534
2020-06-14,BE,Belgium,EURO,722.0,60411,79.0,9613
2020-06-21,BE,Belgium,EURO,669.0,61080,44.0,9657
2020-06-28,BE,Belgium,EURO,612.0,61692,40.0,9697
2020-07-05,BE,Belgium,EURO,614.0,62306,33.0,9730
2020-07-12,BE,Belgium,EURO,687.0,62993,13.0,9743
2020-07-19,BE,Belgium,EURO,1296.0,64289,22.0,9765
2020-07-26,BE,Belgium,EURO,2270.0,66559,17.0,9782
2020-08-02,BE,Belgium,EURO,3715.0,70274,20.0,9802
2020-08-09,BE,Belgium,EURO,4371.0,74645,34.0,9836
2020-08-16,BE,Belgium,EURO,3882.0,78527,67.0,9903
2020-08-23,BE,Belgium,EURO,3430.0,81957,53.0,9956
2020-08-30,BE,Belgium,EURO,3127.0,85084,31.0,9987
2020-09-06,BE,Belgium,EURO,3490.0,88574,22.0,10009
2020-09-13,BE,Belgium,EURO,5717.0,94291,21.0,10030
2020-09-20,BE,Belgium,EURO,9672.0,103963,20.0,10050
2020-09-27,BE,Belgium,EURO,11145.0,115108,33.0,10083
2020-10-04,BE,Belgium,EURO,17885.0,132993,76.0,10159
2020-10-11,BE,Belgium,EURO,35324.0,168317,125.0,10284
2020-10-18,BE,Belgium,EURO,67672.0,235989,237.0,10521
2020-10-25,BE,Belgium,EURO,101847.0,337836,366.0,10887
2020-11-01,BE,Belgium,EURO,106752.0,444588,915.0,11802
2020-11-08,BE,Belgium,EURO,58229.0,502817,1354.0,13156
2020-11-15,BE,Belgium,EURO,34794.0,537611,1381.0,14537
2020-11-22,BE,Belgium,EURO,23781.0,561392,1224.0,15761
2020-11-29,BE,Belgium,EURO,16348.0,577740,924.0,16685
2020-12-06,BE,Belgium,EURO,14990.0,592730,773.0,17458
2020-12-13,BE,Belgium,EURO,15997.0,608727,663.0,18121
2020-12-20,BE,Belgium,EURO,17504.0,626231,655.0,18776
2020-12-27,BE,Belgium,EURO,12529.0,638760,598.0,19374
2021-01-03,BE,Belgium,EURO,10587.0,649347,478.0,19852
2021-01-10,BE,Belgium,EURO,13335.0,662682,387.0,20239
2021-01-17,BE,Belgium,EURO,13362.0,676044,364.0,20603
2021-01-24,BE,Belgium,EURO,14307.0,690351,360.0,20963
2021-01-31,BE,Belgium,EURO,16127.0,706478,345.0,21308
2021-02-07,BE,Belgium,EURO,15414.0,721892,287.0,21595
2021-02-14,BE,Belgium,EURO,12643.0,734535,279.0,21874
2021-02-21,BE,Belgium,EURO,14680.0,749215,252.0,22126
2021-02-28,BE,Belgium,EURO,16796.0,766011,165.0,22291
2021-03-07,BE,Belgium,EURO,16333.0,782344,192.0,22483
2021-03-14,BE,Belgium,EURO,20001.0,802345,174.0,22657
2021-03-21,BE,Belgium,EURO,28468.0,830813,180.0,22837
2021-03-28,BE,Belgium,EURO,33670.0,864483,187.0,23024
2021-04-04,BE,Belgium,EURO,30410.0,894893,232.0,23256
2021-04-11,BE,Belgium,EURO,24742.0,919635,301.0,23557
2021-04-18,BE,Belgium,EURO,24408.0,944043,275.0,23832
2021-04-25,BE,Belgium,EURO,25035.0,969078,272.0,24104
2021-05-02,BE,Belgium,EURO,21346.0,990424,273.0,24377
2021-05-09,BE,Belgium,EURO,20880.0,1011304,247.0,24624
2021-05-16,BE,Belgium,EURO,15229.0,1026533,179.0,24803
2021-05-23,BE,Belgium,EURO,16785.0,1043318,140.0,24943
2021-05-30,BE,Belgium,EURO,12669.0,1055987,95.0,25038
2021-06-06,BE,Belgium,EURO,9742.0,1065729,99.0,25137
2021-06-13,BE,Belgium,EURO,5708.0,1071437,60.0,25197
2021-06-20,BE,Belgium,EURO,3192.0,1074629,44.0,25241
2021-06-27,BE,Belgium,EURO,2393.0,1077022,32.0,25273
2021-07-04,BE,Belgium,EURO,3624.0,1080646,22.0,25295
2021-07-11,BE,Belgium,EURO,6617.0,1087263,13.0,25308
2021-07-18,BE,Belgium,EURO,9384.0,1096647,12.0,25320
2021-07-25,BE,Belgium,EURO,10389.0,1107036,11.0,25331
2021-08-01,BE,Belgium,EURO,10985.0,1118021,24.0,25355
2021-08-08,BE,Belgium,EURO,12286.0,1130307,24.0,25379
2021-08-15,BE,Belgium,EURO,13436.0,1143743,23.0,25402
2021-08-22,BE,Belgium,EURO,13713.0,1157456,36.0,25438
2021-08-29,BE,Belgium,EURO,14154.0,1171610,40.0,25478
2021-09-05,BE,Belgium,EURO,13996.0,1185606,37.0,25515
2021-09-12,BE,Belgium,EURO,13755.0,1199361,56.0,25571
2021-09-19,BE,Belgium,EURO,14553.0,1213914,42.0,25613
2021-09-26,BE,Belgium,EURO,13625.0,1227539,56.0,25669
2021-10-03,BE,Belgium,EURO,13444.0,1240983,58.0,25727
2021-10-10,BE,Belgium,EURO,14524.0,1255507,66.0,25793
2021-10-17,BE,Belgium,EURO,21273.0,1276780,82.0,25875
2021-10-24,BE,Belgium,EURO,37375.0,1314155,98.0,25973
2021-10-31,BE,Belgium,EURO,53380.0,1367535,154.0,26127
2021-11-07,BE,Belgium,EURO,55358.0,1422893,146.0,26273
2021-11-14,BE,Belgium,EURO,70372.0,1493265,197.0,26470
2021-11-21,BE,Belgium,EURO,109038.0,1602303,240.0,26710
2021-11-28,BE,Belgium,EURO,125241.0,1727544,281.0,26991
2021-12-05,BE,Belgium,EURO,120571.0,1848115,346.0,27337
2021-12-12,BE,Belgium,EURO,93713.0,1941828,328.0,27665
2021-12-19,BE,Belgium,EURO,60686.0,2002514,273.0,27938
2021-12-26,BE,Belgium,EURO,45596.0,2048110,254.0,28192
2022-01-02,BE,Belgium,EURO,76996.0,2125106,170.0,28362
2022-01-09,BE,Belgium,EURO,142541.0,2267647,131.0,28493
2022-01-16,BE,Belgium,EURO,189412.0,2457059,150.0,28643
2022-01-23,BE,Belgium,EURO,334758.0,2791817,171.0,28814
2022-01-30,BE,Belgium,EURO,336348.0,3128165,210.0,29024
2022-02-06,BE,Belgium,EURO,202844.0,3331009,287.0,29311
2022-02-13,BE,Belgium,EURO,110136.0,3441145,325.0,29636
2022-02-20,BE,Belgium,EURO,67474.0,3508619,292.0,29928
2022-02-27,BE,Belgium,EURO,46661.0,3555280,174.0,30102
2022-03-06,BE,Belgium,EURO,42733.0,3598013,139.0,30241
2022-03-13,BE,Belgium,EURO,56086.0,3654099,142.0,30383
2022-03-20,BE,Belgium,EURO,71510.0,3725609,130.0,30513
2022-03-27,BE,Belgium,EURO,79185.0,3804794,152.0,30665
