Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,BG,Bulgaria,EURO,4.0,4,0.0,0
2020-03-15,BG,Bulgaria,EURO,47.0,51,2.0,2
2020-03-22,BG,Bulgaria,EURO,134.0,185,1.0,3
2020-03-29,BG,Bulgaria,EURO,161.0,346,5.0,8
2020-04-05,BG,Bulgaria,EURO,185.0,531,12.0,20
2020-04-12,BG,Bulgaria,EURO,144.0,675,9.0,29
2020-04-19,BG,Bulgaria,EURO,219.0,894,13.0,42
2020-04-26,BG,Bulgaria,EURO,406.0,1300,14.0,56
2020-05-03,BG,Bulgaria,EURO,318.0,1618,17.0,73
2020-05-10,BG,Bulgaria,EURO,347.0,1965,18.0,91
2020-05-17,BG,Bulgaria,EURO,246.0,2211,17.0,108
2020-05-24,BG,Bulgaria,EURO,216.0,2427,22.0,130
2020-05-31,BG,Bulgaria,EURO,86.0,2513,10.0,140
2020-06-07,BG,Bulgaria,EURO,198.0,2711,20.0,160
2020-06-14,BG,Bulgaria,EURO,555.0,3266,12.0,172
2020-06-21,BG,Bulgaria,EURO,606.0,3872,27.0,199
2020-06-28,BG,Bulgaria,EURO,753.0,4625,17.0,216
2020-07-05,BG,Bulgaria,EURO,1052.0,5677,25.0,241
2020-07-12,BG,Bulgaria,EURO,1498.0,7175,26.0,267
2020-07-19,BG,Bulgaria,EURO,1463.0,8638,32.0,299
2020-07-26,BG,Bulgaria,EURO,1674.0,10312,39.0,338
2020-08-02,BG,Bulgaria,EURO,1524.0,11836,47.0,385
2020-08-09,BG,Bulgaria,EURO,1507.0,13343,60.0,445
2020-08-16,BG,Bulgaria,EURO,990.0,14333,50.0,495
2020-08-23,BG,Bulgaria,EURO,894.0,15227,50.0,545
2020-08-30,BG,Bulgaria,EURO,937.0,16164,60.0,605
2020-09-06,BG,Bulgaria,EURO,886.0,17050,66.0,671
2020-09-13,BG,Bulgaria,EURO,841.0,17891,46.0,717
2020-09-20,BG,Bulgaria,EURO,928.0,18819,38.0,755
2020-09-27,BG,Bulgaria,EURO,1178.0,19997,34.0,789
2020-10-04,BG,Bulgaria,EURO,1521.0,21518,52.0,841
2020-10-11,BG,Bulgaria,EURO,2801.0,24319,50.0,891
2020-10-18,BG,Bulgaria,EURO,4789.0,29108,77.0,968
2020-10-25,BG,Bulgaria,EURO,8454.0,37562,116.0,1084
