Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-05,BI,Burundi,AFRO,3.0,3,0.0,0
2020-04-12,BI,Burundi,AFRO,2.0,5,0.0,0
2020-04-19,BI,Burundi,AFRO,0.0,5,1.0,1
2020-04-26,BI,Burundi,AFRO,10.0,15,0.0,1
2020-05-03,BI,Burundi,AFRO,4.0,19,0.0,1
2020-05-10,BI,Burundi,AFRO,8.0,27,0.0,1
2020-05-17,BI,Burundi,AFRO,15.0,42,0.0,1
2020-05-24,BI,Burundi,AFRO,0.0,42,0.0,1
2020-05-31,BI,Burundi,AFRO,21.0,63,0.0,1
2020-06-07,BI,Burundi,AFRO,20.0,83,0.0,1
2020-06-14,BI,Burundi,AFRO,11.0,94,0.0,1
2020-06-21,BI,Burundi,AFRO,50.0,144,0.0,1
2020-06-28,BI,Burundi,AFRO,26.0,170,0.0,1
2020-07-05,BI,Burundi,AFRO,21.0,191,0.0,1
2020-07-12,BI,Burundi,AFRO,66.0,257,0.0,1
2020-07-19,BI,Burundi,AFRO,65.0,322,0.0,1
2020-07-26,BI,Burundi,AFRO,23.0,345,0.0,1
2020-08-02,BI,Burundi,AFRO,42.0,387,0.0,1
2020-08-09,BI,Burundi,AFRO,18.0,405,0.0,1
2020-08-16,BI,Burundi,AFRO,8.0,413,0.0,1
2020-08-23,BI,Burundi,AFRO,17.0,430,0.0,1
2020-08-30,BI,Burundi,AFRO,15.0,445,0.0,1
2020-09-06,BI,Burundi,AFRO,17.0,462,0.0,1
2020-09-13,BI,Burundi,AFRO,10.0,472,0.0,1
2020-09-20,BI,Burundi,AFRO,1.0,473,0.0,1
2020-09-27,BI,Burundi,AFRO,11.0,484,0.0,1
2020-10-04,BI,Burundi,AFRO,29.0,513,0.0,1
2020-10-11,BI,Burundi,AFRO,12.0,525,0.0,1
2020-10-18,BI,Burundi,AFRO,17.0,542,0.0,1
2020-10-25,BI,Burundi,AFRO,14.0,556,0.0,1
2020-11-01,BI,Burundi,AFRO,33.0,589,0.0,1
2020-11-08,BI,Burundi,AFRO,25.0,614,0.0,1
2020-11-15,BI,Burundi,AFRO,14.0,628,0.0,1
2020-11-22,BI,Burundi,AFRO,34.0,662,0.0,1
2020-11-29,BI,Burundi,AFRO,26.0,688,0.0,1
2020-12-06,BI,Burundi,AFRO,6.0,694,0.0,1
2020-12-13,BI,Burundi,AFRO,35.0,729,0.0,1
2020-12-20,BI,Burundi,AFRO,32.0,761,1.0,2
2020-12-27,BI,Burundi,AFRO,48.0,809,0.0,2
2021-01-03,BI,Burundi,AFRO,24.0,833,0.0,2
2021-01-10,BI,Burundi,AFRO,153.0,986,0.0,2
2021-01-17,BI,Burundi,AFRO,250.0,1236,0.0,2
2021-01-24,BI,Burundi,AFRO,236.0,1472,0.0,2
2021-01-31,BI,Burundi,AFRO,163.0,1635,0.0,2
2021-02-07,BI,Burundi,AFRO,93.0,1728,1.0,3
2021-02-14,BI,Burundi,AFRO,121.0,1849,0.0,3
2021-02-21,BI,Burundi,AFRO,185.0,2034,0.0,3
2021-02-28,BI,Burundi,AFRO,183.0,2217,0.0,3
2021-03-07,BI,Burundi,AFRO,117.0,2334,0.0,3
2021-03-14,BI,Burundi,AFRO,147.0,2481,0.0,3
2021-03-21,BI,Burundi,AFRO,137.0,2618,3.0,6
2021-03-28,BI,Burundi,AFRO,149.0,2767,0.0,6
2021-04-04,BI,Burundi,AFRO,197.0,2964,0.0,6
2021-04-11,BI,Burundi,AFRO,223.0,3187,0.0,6
2021-04-18,BI,Burundi,AFRO,444.0,3631,0.0,6
2021-04-25,BI,Burundi,AFRO,243.0,3874,0.0,6
2021-05-02,BI,Burundi,AFRO,172.0,4046,0.0,6
2021-05-09,BI,Burundi,AFRO,154.0,4200,0.0,6
2021-05-16,BI,Burundi,AFRO,147.0,4347,0.0,6
2021-05-23,BI,Burundi,AFRO,199.0,4546,0.0,6
2021-05-30,BI,Burundi,AFRO,244.0,4790,0.0,6
2021-06-06,BI,Burundi,AFRO,135.0,4925,2.0,8
2021-06-13,BI,Burundi,AFRO,101.0,5026,0.0,8
2021-06-20,BI,Burundi,AFRO,216.0,5242,0.0,8
2021-06-27,BI,Burundi,AFRO,181.0,5423,0.0,8
2021-07-04,BI,Burundi,AFRO,98.0,5521,0.0,8
2021-07-11,BI,Burundi,AFRO,165.0,5686,0.0,8
2021-07-18,BI,Burundi,AFRO,208.0,5894,0.0,8
2021-07-25,BI,Burundi,AFRO,679.0,6573,0.0,8
2021-08-01,BI,Burundi,AFRO,932.0,7505,1.0,9
2021-08-08,BI,Burundi,AFRO,1295.0,8800,1.0,10
2021-08-15,BI,Burundi,AFRO,1303.0,10103,0.0,10
2021-08-22,BI,Burundi,AFRO,1230.0,11333,0.0,10
2021-08-29,BI,Burundi,AFRO,1196.0,12529,0.0,10
2021-09-05,BI,Burundi,AFRO,1047.0,13576,2.0,12
2021-09-12,BI,Burundi,AFRO,1801.0,15377,0.0,12
2021-09-19,BI,Burundi,AFRO,1355.0,16732,2.0,14
2021-09-26,BI,Burundi,AFRO,773.0,17505,0.0,14
2021-10-03,BI,Burundi,AFRO,1095.0,18600,0.0,14
2021-10-10,BI,Burundi,AFRO,657.0,19257,0.0,14
2021-10-17,BI,Burundi,AFRO,473.0,19730,0.0,14
2021-10-24,BI,Burundi,AFRO,215.0,19945,0.0,14
2021-10-31,BI,Burundi,AFRO,142.0,20087,0.0,14
2021-11-07,BI,Burundi,AFRO,78.0,20165,0.0,14
2021-11-14,BI,Burundi,AFRO,111.0,20276,0.0,14
2021-11-21,BI,Burundi,AFRO,62.0,20338,0.0,14
2021-11-28,BI,Burundi,AFRO,64.0,20402,0.0,14
2021-12-05,BI,Burundi,AFRO,89.0,20491,0.0,14
2021-12-12,BI,Burundi,AFRO,355.0,20846,0.0,14
2021-12-19,BI,Burundi,AFRO,1793.0,22639,0.0,14
2021-12-26,BI,Burundi,AFRO,4360.0,26999,0.0,14
2022-01-02,BI,Burundi,AFRO,5077.0,32076,0.0,14
2022-01-09,BI,Burundi,AFRO,3424.0,35500,0.0,14
2022-01-16,BI,Burundi,AFRO,1236.0,36736,0.0,14
2022-01-23,BI,Burundi,AFRO,306.0,37042,0.0,14
2022-01-30,BI,Burundi,AFRO,337.0,37379,0.0,14
2022-02-06,BI,Burundi,AFRO,377.0,37756,1.0,15
