Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,BN,Brunei Darussalam,WPRO,40.0,40,0.0,0
2020-03-22,BN,Brunei Darussalam,WPRO,43.0,83,0.0,0
2020-03-29,BN,Brunei Darussalam,WPRO,37.0,120,1.0,1
2020-04-05,BN,Brunei Darussalam,WPRO,15.0,135,0.0,1
2020-04-12,BN,Brunei Darussalam,WPRO,1.0,136,0.0,1
2020-04-19,BN,Brunei Darussalam,WPRO,1.0,137,0.0,1
2020-04-26,BN,Brunei Darussalam,WPRO,1.0,138,0.0,1
2020-05-03,BN,Brunei Darussalam,WPRO,0.0,138,0.0,1
2020-05-10,BN,Brunei Darussalam,WPRO,3.0,141,0.0,1
2020-05-17,BN,Brunei Darussalam,WPRO,0.0,141,0.0,1
2020-05-24,BN,Brunei Darussalam,WPRO,0.0,141,0.0,1
2020-05-31,BN,Brunei Darussalam,WPRO,0.0,141,1.0,2
2020-06-07,BN,Brunei Darussalam,WPRO,0.0,141,0.0,2
2020-06-14,BN,Brunei Darussalam,WPRO,0.0,141,0.0,2
2020-06-21,BN,Brunei Darussalam,WPRO,0.0,141,1.0,3
2020-06-28,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-07-05,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-07-12,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-07-19,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-07-26,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-08-02,BN,Brunei Darussalam,WPRO,0.0,141,0.0,3
2020-08-09,BN,Brunei Darussalam,WPRO,1.0,142,0.0,3
2020-08-16,BN,Brunei Darussalam,WPRO,0.0,142,0.0,3
2020-08-23,BN,Brunei Darussalam,WPRO,1.0,143,0.0,3
2020-08-30,BN,Brunei Darussalam,WPRO,1.0,144,0.0,3
2020-09-06,BN,Brunei Darussalam,WPRO,1.0,145,0.0,3
2020-09-13,BN,Brunei Darussalam,WPRO,0.0,145,0.0,3
2020-09-20,BN,Brunei Darussalam,WPRO,0.0,145,0.0,3
2020-09-27,BN,Brunei Darussalam,WPRO,1.0,146,0.0,3
2020-10-04,BN,Brunei Darussalam,WPRO,0.0,146,0.0,3
2020-10-11,BN,Brunei Darussalam,WPRO,0.0,146,0.0,3
2020-10-18,BN,Brunei Darussalam,WPRO,1.0,147,0.0,3
2020-10-25,BN,Brunei Darussalam,WPRO,1.0,148,0.0,3
2020-11-01,BN,Brunei Darussalam,WPRO,0.0,148,0.0,3
2020-11-08,BN,Brunei Darussalam,WPRO,0.0,148,0.0,3
2020-11-15,BN,Brunei Darussalam,WPRO,0.0,148,0.0,3
2020-11-22,BN,Brunei Darussalam,WPRO,0.0,148,0.0,3
2020-11-29,BN,Brunei Darussalam,WPRO,2.0,150,0.0,3
