Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,BO,Bolivia (Plurinational State of),AMRO,10.0,10,0.0,0
2020-03-22,BO,Bolivia (Plurinational State of),AMRO,9.0,19,0.0,0
2020-03-29,BO,Bolivia (Plurinational State of),AMRO,71.0,90,0.0,0
2020-04-05,BO,Bolivia (Plurinational State of),AMRO,49.0,139,10.0,10
2020-04-12,BO,Bolivia (Plurinational State of),AMRO,136.0,275,10.0,20
2020-04-19,BO,Bolivia (Plurinational State of),AMRO,218.0,493,11.0,31
2020-04-26,BO,Bolivia (Plurinational State of),AMRO,314.0,807,13.0,44
2020-05-03,BO,Bolivia (Plurinational State of),AMRO,422.0,1229,22.0,66
2020-05-10,BO,Bolivia (Plurinational State of),AMRO,1037.0,2266,40.0,106
2020-05-17,BO,Bolivia (Plurinational State of),AMRO,1311.0,3577,58.0,164
2020-05-24,BO,Bolivia (Plurinational State of),AMRO,2002.0,5579,66.0,230
2020-05-31,BO,Bolivia (Plurinational State of),AMRO,3152.0,8731,70.0,300
2020-06-07,BO,Bolivia (Plurinational State of),AMRO,3997.0,12728,127.0,427
2020-06-14,BO,Bolivia (Plurinational State of),AMRO,4201.0,16929,132.0,559
2020-06-21,BO,Bolivia (Plurinational State of),AMRO,5547.0,22476,156.0,715
2020-06-28,BO,Bolivia (Plurinational State of),AMRO,6947.0,29423,219.0,934
2020-07-05,BO,Bolivia (Plurinational State of),AMRO,7395.0,36818,386.0,1320
2020-07-12,BO,Bolivia (Plurinational State of),AMRO,8747.0,45565,382.0,1702
2020-07-19,BO,Bolivia (Plurinational State of),AMRO,10537.0,56102,347.0,2049
2020-07-26,BO,Bolivia (Plurinational State of),AMRO,10354.0,66456,424.0,2473
2020-08-02,BO,Bolivia (Plurinational State of),AMRO,10333.0,76789,504.0,2977
2020-08-09,BO,Bolivia (Plurinational State of),AMRO,11102.0,87891,547.0,3524
2020-08-16,BO,Bolivia (Plurinational State of),AMRO,10059.0,97950,415.0,3939
2020-08-23,BO,Bolivia (Plurinational State of),AMRO,9485.0,107435,427.0,4366
2020-08-30,BO,Bolivia (Plurinational State of),AMRO,6974.0,114409,480.0,4846
2020-09-06,BO,Bolivia (Plurinational State of),AMRO,5171.0,119580,497.0,5343
2020-09-13,BO,Bolivia (Plurinational State of),AMRO,5592.0,125172,1907.0,7250
2020-09-20,BO,Bolivia (Plurinational State of),AMRO,4879.0,130051,300.0,7550
2020-09-27,BO,Bolivia (Plurinational State of),AMRO,3171.0,133222,250.0,7800
2020-10-04,BO,Bolivia (Plurinational State of),AMRO,2997.0,136219,245.0,8045
2020-10-11,BO,Bolivia (Plurinational State of),AMRO,2007.0,138226,217.0,8262
2020-10-18,BO,Bolivia (Plurinational State of),AMRO,1336.0,139562,177.0,8439
2020-10-25,BO,Bolivia (Plurinational State of),AMRO,1050.0,140612,169.0,8608
2020-11-01,BO,Bolivia (Plurinational State of),AMRO,1019.0,141631,107.0,8715
2020-11-08,BO,Bolivia (Plurinational State of),AMRO,712.0,142343,66.0,8781
2020-11-15,BO,Bolivia (Plurinational State of),AMRO,726.0,143069,54.0,8835
2020-11-22,BO,Bolivia (Plurinational State of),AMRO,785.0,143854,65.0,8900
2020-11-29,BO,Bolivia (Plurinational State of),AMRO,640.0,144494,43.0,8943
2020-12-06,BO,Bolivia (Plurinational State of),AMRO,831.0,145325,44.0,8987
2020-12-13,BO,Bolivia (Plurinational State of),AMRO,1372.0,146697,26.0,9013
2020-12-20,BO,Bolivia (Plurinational State of),AMRO,2452.0,149149,20.0,9033
2020-12-27,BO,Bolivia (Plurinational State of),AMRO,4441.0,153590,50.0,9083
2021-01-03,BO,Bolivia (Plurinational State of),AMRO,7395.0,160985,92.0,9175
2021-01-10,BO,Bolivia (Plurinational State of),AMRO,10169.0,171154,153.0,9328
2021-01-17,BO,Bolivia (Plurinational State of),AMRO,12435.0,183589,243.0,9571
2021-01-24,BO,Bolivia (Plurinational State of),AMRO,14668.0,198257,300.0,9871
2021-01-31,BO,Bolivia (Plurinational State of),AMRO,15135.0,213392,355.0,10226
2021-02-07,BO,Bolivia (Plurinational State of),AMRO,12518.0,225910,461.0,10687
2021-02-14,BO,Bolivia (Plurinational State of),AMRO,9188.0,235098,420.0,11107
2021-02-21,BO,Bolivia (Plurinational State of),AMRO,5578.0,240676,283.0,11390
2021-02-28,BO,Bolivia (Plurinational State of),AMRO,7215.0,247891,219.0,11609
2021-03-07,BO,Bolivia (Plurinational State of),AMRO,5406.0,253297,180.0,11789
2021-03-14,BO,Bolivia (Plurinational State of),AMRO,5027.0,258324,114.0,11903
2021-03-21,BO,Bolivia (Plurinational State of),AMRO,5484.0,263808,138.0,12041
2021-03-28,BO,Bolivia (Plurinational State of),AMRO,4903.0,268711,102.0,12143
2021-04-04,BO,Bolivia (Plurinational State of),AMRO,5236.0,273947,162.0,12305
