Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-05,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,2.0,2,0.0,0
2020-04-12,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,1.0,3,0.0,0
2020-04-19,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,2.0,5,0.0,0
2020-04-26,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,5,0.0,0
2020-05-03,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,1.0,6,0.0,0
2020-05-10,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,6,0.0,0
2020-05-17,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,6,0.0,0
2020-05-24,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,6,0.0,0
2020-05-31,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,1.0,7,0.0,0
2020-06-07,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-06-14,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-06-21,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-06-28,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-07-05,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-07-12,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,7,0.0,0
2020-07-19,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,3.0,10,0.0,0
2020-07-26,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,1.0,11,0.0,0
2020-08-02,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,11,0.0,0
2020-08-09,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,2.0,13,0.0,0
2020-08-16,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,13,0.0,0
2020-08-23,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,0.0,13,0.0,0
2020-08-30,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,2.0,15,0.0,0
2020-09-06,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,3.0,18,0.0,0
2020-09-13,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,7.0,25,0.0,0
2020-09-20,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,11.0,36,1.0,1
2020-09-27,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,49.0,85,0.0,1
2020-10-04,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,36.0,121,0.0,1
2020-10-11,BQ,"Bonaire, Saint Eustatius and Saba",AMRO,27.0,148,1.0,2
