Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,BT,Bhutan,SEARO,1.0,1,0.0,0
2020-03-15,BT,Bhutan,SEARO,0.0,1,0.0,0
2020-03-22,BT,Bhutan,SEARO,1.0,2,0.0,0
2020-03-29,BT,Bhutan,SEARO,1.0,3,0.0,0
2020-04-05,BT,Bhutan,SEARO,2.0,5,0.0,0
2020-04-12,BT,Bhutan,SEARO,0.0,5,0.0,0
2020-04-19,BT,Bhutan,SEARO,0.0,5,0.0,0
2020-04-26,BT,Bhutan,SEARO,2.0,7,0.0,0
2020-05-03,BT,Bhutan,SEARO,0.0,7,0.0,0
2020-05-10,BT,Bhutan,SEARO,0.0,7,0.0,0
2020-05-17,BT,Bhutan,SEARO,14.0,21,0.0,0
2020-05-24,BT,Bhutan,SEARO,6.0,27,0.0,0
2020-05-31,BT,Bhutan,SEARO,16.0,43,0.0,0
2020-06-07,BT,Bhutan,SEARO,16.0,59,0.0,0
2020-06-14,BT,Bhutan,SEARO,7.0,66,0.0,0
2020-06-21,BT,Bhutan,SEARO,2.0,68,0.0,0
2020-06-28,BT,Bhutan,SEARO,8.0,76,0.0,0
2020-07-05,BT,Bhutan,SEARO,4.0,80,0.0,0
2020-07-12,BT,Bhutan,SEARO,4.0,84,0.0,0
2020-07-19,BT,Bhutan,SEARO,5.0,89,0.0,0
2020-07-26,BT,Bhutan,SEARO,6.0,95,0.0,0
2020-08-02,BT,Bhutan,SEARO,8.0,103,0.0,0
2020-08-09,BT,Bhutan,SEARO,7.0,110,0.0,0
2020-08-16,BT,Bhutan,SEARO,28.0,138,0.0,0
2020-08-23,BT,Bhutan,SEARO,17.0,155,0.0,0
2020-08-30,BT,Bhutan,SEARO,69.0,224,0.0,0
2020-09-06,BT,Bhutan,SEARO,6.0,230,0.0,0
2020-09-13,BT,Bhutan,SEARO,15.0,245,0.0,0
2020-09-20,BT,Bhutan,SEARO,16.0,261,0.0,0
2020-09-27,BT,Bhutan,SEARO,12.0,273,0.0,0
2020-10-04,BT,Bhutan,SEARO,25.0,298,0.0,0
2020-10-11,BT,Bhutan,SEARO,11.0,309,0.0,0
2020-10-18,BT,Bhutan,SEARO,16.0,325,0.0,0
2020-10-25,BT,Bhutan,SEARO,15.0,340,0.0,0
2020-11-01,BT,Bhutan,SEARO,9.0,349,0.0,0
2020-11-08,BT,Bhutan,SEARO,10.0,359,0.0,0
2020-11-15,BT,Bhutan,SEARO,16.0,375,0.0,0
2020-11-22,BT,Bhutan,SEARO,4.0,379,0.0,0
2020-11-29,BT,Bhutan,SEARO,17.0,396,0.0,0
2020-12-06,BT,Bhutan,SEARO,30.0,426,0.0,0
2020-12-13,BT,Bhutan,SEARO,11.0,437,0.0,0
2020-12-20,BT,Bhutan,SEARO,9.0,446,0.0,0
2020-12-27,BT,Bhutan,SEARO,151.0,597,0.0,0
2021-01-03,BT,Bhutan,SEARO,119.0,716,0.0,0
2021-01-10,BT,Bhutan,SEARO,97.0,813,1.0,1
2021-01-17,BT,Bhutan,SEARO,29.0,842,0.0,1
2021-01-24,BT,Bhutan,SEARO,13.0,855,0.0,1
2021-01-31,BT,Bhutan,SEARO,4.0,859,0.0,1
2021-02-07,BT,Bhutan,SEARO,2.0,861,0.0,1
2021-02-14,BT,Bhutan,SEARO,3.0,864,0.0,1
2021-02-21,BT,Bhutan,SEARO,2.0,866,0.0,1
2021-02-28,BT,Bhutan,SEARO,1.0,867,0.0,1
2021-03-07,BT,Bhutan,SEARO,1.0,868,0.0,1
2021-03-14,BT,Bhutan,SEARO,0.0,868,0.0,1
2021-03-21,BT,Bhutan,SEARO,1.0,869,0.0,1
2021-03-28,BT,Bhutan,SEARO,3.0,872,0.0,1
2021-04-04,BT,Bhutan,SEARO,19.0,891,0.0,1
2021-04-11,BT,Bhutan,SEARO,27.0,918,0.0,1
2021-04-18,BT,Bhutan,SEARO,39.0,957,0.0,1
