Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-01,BY,Belarus,EURO,1.0,1,0.0,0
2020-03-08,BY,Belarus,EURO,5.0,6,0.0,0
2020-03-15,BY,Belarus,EURO,15.0,21,0.0,0
2020-03-22,BY,Belarus,EURO,55.0,76,0.0,0
2020-03-29,BY,Belarus,EURO,18.0,94,0.0,0
2020-04-05,BY,Belarus,EURO,346.0,440,4.0,4
2020-04-12,BY,Belarus,EURO,1786.0,2226,19.0,23
2020-04-19,BY,Belarus,EURO,3063.0,5289,22.0,45
2020-04-26,BY,Belarus,EURO,4301.0,9590,22.0,67
2020-05-03,BY,Belarus,EURO,6238.0,15828,30.0,97
2020-05-10,BY,Belarus,EURO,7145.0,22973,34.0,131
2020-05-17,BY,Belarus,EURO,5708.0,28681,29.0,160
2020-05-24,BY,Belarus,EURO,6563.0,35244,34.0,194
2020-05-31,BY,Belarus,EURO,6414.0,41658,35.0,229
2020-06-07,BY,Belarus,EURO,5210.0,46868,30.0,259
2020-06-14,BY,Belarus,EURO,6373.0,53241,44.0,303
2020-06-21,BY,Belarus,EURO,4695.0,57936,40.0,343
2020-06-28,BY,Belarus,EURO,3159.0,61095,34.0,377
2020-07-05,BY,Belarus,EURO,2175.0,63270,41.0,418
2020-07-12,BY,Belarus,EURO,1494.0,64764,41.0,459
2020-07-19,BY,Belarus,EURO,1189.0,65953,36.0,495
2020-07-26,BY,Belarus,EURO,1049.0,67002,35.0,530
2020-08-02,BY,Belarus,EURO,944.0,67946,33.0,563
2020-08-09,BY,Belarus,EURO,792.0,68738,22.0,585
2020-08-16,BY,Belarus,EURO,686.0,69424,22.0,607
2020-08-23,BY,Belarus,EURO,861.0,70285,30.0,637
2020-08-30,BY,Belarus,EURO,1238.0,71523,34.0,671
2020-09-06,BY,Belarus,EURO,1140.0,72663,34.0,705
2020-09-13,BY,Belarus,EURO,1312.0,73975,39.0,744
2020-09-20,BY,Belarus,EURO,1486.0,75461,32.0,776
2020-09-27,BY,Belarus,EURO,1828.0,77289,37.0,813
2020-10-04,BY,Belarus,EURO,2563.0,79852,38.0,851
2020-10-11,BY,Belarus,EURO,3171.0,83023,40.0,891
2020-10-18,BY,Belarus,EURO,4040.0,87063,34.0,925
2020-10-25,BY,Belarus,EURO,4104.0,91167,20.0,945
2020-11-01,BY,Belarus,EURO,8292.0,99459,40.0,985
2020-11-08,BY,Belarus,EURO,5824.0,105283,19.0,1004
2020-11-15,BY,Belarus,EURO,7587.0,112870,35.0,1039
2020-11-22,BY,Belarus,EURO,9565.0,122435,50.0,1089
2020-11-29,BY,Belarus,EURO,10889.0,133324,54.0,1143
2020-12-06,BY,Belarus,EURO,11955.0,145279,55.0,1198
2020-12-13,BY,Belarus,EURO,13055.0,158334,56.0,1254
2020-12-20,BY,Belarus,EURO,13245.0,171579,62.0,1316
2020-12-27,BY,Belarus,EURO,13343.0,184922,60.0,1376
2021-01-03,BY,Belarus,EURO,13203.0,198125,66.0,1442
2021-01-10,BY,Belarus,EURO,12243.0,210368,65.0,1507
2021-01-17,BY,Belarus,EURO,13169.0,223537,66.0,1573
2021-01-24,BY,Belarus,EURO,12322.0,235859,66.0,1639
2021-01-31,BY,Belarus,EURO,10711.0,246570,69.0,1708
2021-02-07,BY,Belarus,EURO,10389.0,256959,65.0,1773
2021-02-14,BY,Belarus,EURO,10070.0,267029,67.0,1840
2021-02-21,BY,Belarus,EURO,9961.0,276990,63.0,1903
2021-02-28,BY,Belarus,EURO,8969.0,285959,63.0,1966
2021-03-07,BY,Belarus,EURO,8473.0,294432,63.0,2029
2021-03-14,BY,Belarus,EURO,6896.0,301328,58.0,2087
2021-03-21,BY,Belarus,EURO,7965.0,309293,61.0,2148
2021-03-28,BY,Belarus,EURO,8338.0,317631,63.0,2211
2021-04-04,BY,Belarus,EURO,8434.0,326065,65.0,2276
2021-04-11,BY,Belarus,EURO,8798.0,334863,68.0,2344
2021-04-18,BY,Belarus,EURO,8060.0,342923,69.0,2413
2021-04-25,BY,Belarus,EURO,8751.0,351674,70.0,2483
2021-05-02,BY,Belarus,EURO,8308.0,359982,69.0,2552
2021-05-09,BY,Belarus,EURO,7692.0,367674,70.0,2622
2021-05-16,BY,Belarus,EURO,7040.0,374714,69.0,2691
2021-05-23,BY,Belarus,EURO,10059.0,384773,70.0,2761
2021-05-30,BY,Belarus,EURO,6864.0,391637,60.0,2821
2021-06-06,BY,Belarus,EURO,7272.0,398909,79.0,2900
2021-06-13,BY,Belarus,EURO,5831.0,404740,69.0,2969
2021-06-20,BY,Belarus,EURO,5356.0,410096,66.0,3035
2021-06-27,BY,Belarus,EURO,4634.0,414730,68.0,3103
2021-07-04,BY,Belarus,EURO,5676.0,420406,72.0,3175
2021-07-11,BY,Belarus,EURO,6480.0,426886,72.0,3247
2021-07-18,BY,Belarus,EURO,6523.0,433409,69.0,3316
2021-07-25,BY,Belarus,EURO,6419.0,439828,69.0,3385
2021-08-01,BY,Belarus,EURO,6212.0,446040,69.0,3454
2021-08-08,BY,Belarus,EURO,6913.0,452953,69.0,3523
2021-08-15,BY,Belarus,EURO,7045.0,459998,70.0,3593
2021-08-22,BY,Belarus,EURO,8417.0,468415,77.0,3670
2021-08-29,BY,Belarus,EURO,9486.0,477901,75.0,3745
2021-09-05,BY,Belarus,EURO,11062.0,488963,81.0,3826
2021-09-12,BY,Belarus,EURO,12203.0,501166,79.0,3905
2021-09-19,BY,Belarus,EURO,13280.0,514446,86.0,3991
2021-09-26,BY,Belarus,EURO,13783.0,528229,90.0,4081
2021-10-03,BY,Belarus,EURO,13749.0,541978,92.0,4173
2021-10-10,BY,Belarus,EURO,13815.0,555793,102.0,4275
2021-10-17,BY,Belarus,EURO,14213.0,570006,111.0,4386
2021-10-24,BY,Belarus,EURO,14184.0,584190,113.0,4499
2021-10-31,BY,Belarus,EURO,13942.0,598132,115.0,4614
