Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,BZ,Belize,AMRO,2.0,2,0.0,0
2020-04-05,BZ,Belize,AMRO,2.0,4,0.0,0
2020-04-12,BZ,Belize,AMRO,6.0,10,2.0,2
2020-04-19,BZ,Belize,AMRO,8.0,18,0.0,2
2020-04-26,BZ,Belize,AMRO,0.0,18,0.0,2
2020-05-03,BZ,Belize,AMRO,0.0,18,0.0,2
2020-05-10,BZ,Belize,AMRO,0.0,18,0.0,2
2020-05-17,BZ,Belize,AMRO,0.0,18,0.0,2
2020-05-24,BZ,Belize,AMRO,0.0,18,0.0,2
2020-05-31,BZ,Belize,AMRO,0.0,18,0.0,2
2020-06-07,BZ,Belize,AMRO,1.0,19,0.0,2
2020-06-14,BZ,Belize,AMRO,1.0,20,0.0,2
2020-06-21,BZ,Belize,AMRO,2.0,22,0.0,2
2020-06-28,BZ,Belize,AMRO,2.0,24,0.0,2
2020-07-05,BZ,Belize,AMRO,6.0,30,0.0,2
2020-07-12,BZ,Belize,AMRO,7.0,37,0.0,2
2020-07-19,BZ,Belize,AMRO,3.0,40,0.0,2
2020-07-26,BZ,Belize,AMRO,8.0,48,0.0,2
2020-08-02,BZ,Belize,AMRO,0.0,48,0.0,2
2020-08-09,BZ,Belize,AMRO,98.0,146,0.0,2
2020-08-16,BZ,Belize,AMRO,242.0,388,1.0,3
2020-08-23,BZ,Belize,AMRO,260.0,648,2.0,5
2020-08-30,BZ,Belize,AMRO,222.0,870,7.0,12
2020-09-06,BZ,Belize,AMRO,282.0,1152,3.0,15
2020-09-13,BZ,Belize,AMRO,283.0,1435,4.0,19
2020-09-20,BZ,Belize,AMRO,155.0,1590,1.0,20
2020-09-27,BZ,Belize,AMRO,218.0,1808,3.0,23
2020-10-04,BZ,Belize,AMRO,272.0,2080,5.0,28
2020-10-11,BZ,Belize,AMRO,347.0,2427,7.0,35
2020-10-18,BZ,Belize,AMRO,301.0,2728,8.0,43
2020-10-25,BZ,Belize,AMRO,322.0,3050,4.0,47
2020-11-01,BZ,Belize,AMRO,412.0,3462,11.0,58
2020-11-08,BZ,Belize,AMRO,554.0,4016,9.0,67
2020-11-15,BZ,Belize,AMRO,699.0,4715,18.0,85
2020-11-22,BZ,Belize,AMRO,341.0,5056,22.0,107
2020-11-29,BZ,Belize,AMRO,531.0,5587,34.0,141
2020-12-06,BZ,Belize,AMRO,1796.0,7383,29.0,170
2020-12-13,BZ,Belize,AMRO,1582.0,8965,15.0,185
2020-12-20,BZ,Belize,AMRO,964.0,9929,30.0,215
2020-12-27,BZ,Belize,AMRO,561.0,10490,13.0,228
2021-01-03,BZ,Belize,AMRO,317.0,10807,21.0,249
2021-01-10,BZ,Belize,AMRO,395.0,11202,22.0,271
2021-01-17,BZ,Belize,AMRO,327.0,11529,10.0,281
2021-01-24,BZ,Belize,AMRO,171.0,11700,9.0,290
2021-01-31,BZ,Belize,AMRO,177.0,11877,11.0,301
2021-02-07,BZ,Belize,AMRO,136.0,12013,5.0,306
2021-02-14,BZ,Belize,AMRO,121.0,12134,7.0,313
2021-02-21,BZ,Belize,AMRO,93.0,12227,1.0,314
2021-02-28,BZ,Belize,AMRO,66.0,12293,0.0,314
2021-03-07,BZ,Belize,AMRO,42.0,12335,1.0,315
2021-03-14,BZ,Belize,AMRO,35.0,12370,1.0,316
2021-03-21,BZ,Belize,AMRO,30.0,12400,0.0,316
2021-03-28,BZ,Belize,AMRO,15.0,12415,1.0,317
2021-04-04,BZ,Belize,AMRO,41.0,12456,0.0,317
2021-04-11,BZ,Belize,AMRO,31.0,12487,1.0,318
2021-04-18,BZ,Belize,AMRO,51.0,12538,0.0,318
2021-04-25,BZ,Belize,AMRO,61.0,12599,3.0,321
2021-05-02,BZ,Belize,AMRO,69.0,12668,2.0,323
2021-05-09,BZ,Belize,AMRO,18.0,12686,0.0,323
2021-05-16,BZ,Belize,AMRO,28.0,12714,0.0,323
2021-05-23,BZ,Belize,AMRO,50.0,12764,0.0,323
2021-05-30,BZ,Belize,AMRO,27.0,12791,1.0,324
2021-06-06,BZ,Belize,AMRO,70.0,12861,1.0,325
2021-06-13,BZ,Belize,AMRO,77.0,12938,0.0,325
2021-06-20,BZ,Belize,AMRO,66.0,13004,3.0,328
2021-06-27,BZ,Belize,AMRO,133.0,13137,1.0,329
2021-07-04,BZ,Belize,AMRO,206.0,13343,1.0,330
2021-07-11,BZ,Belize,AMRO,175.0,13518,0.0,330
2021-07-18,BZ,Belize,AMRO,165.0,13683,2.0,332
2021-07-25,BZ,Belize,AMRO,234.0,13917,0.0,332
2021-08-01,BZ,Belize,AMRO,246.0,14163,5.0,337
2021-08-08,BZ,Belize,AMRO,275.0,14438,2.0,339
2021-08-15,BZ,Belize,AMRO,409.0,14847,5.0,344
2021-08-22,BZ,Belize,AMRO,568.0,15415,7.0,351
2021-08-29,BZ,Belize,AMRO,597.0,16012,5.0,356
2021-09-05,BZ,Belize,AMRO,738.0,16750,7.0,363
2021-09-12,BZ,Belize,AMRO,655.0,17405,10.0,373
2021-09-19,BZ,Belize,AMRO,1127.0,18532,16.0,389
2021-09-26,BZ,Belize,AMRO,1068.0,19600,13.0,402
2021-10-03,BZ,Belize,AMRO,1403.0,21003,16.0,418
2021-10-10,BZ,Belize,AMRO,1184.0,22187,13.0,431
2021-10-17,BZ,Belize,AMRO,1803.0,23990,30.0,461
2021-10-24,BZ,Belize,AMRO,1455.0,25445,12.0,473
2021-10-31,BZ,Belize,AMRO,1353.0,26798,18.0,491
2021-11-07,BZ,Belize,AMRO,1096.0,27894,18.0,509
2021-11-14,BZ,Belize,AMRO,1005.0,28899,25.0,534
2021-11-21,BZ,Belize,AMRO,602.0,29501,24.0,558
2021-11-28,BZ,Belize,AMRO,664.0,30165,12.0,570
2021-12-05,BZ,Belize,AMRO,515.0,30680,9.0,579
2021-12-12,BZ,Belize,AMRO,353.0,31033,7.0,586
2021-12-19,BZ,Belize,AMRO,213.0,31246,3.0,589
2021-12-26,BZ,Belize,AMRO,257.0,31503,3.0,592
2022-01-02,BZ,Belize,AMRO,1337.0,32840,10.0,602
